trial0000001, AA, 4197, 20, 209.850000, GDX, 3241, 20, 162.050000, 
trial0000002, AA, 4390, 20, 219.500000, GDX, 3675, 20, 183.750000, 
trial0000003, AA, 3394, 20, 169.700000, GDX, 4688, 20, 234.400000, 
trial0000004, AA, 4238, 20, 211.900000, GDX, 3785, 20, 189.250000, 
trial0000005, AA, 4383, 20, 219.150000, GDX, 3990, 20, 199.500000, 
trial0000006, AA, 6762, 20, 338.100000, GDX, 1274, 20, 63.700000, 
trial0000007, AA, 4141, 20, 207.050000, GDX, 4107, 20, 205.350000, 
trial0000008, AA, 3915, 20, 195.750000, GDX, 3949, 20, 197.450000, 
trial0000009, AA, 3512, 20, 175.600000, GDX, 4755, 20, 237.750000, 
trial0000010, AA, 4288, 20, 214.400000, GDX, 3849, 20, 192.450000, 
trial0000011, AA, 3178, 20, 158.900000, GDX, 5138, 20, 256.900000, 
trial0000012, AA, 4647, 20, 232.350000, GDX, 3934, 20, 196.700000, 
trial0000013, AA, 3200, 20, 160.000000, GDX, 4992, 20, 249.600000, 
trial0000014, AA, 4370, 20, 218.500000, GDX, 3557, 20, 177.850000, 
trial0000015, AA, 4631, 20, 231.550000, GDX, 3331, 20, 166.550000, 
trial0000016, AA, 3853, 20, 192.650000, GDX, 4269, 20, 213.450000, 
trial0000017, AA, 4587, 20, 229.350000, GDX, 3658, 20, 182.900000, 
trial0000018, AA, 3266, 20, 163.300000, GDX, 4330, 20, 216.500000, 
trial0000019, AA, 4797, 20, 239.850000, GDX, 3817, 20, 190.850000, 
trial0000020, AA, 4030, 20, 201.500000, GDX, 4214, 20, 210.700000, 
trial0000021, AA, 5763, 20, 288.150000, GDX, 2688, 20, 134.400000, 
trial0000022, AA, 4459, 20, 222.950000, GDX, 3865, 20, 193.250000, 
trial0000023, AA, 3423, 20, 171.150000, GDX, 4813, 20, 240.650000, 
trial0000024, AA, 6019, 20, 300.950000, GDX, 1183, 20, 59.150000, 
trial0000025, AA, 4042, 20, 202.100000, GDX, 3784, 20, 189.200000, 
trial0000026, AA, 5175, 20, 258.750000, GDX, 3117, 20, 155.850000, 
trial0000027, AA, 2758, 20, 137.900000, GDX, 4960, 20, 248.000000, 
trial0000028, AA, 3705, 20, 185.250000, GDX, 4034, 20, 201.700000, 
trial0000029, AA, 3457, 20, 172.850000, GDX, 4420, 20, 221.000000, 
trial0000030, AA, 3992, 20, 199.600000, GDX, 4475, 20, 223.750000, 
trial0000031, AA, 4814, 20, 240.700000, GDX, 3435, 20, 171.750000, 
trial0000032, AA, 3922, 20, 196.100000, GDX, 4507, 20, 225.350000, 
trial0000033, AA, 4802, 20, 240.100000, GDX, 3256, 20, 162.800000, 
trial0000034, AA, 4078, 20, 203.900000, GDX, 3137, 20, 156.850000, 
trial0000035, AA, 4195, 20, 209.750000, GDX, 3435, 20, 171.750000, 
trial0000036, AA, 4825, 20, 241.250000, GDX, 3773, 20, 188.650000, 
trial0000037, AA, 2560, 20, 128.000000, GDX, 5716, 20, 285.800000, 
trial0000038, AA, 5117, 20, 255.850000, GDX, 3144, 20, 157.200000, 
trial0000039, AA, 3875, 20, 193.750000, GDX, 4834, 20, 241.700000, 
trial0000040, AA, 3766, 20, 188.300000, GDX, 4219, 20, 210.950000, 
trial0000041, AA, 2877, 20, 143.850000, GDX, 5296, 20, 264.800000, 
trial0000042, AA, 3248, 20, 162.400000, GDX, 5324, 20, 266.200000, 
trial0000043, AA, 4925, 20, 246.250000, GDX, 3204, 20, 160.200000, 
trial0000044, AA, 4687, 20, 234.350000, GDX, 3677, 20, 183.850000, 
trial0000045, AA, 5531, 20, 276.550000, GDX, 2763, 20, 138.150000, 
trial0000046, AA, 3880, 20, 194.000000, GDX, 4202, 20, 210.100000, 
trial0000047, AA, 4431, 20, 221.550000, GDX, 3306, 20, 165.300000, 
trial0000048, AA, 3686, 20, 184.300000, GDX, 4842, 20, 242.100000, 
trial0000049, AA, 3959, 20, 197.950000, GDX, 3351, 20, 167.550000, 
trial0000050, AA, 4563, 20, 228.150000, GDX, 3753, 20, 187.650000, 
trial0000051, AA, 3822, 20, 191.100000, GDX, 3853, 20, 192.650000, 
trial0000052, AA, 5243, 20, 262.150000, GDX, 3118, 20, 155.900000, 
trial0000053, AA, 2658, 20, 132.900000, GDX, 5690, 20, 284.500000, 
trial0000054, AA, 4710, 20, 235.500000, GDX, 3822, 20, 191.100000, 
trial0000055, AA, 4672, 20, 233.600000, GDX, 3528, 20, 176.400000, 
trial0000056, AA, 5451, 20, 272.550000, GDX, 2933, 20, 146.650000, 
trial0000057, AA, 4580, 20, 229.000000, GDX, 3046, 20, 152.300000, 
trial0000058, AA, 5764, 20, 288.200000, GDX, 2557, 20, 127.850000, 
trial0000059, AA, 3959, 20, 197.950000, GDX, 4722, 20, 236.100000, 
trial0000060, AA, 4365, 20, 218.250000, GDX, 4322, 20, 216.100000, 
trial0000061, AA, 3623, 20, 181.150000, GDX, 3259, 20, 162.950000, 
trial0000062, AA, 4706, 20, 235.300000, GDX, 3417, 20, 170.850000, 
trial0000063, AA, 3113, 20, 155.650000, GDX, 5242, 20, 262.100000, 
trial0000064, AA, 3756, 20, 187.800000, GDX, 4705, 20, 235.250000, 
trial0000065, AA, 5117, 20, 255.850000, GDX, 3179, 20, 158.950000, 
trial0000066, AA, 2785, 20, 139.250000, GDX, 5361, 20, 268.050000, 
trial0000067, AA, 3854, 20, 192.700000, GDX, 3332, 20, 166.600000, 
trial0000068, AA, 3306, 20, 165.300000, GDX, 4483, 20, 224.150000, 
trial0000069, AA, 5427, 20, 271.350000, GDX, 2543, 20, 127.150000, 
trial0000070, AA, 4712, 20, 235.600000, GDX, 3420, 20, 171.000000, 
trial0000071, AA, 1874, 20, 93.700000, GDX, 5865, 20, 293.250000, 
trial0000072, AA, 4993, 20, 249.650000, GDX, 2512, 20, 125.600000, 
trial0000073, AA, 4775, 20, 238.750000, GDX, 3444, 20, 172.200000, 
trial0000074, AA, 4870, 20, 243.500000, GDX, 2882, 20, 144.100000, 
trial0000075, AA, 3592, 20, 179.600000, GDX, 4465, 20, 223.250000, 
trial0000076, AA, 5059, 20, 252.950000, GDX, 2866, 20, 143.300000, 
trial0000077, AA, 5612, 20, 280.600000, GDX, 2703, 20, 135.150000, 
trial0000078, AA, 4984, 20, 249.200000, GDX, 3410, 20, 170.500000, 
trial0000079, AA, 4591, 20, 229.550000, GDX, 3362, 20, 168.100000, 
trial0000080, AA, 3120, 20, 156.000000, GDX, 5332, 20, 266.600000, 
trial0000081, AA, 3487, 20, 174.350000, GDX, 4543, 20, 227.150000, 
trial0000082, AA, 3805, 20, 190.250000, GDX, 4373, 20, 218.650000, 
trial0000083, AA, 4041, 20, 202.050000, GDX, 3792, 20, 189.600000, 
trial0000084, AA, 4795, 20, 239.750000, GDX, 3514, 20, 175.700000, 
trial0000085, AA, 5782, 20, 289.100000, GDX, 2516, 20, 125.800000, 
trial0000086, AA, 4231, 20, 211.550000, GDX, 3221, 20, 161.050000, 
trial0000087, AA, 4416, 20, 220.800000, GDX, 3533, 20, 176.650000, 
trial0000088, AA, 4110, 20, 205.500000, GDX, 3030, 20, 151.500000, 
trial0000089, AA, 2501, 20, 125.050000, GDX, 5630, 20, 281.500000, 
trial0000090, AA, 4689, 20, 234.450000, GDX, 3768, 20, 188.400000, 
trial0000091, AA, 3093, 20, 154.650000, GDX, 4923, 20, 246.150000, 
trial0000092, AA, 4224, 20, 211.200000, GDX, 4381, 20, 219.050000, 
trial0000093, AA, 2922, 20, 146.100000, GDX, 5425, 20, 271.250000, 
trial0000094, AA, 5523, 20, 276.150000, GDX, 2806, 20, 140.300000, 
trial0000095, AA, 4724, 20, 236.200000, GDX, 3603, 20, 180.150000, 
trial0000096, AA, 3564, 20, 178.200000, GDX, 4696, 20, 234.800000, 
trial0000097, AA, 4600, 20, 230.000000, GDX, 3381, 20, 169.050000, 
trial0000098, AA, 5016, 20, 250.800000, GDX, 3128, 20, 156.400000, 
trial0000099, AA, 4425, 20, 221.250000, GDX, 3938, 20, 196.900000, 
