trial0001001, AA, 12637, 38, 332.552632, ZIP, 766, 2, 383.000000, 
trial0001002, AA, 11617, 38, 305.710526, ZIP, 1857, 2, 928.500000, 
trial0001003, AA, 13154, 38, 346.157895, ZIP, 231, 2, 115.500000, 
trial0001004, AA, 11767, 38, 309.657895, ZIP, 1113, 2, 556.500000, 
trial0001005, AA, 12347, 38, 324.921053, ZIP, 1097, 2, 548.500000, 
trial0001006, AA, 11584, 38, 304.842105, ZIP, 2056, 2, 1028.000000, 
trial0001007, AA, 13431, 38, 353.447368, ZIP, 289, 2, 144.500000, 
trial0001008, AA, 11594, 38, 305.105263, ZIP, 1736, 2, 868.000000, 
trial0001009, AA, 13022, 38, 342.684211, ZIP, 533, 2, 266.500000, 
trial0001010, AA, 13499, 38, 355.236842, ZIP, 0, 2, 0.000000, 
trial0001011, AA, 13404, 38, 352.736842, ZIP, 22, 2, 11.000000, 
trial0001012, AA, 11108, 38, 292.315789, ZIP, 1849, 2, 924.500000, 
trial0001013, AA, 13096, 38, 344.631579, ZIP, 247, 2, 123.500000, 
trial0001014, AA, 13355, 38, 351.447368, ZIP, 26, 2, 13.000000, 
trial0001015, AA, 12936, 38, 340.421053, ZIP, 377, 2, 188.500000, 
trial0001016, AA, 13187, 38, 347.026316, ZIP, 0, 2, 0.000000, 
trial0001017, AA, 13083, 38, 344.289474, ZIP, 286, 2, 143.000000, 
trial0001018, AA, 12644, 38, 332.736842, ZIP, 952, 2, 476.000000, 
trial0001019, AA, 13538, 38, 356.263158, ZIP, 0, 2, 0.000000, 
trial0001020, AA, 13083, 38, 344.289474, ZIP, 112, 2, 56.000000, 
trial0001021, AA, 12461, 38, 327.921053, ZIP, 976, 2, 488.000000, 
trial0001022, AA, 12446, 38, 327.526316, ZIP, 1252, 2, 626.000000, 
trial0001023, AA, 12673, 38, 333.500000, ZIP, 965, 2, 482.500000, 
trial0001024, AA, 12223, 38, 321.657895, ZIP, 1275, 2, 637.500000, 
trial0001025, AA, 13127, 38, 345.447368, ZIP, 418, 2, 209.000000, 
trial0001026, AA, 12513, 38, 329.289474, ZIP, 1051, 2, 525.500000, 
trial0001027, AA, 12693, 38, 334.026316, ZIP, 740, 2, 370.000000, 
trial0001028, AA, 13490, 38, 355.000000, ZIP, 1, 2, 0.500000, 
trial0001029, AA, 12560, 38, 330.526316, ZIP, 1192, 2, 596.000000, 
trial0001030, AA, 12227, 38, 321.763158, ZIP, 921, 2, 460.500000, 
trial0001031, AA, 13116, 38, 345.157895, ZIP, 0, 2, 0.000000, 
trial0001032, AA, 13054, 38, 343.526316, ZIP, 307, 2, 153.500000, 
trial0001033, AA, 12562, 38, 330.578947, ZIP, 1048, 2, 524.000000, 
trial0001034, AA, 13163, 38, 346.394737, ZIP, 235, 2, 117.500000, 
trial0001035, AA, 13251, 38, 348.710526, ZIP, 515, 2, 257.500000, 
trial0001036, AA, 11575, 38, 304.605263, ZIP, 1895, 2, 947.500000, 
trial0001037, AA, 12186, 38, 320.684211, ZIP, 1135, 2, 567.500000, 
trial0001038, AA, 11508, 38, 302.842105, ZIP, 1919, 2, 959.500000, 
trial0001039, AA, 13111, 38, 345.026316, ZIP, 320, 2, 160.000000, 
trial0001040, AA, 11704, 38, 308.000000, ZIP, 1993, 2, 996.500000, 
trial0001041, AA, 13118, 38, 345.210526, ZIP, 44, 2, 22.000000, 
trial0001042, AA, 13237, 38, 348.342105, ZIP, 198, 2, 99.000000, 
trial0001043, AA, 12423, 38, 326.921053, ZIP, 939, 2, 469.500000, 
trial0001044, AA, 13697, 38, 360.447368, ZIP, 32, 2, 16.000000, 
trial0001045, AA, 12899, 38, 339.447368, ZIP, 9, 2, 4.500000, 
trial0001046, AA, 13440, 38, 353.684211, ZIP, 223, 2, 111.500000, 
trial0001047, AA, 13074, 38, 344.052632, ZIP, 436, 2, 218.000000, 
trial0001048, AA, 12754, 38, 335.631579, ZIP, 0, 2, 0.000000, 
trial0001049, AA, 12720, 38, 334.736842, ZIP, 673, 2, 336.500000, 
trial0001050, AA, 13270, 38, 349.210526, ZIP, 471, 2, 235.500000, 
trial0001051, AA, 12366, 38, 325.421053, ZIP, 1106, 2, 553.000000, 
trial0001052, AA, 13151, 38, 346.078947, ZIP, 622, 2, 311.000000, 
trial0001053, AA, 13485, 38, 354.868421, ZIP, 60, 2, 30.000000, 
trial0001054, AA, 13396, 38, 352.526316, ZIP, 137, 2, 68.500000, 
trial0001055, AA, 12823, 38, 337.447368, ZIP, 432, 2, 216.000000, 
trial0001056, AA, 11423, 38, 300.605263, ZIP, 1979, 2, 989.500000, 
trial0001057, AA, 12461, 38, 327.921053, ZIP, 892, 2, 446.000000, 
trial0001058, AA, 12533, 38, 329.815789, ZIP, 601, 2, 300.500000, 
trial0001059, AA, 12097, 38, 318.342105, ZIP, 1182, 2, 591.000000, 
trial0001060, AA, 13475, 38, 354.605263, ZIP, 14, 2, 7.000000, 
trial0001061, AA, 13504, 38, 355.368421, ZIP, 0, 2, 0.000000, 
trial0001062, AA, 13598, 38, 357.842105, ZIP, 46, 2, 23.000000, 
trial0001063, AA, 13642, 38, 359.000000, ZIP, 11, 2, 5.500000, 
trial0001064, AA, 13047, 38, 343.342105, ZIP, 457, 2, 228.500000, 
trial0001065, AA, 12616, 38, 332.000000, ZIP, 600, 2, 300.000000, 
trial0001066, AA, 11139, 38, 293.131579, ZIP, 2109, 2, 1054.500000, 
trial0001067, AA, 12063, 38, 317.447368, ZIP, 1611, 2, 805.500000, 
trial0001068, AA, 13183, 38, 346.921053, ZIP, 256, 2, 128.000000, 
trial0001069, AA, 11403, 38, 300.078947, ZIP, 1732, 2, 866.000000, 
trial0001070, AA, 13622, 38, 358.473684, ZIP, 66, 2, 33.000000, 
trial0001071, AA, 10850, 38, 285.526316, ZIP, 2414, 2, 1207.000000, 
trial0001072, AA, 11763, 38, 309.552632, ZIP, 2011, 2, 1005.500000, 
trial0001073, AA, 13287, 38, 349.657895, ZIP, 0, 2, 0.000000, 
trial0001074, AA, 13201, 38, 347.394737, ZIP, 469, 2, 234.500000, 
trial0001075, AA, 13279, 38, 349.447368, ZIP, 145, 2, 72.500000, 
trial0001076, AA, 13662, 38, 359.526316, ZIP, 52, 2, 26.000000, 
trial0001077, AA, 13084, 38, 344.315789, ZIP, 609, 2, 304.500000, 
trial0001078, AA, 13562, 38, 356.894737, ZIP, 0, 2, 0.000000, 
trial0001079, AA, 11800, 38, 310.526316, ZIP, 1311, 2, 655.500000, 
trial0001080, AA, 13268, 38, 349.157895, ZIP, 131, 2, 65.500000, 
trial0001081, AA, 13071, 38, 343.973684, ZIP, 156, 2, 78.000000, 
trial0001082, AA, 13453, 38, 354.026316, ZIP, 249, 2, 124.500000, 
trial0001083, AA, 12739, 38, 335.236842, ZIP, 916, 2, 458.000000, 
trial0001084, AA, 12327, 38, 324.394737, ZIP, 1149, 2, 574.500000, 
trial0001085, AA, 13135, 38, 345.657895, ZIP, 344, 2, 172.000000, 
trial0001086, AA, 12437, 38, 327.289474, ZIP, 578, 2, 289.000000, 
trial0001087, AA, 11983, 38, 315.342105, ZIP, 1571, 2, 785.500000, 
trial0001088, AA, 13487, 38, 354.921053, ZIP, 0, 2, 0.000000, 
trial0001089, AA, 11486, 38, 302.263158, ZIP, 1974, 2, 987.000000, 
trial0001090, AA, 13387, 38, 352.289474, ZIP, 1, 2, 0.500000, 
trial0001091, AA, 13727, 38, 361.236842, ZIP, 0, 2, 0.000000, 
trial0001092, AA, 12854, 38, 338.263158, ZIP, 11, 2, 5.500000, 
trial0001093, AA, 12389, 38, 326.026316, ZIP, 1097, 2, 548.500000, 
trial0001094, AA, 12763, 38, 335.868421, ZIP, 161, 2, 80.500000, 
trial0001095, AA, 12164, 38, 320.105263, ZIP, 1187, 2, 593.500000, 
trial0001096, AA, 12466, 38, 328.052632, ZIP, 765, 2, 382.500000, 
trial0001097, AA, 12895, 38, 339.342105, ZIP, 781, 2, 390.500000, 
trial0001098, AA, 11926, 38, 313.842105, ZIP, 1511, 2, 755.500000, 
trial0001099, AA, 13537, 38, 356.236842, ZIP, 183, 2, 91.500000, 
trial0001100, AA, 11743, 38, 309.026316, ZIP, 1385, 2, 692.500000, 
trial0001101, AA, 12863, 38, 338.500000, ZIP, 158, 2, 79.000000, 
trial0001102, AA, 11699, 38, 307.868421, ZIP, 1094, 2, 547.000000, 
trial0001103, AA, 12983, 38, 341.657895, ZIP, 0, 2, 0.000000, 
trial0001104, AA, 11803, 38, 310.605263, ZIP, 1050, 2, 525.000000, 
trial0001105, AA, 12796, 38, 336.736842, ZIP, 22, 2, 11.000000, 
trial0001106, AA, 12132, 38, 319.263158, ZIP, 642, 2, 321.000000, 
trial0001107, AA, 10796, 38, 284.105263, ZIP, 2158, 2, 1079.000000, 
trial0001108, AA, 11949, 38, 314.447368, ZIP, 1130, 2, 565.000000, 
trial0001109, AA, 12498, 38, 328.894737, ZIP, 651, 2, 325.500000, 
trial0001110, AA, 11064, 38, 291.157895, ZIP, 2064, 2, 1032.000000, 
trial0001111, AA, 11818, 38, 311.000000, ZIP, 1137, 2, 568.500000, 
trial0001112, AA, 12019, 38, 316.289474, ZIP, 809, 2, 404.500000, 
trial0001113, AA, 12516, 38, 329.368421, ZIP, 684, 2, 342.000000, 
trial0001114, AA, 12025, 38, 316.447368, ZIP, 755, 2, 377.500000, 
trial0001115, AA, 13167, 38, 346.500000, ZIP, 0, 2, 0.000000, 
trial0001116, AA, 12296, 38, 323.578947, ZIP, 621, 2, 310.500000, 
trial0001117, AA, 12044, 38, 316.947368, ZIP, 598, 2, 299.000000, 
trial0001118, AA, 12610, 38, 331.842105, ZIP, 458, 2, 229.000000, 
trial0001119, AA, 12935, 38, 340.394737, ZIP, 20, 2, 10.000000, 
trial0001120, AA, 10782, 38, 283.736842, ZIP, 2105, 2, 1052.500000, 
trial0001121, AA, 12055, 38, 317.236842, ZIP, 954, 2, 477.000000, 
trial0001122, AA, 10259, 38, 269.973684, ZIP, 2569, 2, 1284.500000, 
trial0001123, AA, 13161, 38, 346.342105, ZIP, 68, 2, 34.000000, 
trial0001124, AA, 11961, 38, 314.763158, ZIP, 842, 2, 421.000000, 
trial0001125, AA, 11995, 38, 315.657895, ZIP, 1285, 2, 642.500000, 
trial0001126, AA, 12932, 38, 340.315789, ZIP, 0, 2, 0.000000, 
trial0001127, AA, 11022, 38, 290.052632, ZIP, 1919, 2, 959.500000, 
trial0001128, AA, 12676, 38, 333.578947, ZIP, 254, 2, 127.000000, 
trial0001129, AA, 13048, 38, 343.368421, ZIP, 121, 2, 60.500000, 
trial0001130, AA, 12059, 38, 317.342105, ZIP, 958, 2, 479.000000, 
trial0001131, AA, 12038, 38, 316.789474, ZIP, 960, 2, 480.000000, 
trial0001132, AA, 12789, 38, 336.552632, ZIP, 39, 2, 19.500000, 
trial0001133, AA, 12278, 38, 323.105263, ZIP, 478, 2, 239.000000, 
trial0001134, AA, 12923, 38, 340.078947, ZIP, 291, 2, 145.500000, 
trial0001135, AA, 13057, 38, 343.605263, ZIP, 0, 2, 0.000000, 
trial0001136, AA, 12092, 38, 318.210526, ZIP, 696, 2, 348.000000, 
trial0001137, AA, 12706, 38, 334.368421, ZIP, 342, 2, 171.000000, 
trial0001138, AA, 11721, 38, 308.447368, ZIP, 1267, 2, 633.500000, 
trial0001139, AA, 13057, 38, 343.605263, ZIP, 3, 2, 1.500000, 
trial0001140, AA, 12958, 38, 341.000000, ZIP, 21, 2, 10.500000, 
trial0001141, AA, 13170, 38, 346.578947, ZIP, 108, 2, 54.000000, 
trial0001142, AA, 11006, 38, 289.631579, ZIP, 1880, 2, 940.000000, 
trial0001143, AA, 12834, 38, 337.736842, ZIP, 2, 2, 1.000000, 
trial0001144, AA, 11469, 38, 301.815789, ZIP, 1208, 2, 604.000000, 
trial0001145, AA, 11340, 38, 298.421053, ZIP, 1151, 2, 575.500000, 
trial0001146, AA, 12518, 38, 329.421053, ZIP, 274, 2, 137.000000, 
trial0001147, AA, 12140, 38, 319.473684, ZIP, 807, 2, 403.500000, 
trial0001148, AA, 13265, 38, 349.078947, ZIP, 0, 2, 0.000000, 
trial0001149, AA, 12865, 38, 338.552632, ZIP, 3, 2, 1.500000, 
trial0001150, AA, 12769, 38, 336.026316, ZIP, 178, 2, 89.000000, 
trial0001151, AA, 13294, 38, 349.842105, ZIP, 0, 2, 0.000000, 
trial0001152, AA, 11430, 38, 300.789474, ZIP, 1464, 2, 732.000000, 
trial0001153, AA, 12214, 38, 321.421053, ZIP, 607, 2, 303.500000, 
trial0001154, AA, 12775, 38, 336.184211, ZIP, 103, 2, 51.500000, 
trial0001155, AA, 12924, 38, 340.105263, ZIP, 0, 2, 0.000000, 
trial0001156, AA, 12282, 38, 323.210526, ZIP, 669, 2, 334.500000, 
trial0001157, AA, 12240, 38, 322.105263, ZIP, 449, 2, 224.500000, 
trial0001158, AA, 11106, 38, 292.263158, ZIP, 1837, 2, 918.500000, 
trial0001159, AA, 12506, 38, 329.105263, ZIP, 275, 2, 137.500000, 
trial0001160, AA, 12479, 38, 328.394737, ZIP, 431, 2, 215.500000, 
trial0001161, AA, 11848, 38, 311.789474, ZIP, 1224, 2, 612.000000, 
trial0001162, AA, 12241, 38, 322.131579, ZIP, 791, 2, 395.500000, 
trial0001163, AA, 11218, 38, 295.210526, ZIP, 2068, 2, 1034.000000, 
trial0001164, AA, 11713, 38, 308.236842, ZIP, 1278, 2, 639.000000, 
trial0001165, AA, 11565, 38, 304.342105, ZIP, 1351, 2, 675.500000, 
trial0001166, AA, 11597, 38, 305.184211, ZIP, 1286, 2, 643.000000, 
trial0001167, AA, 13093, 38, 344.552632, ZIP, 117, 2, 58.500000, 
trial0001168, AA, 12126, 38, 319.105263, ZIP, 993, 2, 496.500000, 
trial0001169, AA, 11022, 38, 290.052632, ZIP, 1485, 2, 742.500000, 
trial0001170, AA, 11994, 38, 315.631579, ZIP, 900, 2, 450.000000, 
trial0001171, AA, 12267, 38, 322.815789, ZIP, 923, 2, 461.500000, 
trial0001172, AA, 11963, 38, 314.815789, ZIP, 1246, 2, 623.000000, 
trial0001173, AA, 11398, 38, 299.947368, ZIP, 1421, 2, 710.500000, 
trial0001174, AA, 12588, 38, 331.263158, ZIP, 386, 2, 193.000000, 
trial0001175, AA, 12536, 38, 329.894737, ZIP, 574, 2, 287.000000, 
trial0001176, AA, 12267, 38, 322.815789, ZIP, 663, 2, 331.500000, 
trial0001177, AA, 13239, 38, 348.394737, ZIP, 0, 2, 0.000000, 
trial0001178, AA, 11352, 38, 298.736842, ZIP, 1450, 2, 725.000000, 
trial0001179, AA, 12663, 38, 333.236842, ZIP, 76, 2, 38.000000, 
trial0001180, AA, 12106, 38, 318.578947, ZIP, 635, 2, 317.500000, 
trial0001181, AA, 11803, 38, 310.605263, ZIP, 1441, 2, 720.500000, 
