trial0002001, GDX, 199, 2, 99.500000, ZIP, 4367, 38, 114.921053, 
trial0002002, GDX, 404, 2, 202.000000, ZIP, 4071, 38, 107.131579, 
trial0002003, GDX, 246, 2, 123.000000, ZIP, 4015, 38, 105.657895, 
trial0002004, GDX, 27, 2, 13.500000, ZIP, 4307, 38, 113.342105, 
trial0002005, GDX, 9, 2, 4.500000, ZIP, 4417, 38, 116.236842, 
trial0002006, GDX, 634, 2, 317.000000, ZIP, 4128, 38, 108.631579, 
trial0002007, GDX, 165, 2, 82.500000, ZIP, 3955, 38, 104.078947, 
trial0002008, GDX, 715, 2, 357.500000, ZIP, 4162, 38, 109.526316, 
trial0002009, GDX, 43, 2, 21.500000, ZIP, 4170, 38, 109.736842, 
trial0002010, GDX, 24, 2, 12.000000, ZIP, 4535, 38, 119.342105, 
trial0002011, GDX, 197, 2, 98.500000, ZIP, 1955, 38, 51.447368, 
trial0002012, GDX, 168, 2, 84.000000, ZIP, 4156, 38, 109.368421, 
trial0002013, GDX, 375, 2, 187.500000, ZIP, 4476, 38, 117.789474, 
trial0002014, GDX, 14, 2, 7.000000, ZIP, 3927, 38, 103.342105, 
trial0002015, GDX, 239, 2, 119.500000, ZIP, 4082, 38, 107.421053, 
trial0002016, GDX, 208, 2, 104.000000, ZIP, 4264, 38, 112.210526, 
trial0002017, GDX, 425, 2, 212.500000, ZIP, 4150, 38, 109.210526, 
trial0002018, GDX, 424, 2, 212.000000, ZIP, 4186, 38, 110.157895, 
trial0002019, GDX, 52, 2, 26.000000, ZIP, 4331, 38, 113.973684, 
trial0002020, GDX, 0, 2, 0.000000, ZIP, 4328, 38, 113.894737, 
trial0002021, GDX, 8, 2, 4.000000, ZIP, 4698, 38, 123.631579, 
trial0002022, GDX, 99, 2, 49.500000, ZIP, 4361, 38, 114.763158, 
trial0002023, GDX, 155, 2, 77.500000, ZIP, 3943, 38, 103.763158, 
trial0002024, GDX, 173, 2, 86.500000, ZIP, 3839, 38, 101.026316, 
trial0002025, GDX, 198, 2, 99.000000, ZIP, 4383, 38, 115.342105, 
trial0002026, GDX, 232, 2, 116.000000, ZIP, 3986, 38, 104.894737, 
trial0002027, GDX, 138, 2, 69.000000, ZIP, 4369, 38, 114.973684, 
trial0002028, GDX, 401, 2, 200.500000, ZIP, 3998, 38, 105.210526, 
trial0002029, GDX, 269, 2, 134.500000, ZIP, 4847, 38, 127.552632, 
trial0002030, GDX, 308, 2, 154.000000, ZIP, 4410, 38, 116.052632, 
