trial0001001, AA, 3048, 14, 217.714286, GDX, 2847, 14, 203.357143, ZIC, 1755, 14, 125.357143, 
trial0001002, AA, 2442, 14, 174.428571, GDX, 4951, 14, 353.642857, ZIC, 1297, 14, 92.642857, 
trial0001003, AA, 3506, 14, 250.428571, GDX, 2664, 14, 190.285714, ZIC, 2235, 14, 159.642857, 
trial0001004, AA, 2400, 14, 171.428571, GDX, 4297, 14, 306.928571, ZIC, 2039, 14, 145.642857, 
trial0001005, AA, 3160, 14, 225.714286, GDX, 3818, 14, 272.714286, ZIC, 1712, 14, 122.285714, 
trial0001006, AA, 3901, 14, 278.642857, GDX, 3185, 14, 227.500000, ZIC, 1063, 14, 75.928571, 
trial0001007, AA, 3290, 14, 235.000000, GDX, 1936, 14, 138.285714, ZIC, 2628, 14, 187.714286, 
trial0001008, AA, 4031, 14, 287.928571, GDX, 2520, 14, 180.000000, ZIC, 1894, 14, 135.285714, 
trial0001009, AA, 3709, 14, 264.928571, GDX, 2684, 14, 191.714286, ZIC, 1780, 14, 127.142857, 
trial0001010, AA, 3462, 14, 247.285714, GDX, 3369, 14, 240.642857, ZIC, 1674, 14, 119.571429, 
trial0001011, AA, 2651, 14, 189.357143, GDX, 3344, 14, 238.857143, ZIC, 2526, 14, 180.428571, 
trial0001012, AA, 1295, 14, 92.500000, GDX, 4286, 14, 306.142857, ZIC, 2886, 14, 206.142857, 
trial0001013, AA, 2680, 14, 191.428571, GDX, 3110, 14, 222.142857, ZIC, 2194, 14, 156.714286, 
trial0001014, AA, 2801, 14, 200.071429, GDX, 2484, 14, 177.428571, ZIC, 2862, 14, 204.428571, 
trial0001015, AA, 3002, 14, 214.428571, GDX, 4339, 14, 309.928571, ZIC, 1445, 14, 103.214286, 
trial0001016, AA, 2570, 14, 183.571429, GDX, 2479, 14, 177.071429, ZIC, 3135, 14, 223.928571, 
trial0001017, AA, 3521, 14, 251.500000, GDX, 3398, 14, 242.714286, ZIC, 1761, 14, 125.785714, 
trial0001018, AA, 1011, 14, 72.214286, GDX, 4039, 14, 288.500000, ZIC, 3437, 14, 245.500000, 
trial0001019, AA, 3141, 14, 224.357143, GDX, 2234, 14, 159.571429, ZIC, 2769, 14, 197.785714, 
trial0001020, AA, 3786, 14, 270.428571, GDX, 3292, 14, 235.142857, ZIC, 1636, 14, 116.857143, 
trial0001021, AA, 2458, 14, 175.571429, GDX, 3287, 14, 234.785714, ZIC, 2648, 14, 189.142857, 
trial0001022, AA, 2837, 14, 202.642857, GDX, 2500, 14, 178.571429, ZIC, 2970, 14, 212.142857, 
trial0001023, AA, 1851, 14, 132.214286, GDX, 2711, 14, 193.642857, ZIC, 3505, 14, 250.357143, 
trial0001024, AA, 2845, 14, 203.214286, GDX, 2270, 14, 162.142857, ZIC, 3628, 14, 259.142857, 
trial0001025, AA, 3585, 14, 256.071429, GDX, 3620, 14, 258.571429, ZIC, 1669, 14, 119.214286, 
trial0001026, AA, 2045, 14, 146.071429, GDX, 3260, 14, 232.857143, ZIC, 2849, 14, 203.500000, 
trial0001027, AA, 2873, 14, 205.214286, GDX, 2925, 14, 208.928571, ZIC, 2141, 14, 152.928571, 
trial0001028, AA, 2166, 14, 154.714286, GDX, 2753, 14, 196.642857, ZIC, 3422, 14, 244.428571, 
trial0001029, AA, 2321, 14, 165.785714, GDX, 4635, 14, 331.071429, ZIC, 1389, 14, 99.214286, 
trial0001030, AA, 3465, 14, 247.500000, GDX, 3307, 14, 236.214286, ZIC, 2342, 14, 167.285714, 
trial0001031, AA, 2227, 14, 159.071429, GDX, 2522, 14, 180.142857, ZIC, 2891, 14, 206.500000, 
trial0001032, AA, 4005, 14, 286.071429, GDX, 1230, 14, 87.857143, ZIC, 3456, 14, 246.857143, 
trial0001033, AA, 2008, 14, 143.428571, GDX, 3549, 14, 253.500000, ZIC, 2826, 14, 201.857143, 
trial0001034, AA, 4087, 14, 291.928571, GDX, 2232, 14, 159.428571, ZIC, 2432, 14, 173.714286, 
trial0001035, AA, 3014, 14, 215.285714, GDX, 3298, 14, 235.571429, ZIC, 1658, 14, 118.428571, 
trial0001036, AA, 3417, 14, 244.071429, GDX, 3229, 14, 230.642857, ZIC, 1856, 14, 132.571429, 
trial0001037, AA, 3169, 14, 226.357143, GDX, 2690, 14, 192.142857, ZIC, 1643, 14, 117.357143, 
trial0001038, AA, 3007, 14, 214.785714, GDX, 4327, 14, 309.071429, ZIC, 2254, 14, 161.000000, 
trial0001039, AA, 3179, 14, 227.071429, GDX, 1514, 14, 108.142857, ZIC, 3477, 14, 248.357143, 
trial0001040, AA, 3252, 14, 232.285714, GDX, 1784, 14, 127.428571, ZIC, 3462, 14, 247.285714, 
trial0001041, AA, 2110, 14, 150.714286, GDX, 3185, 14, 227.500000, ZIC, 3278, 14, 234.142857, 
trial0001042, AA, 2890, 14, 206.428571, GDX, 3425, 14, 244.642857, ZIC, 1772, 14, 126.571429, 
trial0001043, AA, 2468, 14, 176.285714, GDX, 3933, 14, 280.928571, ZIC, 1994, 14, 142.428571, 
