trial0003001, GDX, 2280, 14, 162.857143, ZIC, 2024, 14, 144.571429, ZIP, 3848, 14, 274.857143, 
trial0003002, GDX, 3407, 14, 243.357143, ZIC, 2011, 14, 143.642857, ZIP, 2415, 14, 172.500000, 
trial0003003, GDX, 1256, 14, 89.714286, ZIC, 2439, 14, 174.214286, ZIP, 3537, 14, 252.642857, 
trial0003004, GDX, 2717, 14, 194.071429, ZIC, 2289, 14, 163.500000, ZIP, 2862, 14, 204.428571, 
trial0003005, GDX, 3433, 14, 245.214286, ZIC, 1938, 14, 138.428571, ZIP, 2397, 14, 171.214286, 
trial0003006, GDX, 3971, 14, 283.642857, ZIC, 2094, 14, 149.571429, ZIP, 2101, 14, 150.071429, 
trial0003007, GDX, 3200, 14, 228.571429, ZIC, 988, 14, 70.571429, ZIP, 3394, 14, 242.428571, 
trial0003008, GDX, 3009, 14, 214.928571, ZIC, 1339, 14, 95.642857, ZIP, 2400, 14, 171.428571, 
trial0003009, GDX, 2507, 14, 179.071429, ZIC, 1840, 14, 131.428571, ZIP, 3161, 14, 225.785714, 
trial0003010, GDX, 2857, 14, 204.071429, ZIC, 1362, 14, 97.285714, ZIP, 2948, 14, 210.571429, 
trial0003011, GDX, 1791, 14, 127.928571, ZIC, 3581, 14, 255.785714, ZIP, 2725, 14, 194.642857, 
trial0003012, GDX, 2037, 14, 145.500000, ZIC, 1929, 14, 137.785714, ZIP, 4271, 14, 305.071429, 
trial0003013, GDX, 2568, 14, 183.428571, ZIC, 3000, 14, 214.285714, ZIP, 2239, 14, 159.928571, 
trial0003014, GDX, 2326, 14, 166.142857, ZIC, 2244, 14, 160.285714, ZIP, 3167, 14, 226.214286, 
trial0003015, GDX, 3490, 14, 249.285714, ZIC, 1396, 14, 99.714286, ZIP, 2997, 14, 214.071429, 
trial0003016, GDX, 2148, 14, 153.428571, ZIC, 1923, 14, 137.357143, ZIP, 4300, 14, 307.142857, 
trial0003017, GDX, 2286, 14, 163.285714, ZIC, 2313, 14, 165.214286, ZIP, 2978, 14, 212.714286, 
trial0003018, GDX, 2711, 14, 193.642857, ZIC, 2490, 14, 177.857143, ZIP, 2261, 14, 161.500000, 
trial0003019, GDX, 3340, 14, 238.571429, ZIC, 2289, 14, 163.500000, ZIP, 2437, 14, 174.071429, 
trial0003020, GDX, 2971, 14, 212.214286, ZIC, 1637, 14, 116.928571, ZIP, 3226, 14, 230.428571, 
trial0003021, GDX, 2373, 14, 169.500000, ZIC, 2110, 14, 150.714286, ZIP, 2727, 14, 194.785714, 
trial0003022, GDX, 2511, 14, 179.357143, ZIC, 1917, 14, 136.928571, ZIP, 2941, 14, 210.071429, 
trial0003023, GDX, 2768, 14, 197.714286, ZIC, 1473, 14, 105.214286, ZIP, 2966, 14, 211.857143, 
trial0003024, GDX, 2820, 14, 201.428571, ZIC, 2039, 14, 145.642857, ZIP, 2609, 14, 186.357143, 
trial0003025, GDX, 3659, 14, 261.357143, ZIC, 1654, 14, 118.142857, ZIP, 2418, 14, 172.714286, 
trial0003026, GDX, 2018, 14, 144.142857, ZIC, 2719, 14, 194.214286, ZIP, 2725, 14, 194.642857, 
trial0003027, GDX, 3750, 14, 267.857143, ZIC, 1881, 14, 134.357143, ZIP, 3130, 14, 223.571429, 
trial0003028, GDX, 2033, 14, 145.214286, ZIC, 1604, 14, 114.571429, ZIP, 2956, 14, 211.142857, 
trial0003029, GDX, 3254, 14, 232.428571, ZIC, 1708, 14, 122.000000, ZIP, 2696, 14, 192.571429, 
trial0003030, GDX, 672, 14, 48.000000, ZIC, 3297, 14, 235.500000, ZIP, 4056, 14, 289.714286, 
trial0003031, GDX, 2972, 14, 212.285714, ZIC, 2358, 14, 168.428571, ZIP, 2762, 14, 197.285714, 
trial0003032, GDX, 2555, 14, 182.500000, ZIC, 1473, 14, 105.214286, ZIP, 3639, 14, 259.928571, 
trial0003033, GDX, 2161, 14, 154.357143, ZIC, 3100, 14, 221.428571, ZIP, 2857, 14, 204.071429, 
trial0003034, GDX, 3431, 14, 245.071429, ZIC, 1598, 14, 114.142857, ZIP, 2535, 14, 181.071429, 
trial0003035, GDX, 2907, 14, 207.642857, ZIC, 1485, 14, 106.071429, ZIP, 3413, 14, 243.785714, 
trial0003036, GDX, 2955, 14, 211.071429, ZIC, 1546, 14, 110.428571, ZIP, 2729, 14, 194.928571, 
trial0003037, GDX, 3016, 14, 215.428571, ZIC, 2388, 14, 170.571429, ZIP, 2045, 14, 146.071429, 
trial0003038, GDX, 2108, 14, 150.571429, ZIC, 2916, 14, 208.285714, ZIP, 2417, 14, 172.642857, 
trial0003039, GDX, 1717, 14, 122.642857, ZIC, 2173, 14, 155.214286, ZIP, 4044, 14, 288.857143, 
trial0003040, GDX, 3329, 14, 237.785714, ZIC, 1490, 14, 106.428571, ZIP, 3265, 14, 233.214286, 
trial0003041, GDX, 1156, 14, 82.571429, ZIC, 2323, 14, 165.928571, ZIP, 3814, 14, 272.428571, 
trial0003042, GDX, 1777, 14, 126.928571, ZIC, 3397, 14, 242.642857, ZIP, 2490, 14, 177.857143, 
trial0003043, GDX, 2843, 14, 203.071429, ZIC, 2003, 14, 143.071429, ZIP, 3026, 14, 216.142857, 
trial0003044, GDX, 3739, 14, 267.071429, ZIC, 2299, 14, 164.214286, ZIP, 1808, 14, 129.142857, 
trial0003045, GDX, 3270, 14, 233.571429, ZIC, 1974, 14, 141.000000, ZIP, 2627, 14, 187.642857, 
trial0003046, GDX, 2958, 14, 211.285714, ZIC, 2444, 14, 174.571429, ZIP, 2176, 14, 155.428571, 
trial0003047, GDX, 3174, 14, 226.714286, ZIC, 1938, 14, 138.428571, ZIP, 2661, 14, 190.071429, 
trial0003048, GDX, 1985, 14, 141.785714, ZIC, 1855, 14, 132.500000, ZIP, 3248, 14, 232.000000, 
trial0003049, GDX, 2169, 14, 154.928571, ZIC, 2628, 14, 187.714286, ZIP, 3505, 14, 250.357143, 
trial0003050, GDX, 2479, 14, 177.071429, ZIC, 3415, 14, 243.928571, ZIP, 958, 14, 68.428571, 
trial0003051, GDX, 1772, 14, 126.571429, ZIC, 3886, 14, 277.571429, ZIP, 2147, 14, 153.357143, 
trial0003052, GDX, 2786, 14, 199.000000, ZIC, 1748, 14, 124.857143, ZIP, 3014, 14, 215.285714, 
trial0003053, GDX, 4309, 14, 307.785714, ZIC, 2142, 14, 153.000000, ZIP, 1971, 14, 140.785714, 
trial0003054, GDX, 3641, 14, 260.071429, ZIC, 1180, 14, 84.285714, ZIP, 2818, 14, 201.285714, 
trial0003055, GDX, 1639, 14, 117.071429, ZIC, 2263, 14, 161.642857, ZIP, 2973, 14, 212.357143, 
trial0003056, GDX, 3727, 14, 266.214286, ZIC, 1957, 14, 139.785714, ZIP, 2333, 14, 166.642857, 
trial0003057, GDX, 3126, 14, 223.285714, ZIC, 824, 14, 58.857143, ZIP, 3516, 14, 251.142857, 
trial0003058, GDX, 2149, 14, 153.500000, ZIC, 2871, 14, 205.071429, ZIP, 2827, 14, 201.928571, 
trial0003059, GDX, 2331, 14, 166.500000, ZIC, 2155, 14, 153.928571, ZIP, 2736, 14, 195.428571, 
trial0003060, GDX, 1643, 14, 117.357143, ZIC, 4192, 14, 299.428571, ZIP, 2059, 14, 147.071429, 
trial0003061, GDX, 2437, 14, 174.071429, ZIC, 2029, 14, 144.928571, ZIP, 2830, 14, 202.142857, 
trial0003062, GDX, 2483, 14, 177.357143, ZIC, 2783, 14, 198.785714, ZIP, 2593, 14, 185.214286, 
trial0003063, GDX, 2621, 14, 187.214286, ZIC, 1301, 14, 92.928571, ZIP, 3179, 14, 227.071429, 
trial0003064, GDX, 3094, 14, 221.000000, ZIC, 2516, 14, 179.714286, ZIP, 2299, 14, 164.214286, 
trial0003065, GDX, 2982, 14, 213.000000, ZIC, 1542, 14, 110.142857, ZIP, 3339, 14, 238.500000, 
trial0003066, GDX, 3402, 14, 243.000000, ZIC, 2633, 14, 188.071429, ZIP, 1986, 14, 141.857143, 
trial0003067, GDX, 3875, 14, 276.785714, ZIC, 1642, 14, 117.285714, ZIP, 2198, 14, 157.000000, 
trial0003068, GDX, 1877, 14, 134.071429, ZIC, 2440, 14, 174.285714, ZIP, 3273, 14, 233.785714, 
trial0003069, GDX, 2630, 14, 187.857143, ZIC, 486, 14, 34.714286, ZIP, 4602, 14, 328.714286, 
trial0003070, GDX, 2442, 14, 174.428571, ZIC, 1849, 14, 132.071429, ZIP, 3444, 14, 246.000000, 
trial0003071, GDX, 2545, 14, 181.785714, ZIC, 2174, 14, 155.285714, ZIP, 2778, 14, 198.428571, 
trial0003072, GDX, 3851, 14, 275.071429, ZIC, 1359, 14, 97.071429, ZIP, 2285, 14, 163.214286, 
trial0003073, GDX, 3114, 14, 222.428571, ZIC, 804, 14, 57.428571, ZIP, 3808, 14, 272.000000, 
trial0003074, GDX, 3559, 14, 254.214286, ZIC, 2257, 14, 161.214286, ZIP, 2334, 14, 166.714286, 
trial0003075, GDX, 2143, 14, 153.071429, ZIC, 2733, 14, 195.214286, ZIP, 2876, 14, 205.428571, 
trial0003076, GDX, 2067, 14, 147.642857, ZIC, 3068, 14, 219.142857, ZIP, 2429, 14, 173.500000, 
trial0003077, GDX, 2238, 14, 159.857143, ZIC, 1547, 14, 110.500000, ZIP, 3552, 14, 253.714286, 
trial0003078, GDX, 3001, 14, 214.357143, ZIC, 2935, 14, 209.642857, ZIP, 1679, 14, 119.928571, 
trial0003079, GDX, 1900, 14, 135.714286, ZIC, 1953, 14, 139.500000, ZIP, 3915, 14, 279.642857, 
trial0003080, GDX, 2440, 14, 174.285714, ZIC, 3360, 14, 240.000000, ZIP, 2280, 14, 162.857143, 
trial0003081, GDX, 2348, 14, 167.714286, ZIC, 1589, 14, 113.500000, ZIP, 3880, 14, 277.142857, 
trial0003082, GDX, 1034, 14, 73.857143, ZIC, 1583, 14, 113.071429, ZIP, 5237, 14, 374.071429, 
trial0003083, GDX, 2098, 14, 149.857143, ZIC, 1308, 14, 93.428571, ZIP, 3983, 14, 284.500000, 
trial0003084, GDX, 2561, 14, 182.928571, ZIC, 2840, 14, 202.857143, ZIP, 2376, 14, 169.714286, 
trial0003085, GDX, 3453, 14, 246.642857, ZIC, 2259, 14, 161.357143, ZIP, 1963, 14, 140.214286, 
trial0003086, GDX, 3125, 14, 223.214286, ZIC, 1670, 14, 119.285714, ZIP, 2148, 14, 153.428571, 
trial0003087, GDX, 2076, 14, 148.285714, ZIC, 1793, 14, 128.071429, ZIP, 3270, 14, 233.571429, 
trial0003088, GDX, 2515, 14, 179.642857, ZIC, 2113, 14, 150.928571, ZIP, 2822, 14, 201.571429, 
trial0003089, GDX, 3530, 14, 252.142857, ZIC, 2047, 14, 146.214286, ZIP, 2201, 14, 157.214286, 
trial0003090, GDX, 2272, 14, 162.285714, ZIC, 1506, 14, 107.571429, ZIP, 2956, 14, 211.142857, 
trial0003091, GDX, 2424, 14, 173.142857, ZIC, 2380, 14, 170.000000, ZIP, 3258, 14, 232.714286, 
trial0003092, GDX, 3396, 14, 242.571429, ZIC, 2422, 14, 173.000000, ZIP, 1668, 14, 119.142857, 
trial0003093, GDX, 3065, 14, 218.928571, ZIC, 1133, 14, 80.928571, ZIP, 3879, 14, 277.071429, 
trial0003094, GDX, 2074, 14, 148.142857, ZIC, 3444, 14, 246.000000, ZIP, 2176, 14, 155.428571, 
trial0003095, GDX, 1421, 14, 101.500000, ZIC, 2560, 14, 182.857143, ZIP, 4044, 14, 288.857143, 
trial0003096, GDX, 2650, 14, 189.285714, ZIC, 2381, 14, 170.071429, ZIP, 3308, 14, 236.285714, 
trial0003097, GDX, 1668, 14, 119.142857, ZIC, 1640, 14, 117.142857, ZIP, 4585, 14, 327.500000, 
trial0003098, GDX, 1833, 14, 130.928571, ZIC, 1280, 14, 91.428571, ZIP, 1990, 14, 142.142857, 
trial0003099, GDX, 1555, 14, 111.071429, ZIC, 1405, 14, 100.357143, ZIP, 1707, 14, 121.928571, 
trial0003100, GDX, 1280, 14, 91.428571, ZIC, 1391, 14, 99.357143, ZIP, 2333, 14, 166.642857, 
trial0003101, GDX, 1568, 14, 112.000000, ZIC, 839, 14, 59.928571, ZIP, 1040, 14, 74.285714, 
trial0003102, GDX, 1160, 14, 82.857143, ZIC, 1247, 14, 89.071429, ZIP, 1800, 14, 128.571429, 
trial0003103, GDX, 1487, 14, 106.214286, ZIC, 1012, 14, 72.285714, ZIP, 2375, 14, 169.642857, 
trial0003104, GDX, 1492, 14, 106.571429, ZIC, 1272, 14, 90.857143, ZIP, 2065, 14, 147.500000, 
trial0003105, GDX, 1424, 14, 101.714286, ZIC, 1425, 14, 101.785714, ZIP, 1644, 14, 117.428571, 
trial0003106, GDX, 1675, 14, 119.642857, ZIC, 1472, 14, 105.142857, ZIP, 1761, 14, 125.785714, 
trial0003107, GDX, 1428, 14, 102.000000, ZIC, 1343, 14, 95.928571, ZIP, 1952, 14, 139.428571, 
trial0003108, GDX, 1958, 14, 139.857143, ZIC, 703, 14, 50.214286, ZIP, 2192, 14, 156.571429, 
trial0003109, GDX, 1531, 14, 109.357143, ZIC, 1418, 14, 101.285714, ZIP, 2167, 14, 154.785714, 
trial0003110, GDX, 2545, 14, 181.785714, ZIC, 1056, 14, 75.428571, ZIP, 1606, 14, 114.714286, 
trial0003111, GDX, 1666, 14, 119.000000, ZIC, 1078, 14, 77.000000, ZIP, 2292, 14, 163.714286, 
trial0003112, GDX, 1909, 14, 136.357143, ZIC, 1255, 14, 89.642857, ZIP, 1555, 14, 111.071429, 
trial0003113, GDX, 2020, 14, 144.285714, ZIC, 584, 14, 41.714286, ZIP, 2339, 14, 167.071429, 
trial0003114, GDX, 735, 14, 52.500000, ZIC, 1330, 14, 95.000000, ZIP, 3078, 14, 219.857143, 
trial0003115, GDX, 2602, 14, 185.857143, ZIC, 944, 14, 67.428571, ZIP, 1337, 14, 95.500000, 
trial0003116, GDX, 1933, 14, 138.071429, ZIC, 801, 14, 57.214286, ZIP, 1708, 14, 122.000000, 
trial0003117, GDX, 1390, 14, 99.285714, ZIC, 1922, 14, 137.285714, ZIP, 1590, 14, 113.571429, 
trial0003118, GDX, 1756, 14, 125.428571, ZIC, 1467, 14, 104.785714, ZIP, 1789, 14, 127.785714, 
trial0003119, GDX, 1602, 14, 114.428571, ZIC, 989, 14, 70.642857, ZIP, 2710, 14, 193.571429, 
trial0003120, GDX, 1215, 14, 86.785714, ZIC, 1577, 14, 112.642857, ZIP, 1861, 14, 132.928571, 
trial0003121, GDX, 2426, 14, 173.285714, ZIC, 798, 14, 57.000000, ZIP, 1780, 14, 127.142857, 
trial0003122, GDX, 2015, 14, 143.928571, ZIC, 1247, 14, 89.071429, ZIP, 2038, 14, 145.571429, 
trial0003123, GDX, 1120, 14, 80.000000, ZIC, 945, 14, 67.500000, ZIP, 3090, 14, 220.714286, 
trial0003124, GDX, 2376, 14, 169.714286, ZIC, 717, 14, 51.214286, ZIP, 2149, 14, 153.500000, 
trial0003125, GDX, 1069, 14, 76.357143, ZIC, 1575, 14, 112.500000, ZIP, 2699, 14, 192.785714, 
trial0003126, GDX, 1124, 14, 80.285714, ZIC, 1053, 14, 75.214286, ZIP, 2596, 14, 185.428571, 
trial0003127, GDX, 987, 14, 70.500000, ZIC, 1520, 14, 108.571429, ZIP, 2164, 14, 154.571429, 
trial0003128, GDX, 958, 14, 68.428571, ZIC, 954, 14, 68.142857, ZIP, 3035, 14, 216.785714, 
trial0003129, GDX, 1448, 14, 103.428571, ZIC, 1996, 14, 142.571429, ZIP, 1648, 14, 117.714286, 
trial0003130, GDX, 1979, 14, 141.357143, ZIC, 1167, 14, 83.357143, ZIP, 1767, 14, 126.214286, 
trial0003131, GDX, 1561, 14, 111.500000, ZIC, 1291, 14, 92.214286, ZIP, 2148, 14, 153.428571, 
trial0003132, GDX, 2050, 14, 146.428571, ZIC, 1584, 14, 113.142857, ZIP, 1707, 14, 121.928571, 
trial0003133, GDX, 1501, 14, 107.214286, ZIC, 1055, 14, 75.357143, ZIP, 2690, 14, 192.142857, 
trial0003134, GDX, 1107, 14, 79.071429, ZIC, 1537, 14, 109.785714, ZIP, 2565, 14, 183.214286, 
