trial0033601, AA, 622, 22, 28.272727, GDX, 87, 2, 43.500000, ZIP, 186, 8, 23.250000, 
trial0033602, AA, 692, 22, 31.454545, GDX, 0, 2, 0.000000, ZIP, 215, 8, 26.875000, 
trial0033603, AA, 680, 22, 30.909091, GDX, 0, 2, 0.000000, ZIP, 205, 8, 25.625000, 
trial0033604, AA, 722, 22, 32.818182, GDX, 7, 2, 3.500000, ZIP, 136, 8, 17.000000, 
trial0033605, AA, 646, 22, 29.363636, GDX, 6, 2, 3.000000, ZIP, 281, 8, 35.125000, 
trial0033606, AA, 308, 22, 14.000000, GDX, 157, 2, 78.500000, ZIP, 294, 8, 36.750000, 
trial0033607, AA, 660, 22, 30.000000, GDX, 0, 2, 0.000000, ZIP, 231, 8, 28.875000, 
trial0033608, AA, 652, 22, 29.636364, GDX, 0, 2, 0.000000, ZIP, 173, 8, 21.625000, 
trial0033609, AA, 606, 22, 27.545455, GDX, 86, 2, 43.000000, ZIP, 138, 8, 17.250000, 
trial0033610, AA, 603, 22, 27.409091, GDX, 91, 2, 45.500000, ZIP, 212, 8, 26.500000, 
trial0033611, AA, 817, 22, 37.136364, GDX, 0, 2, 0.000000, ZIP, 59, 8, 7.375000, 
trial0033612, AA, 641, 22, 29.136364, GDX, 49, 2, 24.500000, ZIP, 192, 8, 24.000000, 
trial0033613, AA, 604, 22, 27.454545, GDX, 0, 2, 0.000000, ZIP, 250, 8, 31.250000, 
trial0033614, AA, 549, 22, 24.954545, GDX, 49, 2, 24.500000, ZIP, 294, 8, 36.750000, 
trial0033615, AA, 673, 22, 30.590909, GDX, 0, 2, 0.000000, ZIP, 252, 8, 31.500000, 
trial0033616, AA, 711, 22, 32.318182, GDX, 43, 2, 21.500000, ZIP, 185, 8, 23.125000, 
trial0033617, AA, 579, 22, 26.318182, GDX, 63, 2, 31.500000, ZIP, 146, 8, 18.250000, 
trial0033618, AA, 725, 22, 32.954545, GDX, 57, 2, 28.500000, ZIP, 85, 8, 10.625000, 
trial0033619, AA, 668, 22, 30.363636, GDX, 6, 2, 3.000000, ZIP, 246, 8, 30.750000, 
trial0033620, AA, 583, 22, 26.500000, GDX, 45, 2, 22.500000, ZIP, 306, 8, 38.250000, 
trial0033621, AA, 641, 22, 29.136364, GDX, 0, 2, 0.000000, ZIP, 216, 8, 27.000000, 
trial0033622, AA, 553, 22, 25.136364, GDX, 70, 2, 35.000000, ZIP, 245, 8, 30.625000, 
trial0033623, AA, 565, 22, 25.681818, GDX, 15, 2, 7.500000, ZIP, 262, 8, 32.750000, 
trial0033624, AA, 722, 22, 32.818182, GDX, 0, 2, 0.000000, ZIP, 228, 8, 28.500000, 
trial0033625, AA, 614, 22, 27.909091, GDX, 0, 2, 0.000000, ZIP, 295, 8, 36.875000, 
trial0033626, AA, 665, 22, 30.227273, GDX, 73, 2, 36.500000, ZIP, 133, 8, 16.625000, 
trial0033627, AA, 773, 22, 35.136364, GDX, 37, 2, 18.500000, ZIP, 184, 8, 23.000000, 
trial0033628, AA, 573, 22, 26.045455, GDX, 0, 2, 0.000000, ZIP, 340, 8, 42.500000, 
trial0033629, AA, 651, 22, 29.590909, GDX, 47, 2, 23.500000, ZIP, 123, 8, 15.375000, 
trial0033630, AA, 799, 22, 36.318182, GDX, 0, 2, 0.000000, ZIP, 69, 8, 8.625000, 
trial0033631, AA, 1061, 22, 48.227273, GDX, 170, 2, 85.000000, ZIP, 354, 8, 44.250000, 
trial0033632, AA, 1108, 22, 50.363636, GDX, 24, 2, 12.000000, ZIP, 405, 8, 50.625000, 
trial0033633, AA, 1060, 22, 48.181818, GDX, 0, 2, 0.000000, ZIP, 365, 8, 45.625000, 
trial0033634, AA, 935, 22, 42.500000, GDX, 111, 2, 55.500000, ZIP, 303, 8, 37.875000, 
trial0033635, AA, 951, 22, 43.227273, GDX, 38, 2, 19.000000, ZIP, 376, 8, 47.000000, 
trial0033636, AA, 786, 22, 35.727273, GDX, 80, 2, 40.000000, ZIP, 625, 8, 78.125000, 
trial0033637, AA, 1093, 22, 49.681818, GDX, 100, 2, 50.000000, ZIP, 278, 8, 34.750000, 
trial0033638, AA, 1073, 22, 48.772727, GDX, 68, 2, 34.000000, ZIP, 298, 8, 37.250000, 
trial0033639, AA, 1027, 22, 46.681818, GDX, 112, 2, 56.000000, ZIP, 290, 8, 36.250000, 
trial0033640, AA, 906, 22, 41.181818, GDX, 0, 2, 0.000000, ZIP, 434, 8, 54.250000, 
trial0033641, AA, 1316, 22, 59.818182, GDX, 32, 2, 16.000000, ZIP, 197, 8, 24.625000, 
trial0033642, AA, 1275, 22, 57.954545, GDX, 178, 2, 89.000000, ZIP, 75, 8, 9.375000, 
trial0033643, AA, 1194, 22, 54.272727, GDX, 151, 2, 75.500000, ZIP, 208, 8, 26.000000, 
trial0033644, AA, 1054, 22, 47.909091, GDX, 26, 2, 13.000000, ZIP, 416, 8, 52.000000, 
trial0033645, AA, 1153, 22, 52.409091, GDX, 42, 2, 21.000000, ZIP, 217, 8, 27.125000, 
trial0033646, AA, 1039, 22, 47.227273, GDX, 111, 2, 55.500000, ZIP, 239, 8, 29.875000, 
trial0033647, AA, 694, 22, 31.545455, GDX, 200, 2, 100.000000, ZIP, 626, 8, 78.250000, 
trial0033648, AA, 1173, 22, 53.318182, GDX, 100, 2, 50.000000, ZIP, 274, 8, 34.250000, 
trial0033649, AA, 808, 22, 36.727273, GDX, 37, 2, 18.500000, ZIP, 569, 8, 71.125000, 
trial0033650, AA, 828, 22, 37.636364, GDX, 82, 2, 41.000000, ZIP, 486, 8, 60.750000, 
trial0033651, AA, 921, 22, 41.863636, GDX, 78, 2, 39.000000, ZIP, 363, 8, 45.375000, 
trial0033652, AA, 1068, 22, 48.545455, GDX, 71, 2, 35.500000, ZIP, 276, 8, 34.500000, 
