trial0032401, GDX, 312, 4, 78.000000, ZIC, 655, 12, 54.583333, ZIP, 769, 16, 48.062500, 
trial0032402, GDX, 262, 4, 65.500000, ZIC, 705, 12, 58.750000, ZIP, 821, 16, 51.312500, 
trial0032403, GDX, 38, 4, 9.500000, ZIC, 822, 12, 68.500000, ZIP, 903, 16, 56.437500, 
trial0032404, GDX, 380, 4, 95.000000, ZIC, 497, 12, 41.416667, ZIP, 964, 16, 60.250000, 
trial0032405, GDX, 227, 4, 56.750000, ZIC, 411, 12, 34.250000, ZIP, 1226, 16, 76.625000, 
trial0032406, GDX, 271, 4, 67.750000, ZIC, 678, 12, 56.500000, ZIP, 867, 16, 54.187500, 
trial0032407, GDX, 207, 4, 51.750000, ZIC, 573, 12, 47.750000, ZIP, 1006, 16, 62.875000, 
trial0032408, GDX, 238, 4, 59.500000, ZIC, 932, 12, 77.666667, ZIP, 687, 16, 42.937500, 
trial0032409, GDX, 175, 4, 43.750000, ZIC, 501, 12, 41.750000, ZIP, 1142, 16, 71.375000, 
trial0032410, GDX, 132, 4, 33.000000, ZIC, 597, 12, 49.750000, ZIP, 1133, 16, 70.812500, 
trial0032411, GDX, 397, 4, 99.250000, ZIC, 285, 12, 23.750000, ZIP, 1024, 16, 64.000000, 
trial0032412, GDX, 268, 4, 67.000000, ZIC, 831, 12, 69.250000, ZIP, 750, 16, 46.875000, 
trial0032413, GDX, 0, 4, 0.000000, ZIC, 858, 12, 71.500000, ZIP, 796, 16, 49.750000, 
trial0032414, GDX, 439, 4, 109.750000, ZIC, 585, 12, 48.750000, ZIP, 755, 16, 47.187500, 
trial0032415, GDX, 247, 4, 61.750000, ZIC, 465, 12, 38.750000, ZIP, 995, 16, 62.187500, 
trial0032416, GDX, 113, 4, 28.250000, ZIC, 597, 12, 49.750000, ZIP, 1062, 16, 66.375000, 
trial0032417, GDX, 120, 4, 30.000000, ZIC, 550, 12, 45.833333, ZIP, 1118, 16, 69.875000, 
trial0032418, GDX, 293, 4, 73.250000, ZIC, 358, 12, 29.833333, ZIP, 1145, 16, 71.562500, 
trial0032419, GDX, 195, 4, 48.750000, ZIC, 463, 12, 38.583333, ZIP, 1090, 16, 68.125000, 
trial0032420, GDX, 160, 4, 40.000000, ZIC, 923, 12, 76.916667, ZIP, 700, 16, 43.750000, 
trial0032421, GDX, 246, 4, 61.500000, ZIC, 384, 12, 32.000000, ZIP, 1183, 16, 73.937500, 
trial0032422, GDX, 190, 4, 47.500000, ZIC, 769, 12, 64.083333, ZIP, 877, 16, 54.812500, 
trial0032423, GDX, 192, 4, 48.000000, ZIC, 830, 12, 69.166667, ZIP, 731, 16, 45.687500, 
trial0032424, GDX, 275, 4, 68.750000, ZIC, 717, 12, 59.750000, ZIP, 757, 16, 47.312500, 
trial0032425, GDX, 358, 4, 89.500000, ZIC, 667, 12, 55.583333, ZIP, 734, 16, 45.875000, 
trial0032426, GDX, 150, 4, 37.500000, ZIC, 503, 12, 41.916667, ZIP, 1073, 16, 67.062500, 
trial0032427, GDX, 209, 4, 52.250000, ZIC, 514, 12, 42.833333, ZIP, 836, 16, 52.250000, 
trial0032428, GDX, 93, 4, 23.250000, ZIC, 549, 12, 45.750000, ZIP, 919, 16, 57.437500, 
trial0032429, GDX, 138, 4, 34.500000, ZIC, 632, 12, 52.666667, ZIP, 683, 16, 42.687500, 
trial0032430, GDX, 135, 4, 33.750000, ZIC, 705, 12, 58.750000, ZIP, 691, 16, 43.187500, 
trial0032431, GDX, 42, 4, 10.500000, ZIC, 9, 12, 0.750000, ZIP, 140, 16, 8.750000, 
trial0032432, GDX, 13, 4, 3.250000, ZIC, 110, 12, 9.166667, ZIP, 318, 16, 19.875000, 
trial0032433, GDX, 10, 4, 2.500000, ZIC, 167, 12, 13.916667, ZIP, 64, 16, 4.000000, 
trial0032434, GDX, 18, 4, 4.500000, ZIC, 44, 12, 3.666667, ZIP, 86, 16, 5.375000, 
trial0032435, GDX, 15, 4, 3.750000, ZIC, 50, 12, 4.166667, ZIP, 285, 16, 17.812500, 
trial0032436, GDX, 41, 4, 10.250000, ZIC, 23, 12, 1.916667, ZIP, 257, 16, 16.062500, 
trial0032437, GDX, 128, 4, 32.000000, ZIC, 121, 12, 10.083333, ZIP, 99, 16, 6.187500, 
trial0032438, GDX, 72, 4, 18.000000, ZIC, 43, 12, 3.583333, ZIP, 223, 16, 13.937500, 
trial0032439, GDX, 96, 4, 24.000000, ZIC, 44, 12, 3.666667, ZIP, 224, 16, 14.000000, 
trial0032440, GDX, 55, 4, 13.750000, ZIC, 93, 12, 7.750000, ZIP, 247, 16, 15.437500, 
trial0032441, GDX, 0, 4, 0.000000, ZIC, 130, 12, 10.833333, ZIP, 331, 16, 20.687500, 
trial0032442, GDX, 21, 4, 5.250000, ZIC, 21, 12, 1.750000, ZIP, 117, 16, 7.312500, 
trial0032443, GDX, 103, 4, 25.750000, ZIC, 182, 12, 15.166667, ZIP, 156, 16, 9.750000, 
trial0032444, GDX, 92, 4, 23.000000, ZIC, 62, 12, 5.166667, ZIP, 258, 16, 16.125000, 
trial0032445, GDX, 95, 4, 23.750000, ZIC, 47, 12, 3.916667, ZIP, 128, 16, 8.000000, 
trial0032446, GDX, 23, 4, 5.750000, ZIC, 25, 12, 2.083333, ZIP, 56, 16, 3.500000, 
trial0032447, GDX, 29, 4, 7.250000, ZIC, 26, 12, 2.166667, ZIP, 166, 16, 10.375000, 
trial0032448, GDX, 43, 4, 10.750000, ZIC, 199, 12, 16.583333, ZIP, 235, 16, 14.687500, 
trial0032449, GDX, 68, 4, 17.000000, ZIC, 147, 12, 12.250000, ZIP, 205, 16, 12.812500, 
trial0032450, GDX, 0, 4, 0.000000, ZIC, 10, 12, 0.833333, ZIP, 46, 16, 2.875000, 
trial0032451, GDX, 31, 4, 7.750000, ZIC, 49, 12, 4.083333, ZIP, 212, 16, 13.250000, 
trial0032452, GDX, 20, 4, 5.000000, ZIC, 31, 12, 2.583333, ZIP, 194, 16, 12.125000, 
trial0032453, GDX, 41, 4, 10.250000, ZIC, 17, 12, 1.416667, ZIP, 22, 16, 1.375000, 
trial0032454, GDX, 47, 4, 11.750000, ZIC, 53, 12, 4.416667, ZIP, 148, 16, 9.250000, 
trial0032455, GDX, 8, 4, 2.000000, ZIC, 98, 12, 8.166667, ZIP, 79, 16, 4.937500, 
trial0032456, GDX, 18, 4, 4.500000, ZIC, 19, 12, 1.583333, ZIP, 416, 16, 26.000000, 
trial0032457, GDX, 41, 4, 10.250000, ZIC, 57, 12, 4.750000, ZIP, 328, 16, 20.500000, 
trial0032458, GDX, 111, 4, 27.750000, ZIC, 0, 12, 0.000000, ZIP, 291, 16, 18.187500, 
trial0032459, GDX, 75, 4, 18.750000, ZIC, 53, 12, 4.416667, ZIP, 202, 16, 12.625000, 
trial0032460, GDX, 21, 4, 5.250000, ZIC, 154, 12, 12.833333, ZIP, 293, 16, 18.312500, 
trial0032461, GDX, 0, 4, 0.000000, ZIC, 249, 12, 20.750000, ZIP, 798, 16, 49.875000, 
trial0032462, GDX, 81, 4, 20.250000, ZIC, 375, 12, 31.250000, ZIP, 669, 16, 41.812500, 
trial0032463, GDX, 71, 4, 17.750000, ZIC, 273, 12, 22.750000, ZIP, 594, 16, 37.125000, 
trial0032464, GDX, 62, 4, 15.500000, ZIC, 326, 12, 27.166667, ZIP, 444, 16, 27.750000, 
trial0032465, GDX, 87, 4, 21.750000, ZIC, 384, 12, 32.000000, ZIP, 479, 16, 29.937500, 
trial0032466, GDX, 186, 4, 46.500000, ZIC, 360, 12, 30.000000, ZIP, 525, 16, 32.812500, 
trial0032467, GDX, 165, 4, 41.250000, ZIC, 422, 12, 35.166667, ZIP, 272, 16, 17.000000, 
trial0032468, GDX, 0, 4, 0.000000, ZIC, 370, 12, 30.833333, ZIP, 687, 16, 42.937500, 
trial0032469, GDX, 42, 4, 10.500000, ZIC, 620, 12, 51.666667, ZIP, 309, 16, 19.312500, 
trial0032470, GDX, 123, 4, 30.750000, ZIC, 437, 12, 36.416667, ZIP, 475, 16, 29.687500, 
trial0032471, GDX, 68, 4, 17.000000, ZIC, 288, 12, 24.000000, ZIP, 762, 16, 47.625000, 
trial0032472, GDX, 159, 4, 39.750000, ZIC, 494, 12, 41.166667, ZIP, 504, 16, 31.500000, 
trial0032473, GDX, 94, 4, 23.500000, ZIC, 533, 12, 44.416667, ZIP, 347, 16, 21.687500, 
trial0032474, GDX, 63, 4, 15.750000, ZIC, 431, 12, 35.916667, ZIP, 507, 16, 31.687500, 
trial0032475, GDX, 112, 4, 28.000000, ZIC, 494, 12, 41.166667, ZIP, 516, 16, 32.250000, 
trial0032476, GDX, 127, 4, 31.750000, ZIC, 354, 12, 29.500000, ZIP, 682, 16, 42.625000, 
trial0032477, GDX, 94, 4, 23.500000, ZIC, 444, 12, 37.000000, ZIP, 598, 16, 37.375000, 
trial0032478, GDX, 170, 4, 42.500000, ZIC, 226, 12, 18.833333, ZIP, 696, 16, 43.500000, 
trial0032479, GDX, 174, 4, 43.500000, ZIC, 280, 12, 23.333333, ZIP, 319, 16, 19.937500, 
trial0032480, GDX, 11, 4, 2.750000, ZIC, 192, 12, 16.000000, ZIP, 616, 16, 38.500000, 
trial0032481, GDX, 93, 4, 23.250000, ZIC, 446, 12, 37.166667, ZIP, 674, 16, 42.125000, 
trial0032482, GDX, 135, 4, 33.750000, ZIC, 350, 12, 29.166667, ZIP, 443, 16, 27.687500, 
trial0032483, GDX, 135, 4, 33.750000, ZIC, 278, 12, 23.166667, ZIP, 661, 16, 41.312500, 
trial0032484, GDX, 211, 4, 52.750000, ZIC, 209, 12, 17.416667, ZIP, 249, 16, 15.562500, 
trial0032485, GDX, 11, 4, 2.750000, ZIC, 364, 12, 30.333333, ZIP, 420, 16, 26.250000, 
trial0032486, GDX, 196, 4, 49.000000, ZIC, 195, 12, 16.250000, ZIP, 592, 16, 37.000000, 
trial0032487, GDX, 172, 4, 43.000000, ZIC, 275, 12, 22.916667, ZIP, 493, 16, 30.812500, 
trial0032488, GDX, 119, 4, 29.750000, ZIC, 176, 12, 14.666667, ZIP, 654, 16, 40.875000, 
trial0032489, GDX, 156, 4, 39.000000, ZIC, 444, 12, 37.000000, ZIP, 552, 16, 34.500000, 
trial0032490, GDX, 43, 4, 10.750000, ZIC, 222, 12, 18.500000, ZIP, 623, 16, 38.937500, 
trial0032491, GDX, 4, 4, 1.000000, ZIC, 394, 12, 32.833333, ZIP, 381, 16, 23.812500, 
trial0032492, GDX, 148, 4, 37.000000, ZIC, 269, 12, 22.416667, ZIP, 406, 16, 25.375000, 
trial0032493, GDX, 93, 4, 23.250000, ZIC, 274, 12, 22.833333, ZIP, 459, 16, 28.687500, 
trial0032494, GDX, 176, 4, 44.000000, ZIC, 248, 12, 20.666667, ZIP, 479, 16, 29.937500, 
trial0032495, GDX, 89, 4, 22.250000, ZIC, 405, 12, 33.750000, ZIP, 359, 16, 22.437500, 
trial0032496, GDX, 61, 4, 15.250000, ZIC, 300, 12, 25.000000, ZIP, 613, 16, 38.312500, 
trial0032497, GDX, 100, 4, 25.000000, ZIC, 191, 12, 15.916667, ZIP, 503, 16, 31.437500, 
trial0032498, GDX, 65, 4, 16.250000, ZIC, 149, 12, 12.416667, ZIP, 478, 16, 29.875000, 
trial0032499, GDX, 115, 4, 28.750000, ZIC, 189, 12, 15.750000, ZIP, 336, 16, 21.000000, 
trial0032500, GDX, 72, 4, 18.000000, ZIC, 292, 12, 24.333333, ZIP, 303, 16, 18.937500, 
trial0032501, GDX, 103, 4, 25.750000, ZIC, 219, 12, 18.250000, ZIP, 433, 16, 27.062500, 
trial0032502, GDX, 88, 4, 22.000000, ZIC, 103, 12, 8.583333, ZIP, 512, 16, 32.000000, 
trial0032503, GDX, 55, 4, 13.750000, ZIC, 203, 12, 16.916667, ZIP, 590, 16, 36.875000, 
trial0032504, GDX, 92, 4, 23.000000, ZIC, 336, 12, 28.000000, ZIP, 505, 16, 31.562500, 
trial0032505, GDX, 15, 4, 3.750000, ZIC, 338, 12, 28.166667, ZIP, 607, 16, 37.937500, 
trial0032506, GDX, 0, 4, 0.000000, ZIC, 301, 12, 25.083333, ZIP, 424, 16, 26.500000, 
