trial0035101, AA, 246, 8, 30.750000, GDX, 217, 10, 21.700000, ZIC, 456, 14, 32.571429, 
trial0035102, AA, 249, 8, 31.125000, GDX, 137, 10, 13.700000, ZIC, 573, 14, 40.928571, 
trial0035103, AA, 240, 8, 30.000000, GDX, 437, 10, 43.700000, ZIC, 431, 14, 30.785714, 
trial0035104, AA, 475, 8, 59.375000, GDX, 271, 10, 27.100000, ZIC, 122, 14, 8.714286, 
trial0035105, AA, 456, 8, 57.000000, GDX, 212, 10, 21.200000, ZIC, 498, 14, 35.571429, 
trial0035106, AA, 431, 8, 53.875000, GDX, 143, 10, 14.300000, ZIC, 399, 14, 28.500000, 
trial0035107, AA, 171, 8, 21.375000, GDX, 506, 10, 50.600000, ZIC, 471, 14, 33.642857, 
trial0035108, AA, 195, 8, 24.375000, GDX, 266, 10, 26.600000, ZIC, 618, 14, 44.142857, 
trial0035109, AA, 369, 8, 46.125000, GDX, 144, 10, 14.400000, ZIC, 233, 14, 16.642857, 
trial0035110, AA, 348, 8, 43.500000, GDX, 186, 10, 18.600000, ZIC, 397, 14, 28.357143, 
trial0035111, AA, 313, 8, 39.125000, GDX, 124, 10, 12.400000, ZIC, 500, 14, 35.714286, 
trial0035112, AA, 285, 8, 35.625000, GDX, 166, 10, 16.600000, ZIC, 584, 14, 41.714286, 
trial0035113, AA, 459, 8, 57.375000, GDX, 227, 10, 22.700000, ZIC, 427, 14, 30.500000, 
trial0035114, AA, 333, 8, 41.625000, GDX, 108, 10, 10.800000, ZIC, 403, 14, 28.785714, 
trial0035115, AA, 204, 8, 25.500000, GDX, 306, 10, 30.600000, ZIC, 393, 14, 28.071429, 
trial0035116, AA, 230, 8, 28.750000, GDX, 227, 10, 22.700000, ZIC, 502, 14, 35.857143, 
trial0035117, AA, 293, 8, 36.625000, GDX, 157, 10, 15.700000, ZIC, 396, 14, 28.285714, 
trial0035118, AA, 203, 8, 25.375000, GDX, 330, 10, 33.000000, ZIC, 642, 14, 45.857143, 
trial0035119, AA, 298, 8, 37.250000, GDX, 276, 10, 27.600000, ZIC, 474, 14, 33.857143, 
trial0035120, AA, 141, 8, 17.625000, GDX, 171, 10, 17.100000, ZIC, 700, 14, 50.000000, 
