trial0038101, AA, 925, 14, 66.071429, ZIC, 553, 16, 34.562500, ZIP, 242, 2, 121.000000, 
trial0038102, AA, 722, 14, 51.571429, ZIC, 694, 16, 43.375000, ZIP, 296, 2, 148.000000, 
trial0038103, AA, 397, 14, 28.357143, ZIC, 971, 16, 60.687500, ZIP, 278, 2, 139.000000, 
trial0038104, AA, 786, 14, 56.142857, ZIC, 821, 16, 51.312500, ZIP, 37, 2, 18.500000, 
trial0038105, AA, 925, 14, 66.071429, ZIC, 707, 16, 44.187500, ZIP, 10, 2, 5.000000, 
trial0038106, AA, 637, 14, 45.500000, ZIC, 954, 16, 59.625000, ZIP, 158, 2, 79.000000, 
trial0038107, AA, 794, 14, 56.714286, ZIC, 888, 16, 55.500000, ZIP, 0, 2, 0.000000, 
trial0038108, AA, 455, 14, 32.500000, ZIC, 1095, 16, 68.437500, ZIP, 108, 2, 54.000000, 
trial0038109, AA, 532, 14, 38.000000, ZIC, 827, 16, 51.687500, ZIP, 365, 2, 182.500000, 
trial0038110, AA, 908, 14, 64.857143, ZIC, 694, 16, 43.375000, ZIP, 84, 2, 42.000000, 
trial0038111, AA, 543, 14, 38.785714, ZIC, 1020, 16, 63.750000, ZIP, 185, 2, 92.500000, 
trial0038112, AA, 898, 14, 64.142857, ZIC, 599, 16, 37.437500, ZIP, 251, 2, 125.500000, 
trial0038113, AA, 817, 14, 58.357143, ZIC, 781, 16, 48.812500, ZIP, 147, 2, 73.500000, 
trial0038114, AA, 822, 14, 58.714286, ZIC, 743, 16, 46.437500, ZIP, 98, 2, 49.000000, 
trial0038115, AA, 495, 14, 35.357143, ZIC, 1163, 16, 72.687500, ZIP, 0, 2, 0.000000, 
trial0038116, AA, 656, 14, 46.857143, ZIC, 850, 16, 53.125000, ZIP, 227, 2, 113.500000, 
trial0038117, AA, 803, 14, 57.357143, ZIC, 514, 16, 32.125000, ZIP, 215, 2, 107.500000, 
trial0038118, AA, 516, 14, 36.857143, ZIC, 1185, 16, 74.062500, ZIP, 9, 2, 4.500000, 
trial0038119, AA, 584, 14, 41.714286, ZIC, 1041, 16, 65.062500, ZIP, 105, 2, 52.500000, 
trial0038120, AA, 829, 14, 59.214286, ZIC, 700, 16, 43.750000, ZIP, 201, 2, 100.500000, 
trial0038121, AA, 743, 14, 53.071429, ZIC, 686, 16, 42.875000, ZIP, 180, 2, 90.000000, 
trial0038122, AA, 774, 14, 55.285714, ZIC, 840, 16, 52.500000, ZIP, 86, 2, 43.000000, 
trial0038123, AA, 581, 14, 41.500000, ZIC, 900, 16, 56.250000, ZIP, 235, 2, 117.500000, 
trial0038124, AA, 560, 14, 40.000000, ZIC, 872, 16, 54.500000, ZIP, 189, 2, 94.500000, 
