trial0043801, GDX, 148, 6, 24.666667, ZIP, 1096, 26, 42.153846, 
trial0043802, GDX, 43, 6, 7.166667, ZIP, 1168, 26, 44.923077, 
trial0043803, GDX, 453, 6, 75.500000, ZIP, 902, 26, 34.692308, 
trial0043804, GDX, 112, 6, 18.666667, ZIP, 1057, 26, 40.653846, 
trial0043805, GDX, 271, 6, 45.166667, ZIP, 1247, 26, 47.961538, 
trial0043806, GDX, 330, 6, 55.000000, ZIP, 868, 26, 33.384615, 
trial0043807, GDX, 231, 6, 38.500000, ZIP, 1000, 26, 38.461538, 
trial0043808, GDX, 98, 6, 16.333333, ZIP, 1092, 26, 42.000000, 
trial0043809, GDX, 101, 6, 16.833333, ZIP, 1148, 26, 44.153846, 
trial0043810, GDX, 283, 6, 47.166667, ZIP, 1115, 26, 42.884615, 
trial0043811, GDX, 136, 6, 22.666667, ZIP, 973, 26, 37.423077, 
trial0043812, GDX, 465, 6, 77.500000, ZIP, 966, 26, 37.153846, 
trial0043813, GDX, 230, 6, 38.333333, ZIP, 921, 26, 35.423077, 
trial0043814, GDX, 210, 6, 35.000000, ZIP, 1031, 26, 39.653846, 
trial0043815, GDX, 120, 6, 20.000000, ZIP, 1384, 26, 53.230769, 
trial0043816, GDX, 538, 6, 89.666667, ZIP, 743, 26, 28.576923, 
trial0043817, GDX, 205, 6, 34.166667, ZIP, 1157, 26, 44.500000, 
trial0043818, GDX, 261, 6, 43.500000, ZIP, 1257, 26, 48.346154, 
trial0043819, GDX, 167, 6, 27.833333, ZIP, 1245, 26, 47.884615, 
trial0043820, GDX, 309, 6, 51.500000, ZIP, 1107, 26, 42.576923, 
trial0043821, GDX, 419, 6, 69.833333, ZIP, 1232, 26, 47.384615, 
trial0043822, GDX, 326, 6, 54.333333, ZIP, 1344, 26, 51.692308, 
trial0043823, GDX, 108, 6, 18.000000, ZIP, 1450, 26, 55.769231, 
trial0043824, GDX, 220, 6, 36.666667, ZIP, 1195, 26, 45.961538, 
trial0043825, GDX, 433, 6, 72.166667, ZIP, 1295, 26, 49.807692, 
trial0043826, GDX, 167, 6, 27.833333, ZIP, 839, 26, 32.269231, 
trial0043827, GDX, 177, 6, 29.500000, ZIP, 1070, 26, 41.153846, 
trial0043828, GDX, 668, 6, 111.333333, ZIP, 735, 26, 28.269231, 
trial0043829, GDX, 180, 6, 30.000000, ZIP, 1402, 26, 53.923077, 
trial0043830, GDX, 259, 6, 43.166667, ZIP, 1326, 26, 51.000000, 
trial0043831, GDX, 228, 6, 38.000000, ZIP, 1098, 26, 42.230769, 
trial0043832, GDX, 155, 6, 25.833333, ZIP, 1007, 26, 38.730769, 
trial0043833, GDX, 227, 6, 37.833333, ZIP, 1001, 26, 38.500000, 
trial0043834, GDX, 272, 6, 45.333333, ZIP, 779, 26, 29.961538, 
trial0043835, GDX, 339, 6, 56.500000, ZIP, 627, 26, 24.115385, 
trial0043836, GDX, 132, 6, 22.000000, ZIP, 1134, 26, 43.615385, 
trial0043837, GDX, 26, 6, 4.333333, ZIP, 1329, 26, 51.115385, 
trial0043838, GDX, 345, 6, 57.500000, ZIP, 1048, 26, 40.307692, 
trial0043839, GDX, 205, 6, 34.166667, ZIP, 926, 26, 35.615385, 
trial0043840, GDX, 133, 6, 22.166667, ZIP, 1295, 26, 49.807692, 
trial0043841, GDX, 0, 6, 0.000000, ZIP, 1146, 26, 44.076923, 
trial0043842, GDX, 53, 6, 8.833333, ZIP, 950, 26, 36.538462, 
trial0043843, GDX, 36, 6, 6.000000, ZIP, 1010, 26, 38.846154, 
trial0043844, GDX, 371, 6, 61.833333, ZIP, 1012, 26, 38.923077, 
trial0043845, GDX, 187, 6, 31.166667, ZIP, 829, 26, 31.884615, 
trial0043846, GDX, 238, 6, 39.666667, ZIP, 1030, 26, 39.615385, 
trial0043847, GDX, 165, 6, 27.500000, ZIP, 1144, 26, 44.000000, 
trial0043848, GDX, 94, 6, 15.666667, ZIP, 812, 26, 31.230769, 
trial0043849, GDX, 267, 6, 44.500000, ZIP, 1139, 26, 43.807692, 
trial0043850, GDX, 250, 6, 41.666667, ZIP, 1041, 26, 40.038462, 
trial0043851, GDX, 254, 6, 42.333333, ZIP, 1061, 26, 40.807692, 
trial0043852, GDX, 31, 6, 5.166667, ZIP, 1302, 26, 50.076923, 
trial0043853, GDX, 427, 6, 71.166667, ZIP, 1071, 26, 41.192308, 
trial0043854, GDX, 416, 6, 69.333333, ZIP, 1036, 26, 39.846154, 
trial0043855, GDX, 265, 6, 44.166667, ZIP, 1037, 26, 39.884615, 
trial0043856, GDX, 280, 6, 46.666667, ZIP, 1052, 26, 40.461538, 
trial0043857, GDX, 302, 6, 50.333333, ZIP, 1151, 26, 44.269231, 
trial0043858, GDX, 163, 6, 27.166667, ZIP, 1297, 26, 49.884615, 
trial0043859, GDX, 380, 6, 63.333333, ZIP, 1139, 26, 43.807692, 
trial0043860, GDX, 158, 6, 26.333333, ZIP, 1277, 26, 49.115385, 
trial0043861, GDX, 8, 6, 1.333333, ZIP, 454, 26, 17.461538, 
trial0043862, GDX, 72, 6, 12.000000, ZIP, 238, 26, 9.153846, 
trial0043863, GDX, 97, 6, 16.166667, ZIP, 383, 26, 14.730769, 
trial0043864, GDX, 48, 6, 8.000000, ZIP, 339, 26, 13.038462, 
trial0043865, GDX, 100, 6, 16.666667, ZIP, 456, 26, 17.538462, 
trial0043866, GDX, 136, 6, 22.666667, ZIP, 239, 26, 9.192308, 
trial0043867, GDX, 42, 6, 7.000000, ZIP, 329, 26, 12.653846, 
trial0043868, GDX, 130, 6, 21.666667, ZIP, 362, 26, 13.923077, 
trial0043869, GDX, 43, 6, 7.166667, ZIP, 225, 26, 8.653846, 
trial0043870, GDX, 141, 6, 23.500000, ZIP, 340, 26, 13.076923, 
trial0043871, GDX, 42, 6, 7.000000, ZIP, 223, 26, 8.576923, 
trial0043872, GDX, 84, 6, 14.000000, ZIP, 221, 26, 8.500000, 
trial0043873, GDX, 105, 6, 17.500000, ZIP, 463, 26, 17.807692, 
trial0043874, GDX, 128, 6, 21.333333, ZIP, 322, 26, 12.384615, 
trial0043875, GDX, 106, 6, 17.666667, ZIP, 300, 26, 11.538462, 
trial0043876, GDX, 0, 6, 0.000000, ZIP, 318, 26, 12.230769, 
