trial0003001, AA, 101, 2, 50.500000, ZIC, 65, 38, 1.710526, 
trial0003002, AA, 71, 2, 35.500000, ZIC, 157, 38, 4.131579, 
trial0003003, AA, 21, 2, 10.500000, ZIC, 149, 38, 3.921053, 
trial0003004, AA, 0, 2, 0.000000, ZIC, 68, 38, 1.789474, 
trial0003005, AA, 87, 2, 43.500000, ZIC, 284, 38, 7.473684, 
trial0003006, AA, 51, 2, 25.500000, ZIC, 156, 38, 4.105263, 
trial0003007, AA, 118, 2, 59.000000, ZIC, 154, 38, 4.052632, 
trial0003008, AA, 61, 2, 30.500000, ZIC, 173, 38, 4.552632, 
trial0003009, AA, 62, 2, 31.000000, ZIC, 192, 38, 5.052632, 
trial0003010, AA, 66, 2, 33.000000, ZIC, 199, 38, 5.236842, 
trial0003011, AA, 96, 2, 48.000000, ZIC, 159, 38, 4.184211, 
trial0003012, AA, 84, 2, 42.000000, ZIC, 198, 38, 5.210526, 
trial0003013, AA, 76, 2, 38.000000, ZIC, 135, 38, 3.552632, 
trial0003014, AA, 5, 2, 2.500000, ZIC, 134, 38, 3.526316, 
trial0003015, AA, 53, 2, 26.500000, ZIC, 160, 38, 4.210526, 
trial0003016, AA, 13, 2, 6.500000, ZIC, 133, 38, 3.500000, 
trial0003017, AA, 59, 2, 29.500000, ZIC, 181, 38, 4.763158, 
trial0003018, AA, 87, 2, 43.500000, ZIC, 221, 38, 5.815789, 
trial0003019, AA, 7, 2, 3.500000, ZIC, 70, 38, 1.842105, 
trial0003020, AA, 149, 2, 74.500000, ZIC, 102, 38, 2.684211, 
trial0003021, AA, 39, 2, 19.500000, ZIC, 57, 38, 1.500000, 
trial0003022, AA, 27, 2, 13.500000, ZIC, 248, 38, 6.526316, 
trial0003023, AA, 2, 2, 1.000000, ZIC, 182, 38, 4.789474, 
trial0003024, AA, 128, 2, 64.000000, ZIC, 66, 38, 1.736842, 
trial0003025, AA, 65, 2, 32.500000, ZIC, 151, 38, 3.973684, 
trial0003026, AA, 9, 2, 4.500000, ZIC, 94, 38, 2.473684, 
trial0003027, AA, 99, 2, 49.500000, ZIC, 116, 38, 3.052632, 
trial0003028, AA, 82, 2, 41.000000, ZIC, 118, 38, 3.105263, 
trial0003029, AA, 111, 2, 55.500000, ZIC, 171, 38, 4.500000, 
trial0003030, AA, 40, 2, 20.000000, ZIC, 129, 38, 3.394737, 
trial0003031, AA, 10, 2, 5.000000, ZIC, 211, 38, 5.552632, 
trial0003032, AA, 165, 2, 82.500000, ZIC, 110, 38, 2.894737, 
trial0003033, AA, 8, 2, 4.000000, ZIC, 196, 38, 5.157895, 
trial0003034, AA, 117, 2, 58.500000, ZIC, 103, 38, 2.710526, 
trial0003035, AA, 27, 2, 13.500000, ZIC, 233, 38, 6.131579, 
trial0003036, AA, 110, 2, 55.000000, ZIC, 85, 38, 2.236842, 
trial0003037, AA, 35, 2, 17.500000, ZIC, 132, 38, 3.473684, 
trial0003038, AA, 75, 2, 37.500000, ZIC, 66, 38, 1.736842, 
trial0003039, AA, 98, 2, 49.000000, ZIC, 159, 38, 4.184211, 
trial0003040, AA, 59, 2, 29.500000, ZIC, 174, 38, 4.578947, 
trial0003041, AA, 56, 2, 28.000000, ZIC, 111, 38, 2.921053, 
trial0003042, AA, 23, 2, 11.500000, ZIC, 150, 38, 3.947368, 
trial0003043, AA, 13, 2, 6.500000, ZIC, 58, 38, 1.526316, 
trial0003044, AA, 80, 2, 40.000000, ZIC, 98, 38, 2.578947, 
trial0003045, AA, 64, 2, 32.000000, ZIC, 142, 38, 3.736842, 
trial0003046, AA, 0, 2, 0.000000, ZIC, 45, 38, 1.184211, 
trial0003047, AA, 46, 2, 23.000000, ZIC, 126, 38, 3.315789, 
trial0003048, AA, 70, 2, 35.000000, ZIC, 86, 38, 2.263158, 
trial0003049, AA, 31, 2, 15.500000, ZIC, 67, 38, 1.763158, 
trial0003050, AA, 65, 2, 32.500000, ZIC, 175, 38, 4.605263, 
trial0003051, AA, 166, 2, 83.000000, ZIC, 55, 38, 1.447368, 
trial0003052, AA, 5, 2, 2.500000, ZIC, 266, 38, 7.000000, 
trial0003053, AA, 1, 2, 0.500000, ZIC, 96, 38, 2.526316, 
trial0003054, AA, 58, 2, 29.000000, ZIC, 66, 38, 1.736842, 
trial0003055, AA, 129, 2, 64.500000, ZIC, 100, 38, 2.631579, 
trial0003056, AA, 4, 2, 2.000000, ZIC, 134, 38, 3.526316, 
trial0003057, AA, 14, 2, 7.000000, ZIC, 169, 38, 4.447368, 
trial0003058, AA, 138, 2, 69.000000, ZIC, 159, 38, 4.184211, 
trial0003059, AA, 33, 2, 16.500000, ZIC, 192, 38, 5.052632, 
trial0003060, AA, 29, 2, 14.500000, ZIC, 262, 38, 6.894737, 
trial0003061, AA, 136, 2, 68.000000, ZIC, 93, 38, 2.447368, 
trial0003062, AA, 0, 2, 0.000000, ZIC, 44, 38, 1.157895, 
trial0003063, AA, 90, 2, 45.000000, ZIC, 178, 38, 4.684211, 
trial0003064, AA, 3, 2, 1.500000, ZIC, 162, 38, 4.263158, 
trial0003065, AA, 65, 2, 32.500000, ZIC, 137, 38, 3.605263, 
trial0003066, AA, 6, 2, 3.000000, ZIC, 70, 38, 1.842105, 
trial0003067, AA, 54, 2, 27.000000, ZIC, 177, 38, 4.657895, 
trial0003068, AA, 46, 2, 23.000000, ZIC, 32, 38, 0.842105, 
trial0003069, AA, 20, 2, 10.000000, ZIC, 55, 38, 1.447368, 
trial0003070, AA, 5, 2, 2.500000, ZIC, 266, 38, 7.000000, 
trial0003071, AA, 84, 2, 42.000000, ZIC, 148, 38, 3.894737, 
trial0003072, AA, 57, 2, 28.500000, ZIC, 131, 38, 3.447368, 
trial0003073, AA, 48, 2, 24.000000, ZIC, 110, 38, 2.894737, 
