trial0004001, GDX, 253, 2, 126.500000, ZIC, 5796, 38, 152.526316, 
trial0004002, GDX, 220, 2, 110.000000, ZIC, 6354, 38, 167.210526, 
trial0004003, GDX, 793, 2, 396.500000, ZIC, 5000, 38, 131.578947, 
trial0004004, GDX, 814, 2, 407.000000, ZIC, 6336, 38, 166.736842, 
trial0004005, GDX, 774, 2, 387.000000, ZIC, 5039, 38, 132.605263, 
trial0004006, GDX, 900, 2, 450.000000, ZIC, 5166, 38, 135.947368, 
trial0004007, GDX, 431, 2, 215.500000, ZIC, 5899, 38, 155.236842, 
trial0004008, GDX, 158, 2, 79.000000, ZIC, 5427, 38, 142.815789, 
trial0004009, GDX, 474, 2, 237.000000, ZIC, 5794, 38, 152.473684, 
trial0004010, GDX, 92, 2, 46.000000, ZIC, 6004, 38, 158.000000, 
trial0004011, GDX, 106, 2, 53.000000, ZIC, 6011, 38, 158.184211, 
trial0004012, GDX, 972, 2, 486.000000, ZIC, 5120, 38, 134.736842, 
trial0004013, GDX, 653, 2, 326.500000, ZIC, 6343, 38, 166.921053, 
trial0004014, GDX, 136, 2, 68.000000, ZIC, 5170, 38, 136.052632, 
trial0004015, GDX, 680, 2, 340.000000, ZIC, 4789, 38, 126.026316, 
trial0004016, GDX, 1279, 2, 639.500000, ZIC, 5125, 38, 134.868421, 
trial0004017, GDX, 521, 2, 260.500000, ZIC, 6169, 38, 162.342105, 
trial0004018, GDX, 1211, 2, 605.500000, ZIC, 4863, 38, 127.973684, 
trial0004019, GDX, 20, 2, 10.000000, ZIC, 6395, 38, 168.289474, 
trial0004020, GDX, 833, 2, 416.500000, ZIC, 5357, 38, 140.973684, 
trial0004021, GDX, 677, 2, 338.500000, ZIC, 5699, 38, 149.973684, 
trial0004022, GDX, 59, 2, 29.500000, ZIC, 6056, 38, 159.368421, 
trial0004023, GDX, 831, 2, 415.500000, ZIC, 5870, 38, 154.473684, 
trial0004024, GDX, 568, 2, 284.000000, ZIC, 6050, 38, 159.210526, 
trial0004025, GDX, 274, 2, 137.000000, ZIC, 5706, 38, 150.157895, 
trial0004026, GDX, 812, 2, 406.000000, ZIC, 4909, 38, 129.184211, 
trial0004027, GDX, 0, 2, 0.000000, ZIC, 6436, 38, 169.368421, 
trial0004028, GDX, 446, 2, 223.000000, ZIC, 5603, 38, 147.447368, 
trial0004029, GDX, 685, 2, 342.500000, ZIC, 5163, 38, 135.868421, 
trial0004030, GDX, 44, 2, 22.000000, ZIC, 6475, 38, 170.394737, 
trial0004031, GDX, 854, 2, 427.000000, ZIC, 5418, 38, 142.578947, 
trial0004032, GDX, 580, 2, 290.000000, ZIC, 6168, 38, 162.315789, 
trial0004033, GDX, 395, 2, 197.500000, ZIC, 5924, 38, 155.894737, 
trial0004034, GDX, 1096, 2, 548.000000, ZIC, 5747, 38, 151.236842, 
trial0004035, GDX, 1070, 2, 535.000000, ZIC, 4885, 38, 128.552632, 
trial0004036, GDX, 122, 2, 61.000000, ZIC, 5955, 38, 156.710526, 
trial0004037, GDX, 174, 2, 87.000000, ZIC, 5849, 38, 153.921053, 
trial0004038, GDX, 667, 2, 333.500000, ZIC, 4926, 38, 129.631579, 
trial0004039, GDX, 300, 2, 150.000000, ZIC, 5292, 38, 139.263158, 
trial0004040, GDX, 332, 2, 166.000000, ZIC, 5745, 38, 151.184211, 
trial0004041, GDX, 924, 2, 462.000000, ZIC, 5486, 38, 144.368421, 
trial0004042, GDX, 0, 2, 0.000000, ZIC, 5457, 38, 143.605263, 
trial0004043, GDX, 106, 2, 53.000000, ZIC, 5996, 38, 157.789474, 
trial0004044, GDX, 981, 2, 490.500000, ZIC, 5192, 38, 136.631579, 
trial0004045, GDX, 843, 2, 421.500000, ZIC, 5930, 38, 156.052632, 
trial0004046, GDX, 160, 2, 80.000000, ZIC, 5719, 38, 150.500000, 
trial0004047, GDX, 22, 2, 11.000000, ZIC, 5826, 38, 153.315789, 
trial0004048, GDX, 9, 2, 4.500000, ZIC, 5934, 38, 156.157895, 
trial0004049, GDX, 852, 2, 426.000000, ZIC, 4988, 38, 131.263158, 
trial0004050, GDX, 409, 2, 204.500000, ZIC, 5611, 38, 147.657895, 
trial0004051, GDX, 540, 2, 270.000000, ZIC, 6113, 38, 160.868421, 
trial0004052, GDX, 144, 2, 72.000000, ZIC, 5168, 38, 136.000000, 
trial0004053, GDX, 85, 2, 42.500000, ZIC, 5811, 38, 152.921053, 
trial0004054, GDX, 528, 2, 264.000000, ZIC, 5684, 38, 149.578947, 
trial0004055, GDX, 860, 2, 430.000000, ZIC, 5444, 38, 143.263158, 
trial0004056, GDX, 263, 2, 131.500000, ZIC, 5667, 38, 149.131579, 
trial0004057, GDX, 33, 2, 16.500000, ZIC, 5843, 38, 153.763158, 
trial0004058, GDX, 292, 2, 146.000000, ZIC, 5258, 38, 138.368421, 
trial0004059, GDX, 435, 2, 217.500000, ZIC, 6367, 38, 167.552632, 
trial0004060, GDX, 427, 2, 213.500000, ZIC, 5683, 38, 149.552632, 
trial0004061, GDX, 916, 2, 458.000000, ZIC, 5349, 38, 140.763158, 
trial0004062, GDX, 1263, 2, 631.500000, ZIC, 4792, 38, 126.105263, 
trial0004063, GDX, 893, 2, 446.500000, ZIC, 5502, 38, 144.789474, 
trial0004064, GDX, 257, 2, 128.500000, ZIC, 5828, 38, 153.368421, 
