trial0005001, ZIC, 8996, 38, 236.736842, ZIP, 4, 2, 2.000000, 
trial0005002, ZIC, 8614, 38, 226.684211, ZIP, 39, 2, 19.500000, 
trial0005003, ZIC, 8054, 38, 211.947368, ZIP, 1359, 2, 679.500000, 
trial0005004, ZIC, 8459, 38, 222.605263, ZIP, 897, 2, 448.500000, 
trial0005005, ZIC, 8694, 38, 228.789474, ZIP, 65, 2, 32.500000, 
trial0005006, ZIC, 8595, 38, 226.184211, ZIP, 367, 2, 183.500000, 
trial0005007, ZIC, 9007, 38, 237.026316, ZIP, 147, 2, 73.500000, 
trial0005008, ZIC, 8902, 38, 234.263158, ZIP, 984, 2, 492.000000, 
trial0005009, ZIC, 8468, 38, 222.842105, ZIP, 649, 2, 324.500000, 
trial0005010, ZIC, 7125, 38, 187.500000, ZIP, 960, 2, 480.000000, 
trial0005011, ZIC, 8479, 38, 223.131579, ZIP, 1125, 2, 562.500000, 
trial0005012, ZIC, 9399, 38, 247.342105, ZIP, 155, 2, 77.500000, 
trial0005013, ZIC, 8587, 38, 225.973684, ZIP, 1067, 2, 533.500000, 
trial0005014, ZIC, 8400, 38, 221.052632, ZIP, 1152, 2, 576.000000, 
trial0005015, ZIC, 8570, 38, 225.526316, ZIP, 607, 2, 303.500000, 
trial0005016, ZIC, 9292, 38, 244.526316, ZIP, 475, 2, 237.500000, 
trial0005017, ZIC, 8109, 38, 213.394737, ZIP, 1349, 2, 674.500000, 
trial0005018, ZIC, 8367, 38, 220.184211, ZIP, 443, 2, 221.500000, 
trial0005019, ZIC, 8337, 38, 219.394737, ZIP, 917, 2, 458.500000, 
trial0005020, ZIC, 8975, 38, 236.184211, ZIP, 226, 2, 113.000000, 
trial0005021, ZIC, 8925, 38, 234.868421, ZIP, 812, 2, 406.000000, 
trial0005022, ZIC, 9577, 38, 252.026316, ZIP, 3, 2, 1.500000, 
trial0005023, ZIC, 8023, 38, 211.131579, ZIP, 1465, 2, 732.500000, 
trial0005024, ZIC, 8081, 38, 212.657895, ZIP, 1076, 2, 538.000000, 
trial0005025, ZIC, 7393, 38, 194.552632, ZIP, 934, 2, 467.000000, 
trial0005026, ZIC, 8381, 38, 220.552632, ZIP, 1239, 2, 619.500000, 
trial0005027, ZIC, 8874, 38, 233.526316, ZIP, 31, 2, 15.500000, 
trial0005028, ZIC, 8957, 38, 235.710526, ZIP, 519, 2, 259.500000, 
trial0005029, ZIC, 8517, 38, 224.131579, ZIP, 112, 2, 56.000000, 
trial0005030, ZIC, 8606, 38, 226.473684, ZIP, 35, 2, 17.500000, 
trial0005031, ZIC, 8871, 38, 233.447368, ZIP, 680, 2, 340.000000, 
trial0005032, ZIC, 9262, 38, 243.736842, ZIP, 3, 2, 1.500000, 
trial0005033, ZIC, 8188, 38, 215.473684, ZIP, 670, 2, 335.000000, 
trial0005034, ZIC, 9259, 38, 243.657895, ZIP, 77, 2, 38.500000, 
trial0005035, ZIC, 7504, 38, 197.473684, ZIP, 1174, 2, 587.000000, 
trial0005036, ZIC, 8558, 38, 225.210526, ZIP, 225, 2, 112.500000, 
trial0005037, ZIC, 8771, 38, 230.815789, ZIP, 226, 2, 113.000000, 
trial0005038, ZIC, 9191, 38, 241.868421, ZIP, 615, 2, 307.500000, 
trial0005039, ZIC, 8416, 38, 221.473684, ZIP, 181, 2, 90.500000, 
trial0005040, ZIC, 9036, 38, 237.789474, ZIP, 570, 2, 285.000000, 
trial0005041, ZIC, 9028, 38, 237.578947, ZIP, 427, 2, 213.500000, 
trial0005042, ZIC, 8742, 38, 230.052632, ZIP, 936, 2, 468.000000, 
trial0005043, ZIC, 9012, 38, 237.157895, ZIP, 646, 2, 323.000000, 
trial0005044, ZIC, 8434, 38, 221.947368, ZIP, 896, 2, 448.000000, 
trial0005045, ZIC, 8293, 38, 218.236842, ZIP, 793, 2, 396.500000, 
trial0005046, ZIC, 9102, 38, 239.526316, ZIP, 579, 2, 289.500000, 
trial0005047, ZIC, 7717, 38, 203.078947, ZIP, 1509, 2, 754.500000, 
trial0005048, ZIC, 8689, 38, 228.657895, ZIP, 39, 2, 19.500000, 
trial0005049, ZIC, 8775, 38, 230.921053, ZIP, 902, 2, 451.000000, 
trial0005050, ZIC, 8733, 38, 229.815789, ZIP, 607, 2, 303.500000, 
trial0005051, ZIC, 8490, 38, 223.421053, ZIP, 830, 2, 415.000000, 
trial0005052, ZIC, 8698, 38, 228.894737, ZIP, 760, 2, 380.000000, 
trial0005053, ZIC, 8111, 38, 213.447368, ZIP, 1026, 2, 513.000000, 
trial0005054, ZIC, 8512, 38, 224.000000, ZIP, 181, 2, 90.500000, 
trial0005055, ZIC, 8356, 38, 219.894737, ZIP, 883, 2, 441.500000, 
trial0005056, ZIC, 8494, 38, 223.526316, ZIP, 933, 2, 466.500000, 
trial0005057, ZIC, 8805, 38, 231.710526, ZIP, 551, 2, 275.500000, 
trial0005058, ZIC, 8609, 38, 226.552632, ZIP, 594, 2, 297.000000, 
trial0005059, ZIC, 8583, 38, 225.868421, ZIP, 774, 2, 387.000000, 
trial0005060, ZIC, 7771, 38, 204.500000, ZIP, 1189, 2, 594.500000, 
trial0005061, ZIC, 8929, 38, 234.973684, ZIP, 829, 2, 414.500000, 
trial0005062, ZIC, 8570, 38, 225.526316, ZIP, 281, 2, 140.500000, 
trial0005063, ZIC, 8695, 38, 228.815789, ZIP, 873, 2, 436.500000, 
trial0005064, ZIC, 9289, 38, 244.447368, ZIP, 146, 2, 73.000000, 
trial0005065, ZIC, 8903, 38, 234.289474, ZIP, 1, 2, 0.500000, 
trial0005066, ZIC, 8536, 38, 224.631579, ZIP, 776, 2, 388.000000, 
trial0005067, ZIC, 8025, 38, 211.184211, ZIP, 979, 2, 489.500000, 
trial0005068, ZIC, 8023, 38, 211.131579, ZIP, 596, 2, 298.000000, 
trial0005069, ZIC, 8132, 38, 214.000000, ZIP, 711, 2, 355.500000, 
trial0005070, ZIC, 8477, 38, 223.078947, ZIP, 0, 2, 0.000000, 
trial0005071, ZIC, 8559, 38, 225.236842, ZIP, 539, 2, 269.500000, 
trial0005072, ZIC, 9235, 38, 243.026316, ZIP, 299, 2, 149.500000, 
trial0005073, ZIC, 8261, 38, 217.394737, ZIP, 1192, 2, 596.000000, 
trial0005074, ZIC, 8477, 38, 223.078947, ZIP, 1005, 2, 502.500000, 
trial0005075, ZIC, 7920, 38, 208.421053, ZIP, 1489, 2, 744.500000, 
trial0005076, ZIC, 9045, 38, 238.026316, ZIP, 650, 2, 325.000000, 
trial0005077, ZIC, 8868, 38, 233.368421, ZIP, 976, 2, 488.000000, 
trial0005078, ZIC, 8623, 38, 226.921053, ZIP, 988, 2, 494.000000, 
trial0005079, ZIC, 9248, 38, 243.368421, ZIP, 488, 2, 244.000000, 
trial0005080, ZIC, 8285, 38, 218.026316, ZIP, 556, 2, 278.000000, 
trial0005081, ZIC, 8591, 38, 226.078947, ZIP, 1200, 2, 600.000000, 
trial0005082, ZIC, 8430, 38, 221.842105, ZIP, 499, 2, 249.500000, 
trial0005083, ZIC, 8633, 38, 227.184211, ZIP, 574, 2, 287.000000, 
trial0005084, ZIC, 9022, 38, 237.421053, ZIP, 985, 2, 492.500000, 
trial0005085, ZIC, 8519, 38, 224.184211, ZIP, 1122, 2, 561.000000, 
trial0005086, ZIC, 9282, 38, 244.263158, ZIP, 27, 2, 13.500000, 
trial0005087, ZIC, 7943, 38, 209.026316, ZIP, 857, 2, 428.500000, 
trial0005088, ZIC, 8312, 38, 218.736842, ZIP, 476, 2, 238.000000, 
trial0005089, ZIC, 7978, 38, 209.947368, ZIP, 1522, 2, 761.000000, 
trial0005090, ZIC, 8634, 38, 227.210526, ZIP, 847, 2, 423.500000, 
trial0005091, ZIC, 8094, 38, 213.000000, ZIP, 1504, 2, 752.000000, 
trial0005092, ZIC, 9228, 38, 242.842105, ZIP, 372, 2, 186.000000, 
trial0005093, ZIC, 8638, 38, 227.315789, ZIP, 143, 2, 71.500000, 
trial0005094, ZIC, 8320, 38, 218.947368, ZIP, 1330, 2, 665.000000, 
trial0005095, ZIC, 8617, 38, 226.763158, ZIP, 658, 2, 329.000000, 
trial0005096, ZIC, 9650, 38, 253.947368, ZIP, 0, 2, 0.000000, 
trial0005097, ZIC, 9082, 38, 239.000000, ZIP, 564, 2, 282.000000, 
trial0005098, ZIC, 8385, 38, 220.657895, ZIP, 1088, 2, 544.000000, 
trial0005099, ZIC, 7360, 38, 193.684211, ZIP, 1803, 2, 901.500000, 
trial0005100, ZIC, 8735, 38, 229.868421, ZIP, 1157, 2, 578.500000, 
trial0005101, ZIC, 4192, 38, 110.315789, ZIP, 970, 2, 485.000000, 
trial0005102, ZIC, 4439, 38, 116.815789, ZIP, 103, 2, 51.500000, 
trial0005103, ZIC, 3965, 38, 104.342105, ZIP, 539, 2, 269.500000, 
trial0005104, ZIC, 3917, 38, 103.078947, ZIP, 929, 2, 464.500000, 
trial0005105, ZIC, 4202, 38, 110.578947, ZIP, 418, 2, 209.000000, 
trial0005106, ZIC, 4449, 38, 117.078947, ZIP, 49, 2, 24.500000, 
