AA- Wins: 518 Total: 278849, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 482, Total: 258867
AA- Wins: 574 Total: 278783, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 426, Total: 246963
AA- Wins: 670 Total: 328093, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 330, Total: 260361
AA- Wins: 699 Total: 293412, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 301, Total: 207918
AA- Wins: 773 Total: 231549, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 227, Total: 151029
AA- Wins: 792 Total: 279270, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 208, Total: 158789
AA- Wins: 658 Total: 181451, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 342, Total: 97800
AA- Wins: 748 Total: 247441, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 252, Total: 107703
AA- Wins: 675 Total: 306792, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 325, Total: 113314
AA- Wins: 0 Total: 0, GDX- Wins: 555 Total: 177338, ZIC- Wins: 445 Total: 234209, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 399 Total: 217655, ZIC- Wins: 601 Total: 270157, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 433 Total: 147529, ZIC- Wins: 567 Total: 170339, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 477 Total: 220376, ZIC- Wins: 523 Total: 223330, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 615 Total: 273688, ZIC- Wins: 385 Total: 234994, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 663 Total: 275186, ZIC- Wins: 337 Total: 225659, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 741 Total: 303926, ZIC- Wins: 259 Total: 218403, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 653 Total: 298696, ZIC- Wins: 347 Total: 213862, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 528 Total: 257584, ZIC- Wins: 472 Total: 179006, ZIP- Wins: 0, Total: 0
AA- Wins: 636 Total: 203613, GDX- Wins: 364 Total: 168362, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 651 Total: 308841, GDX- Wins: 349 Total: 253528, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 660 Total: 240659, GDX- Wins: 340 Total: 188688, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 629 Total: 213052, GDX- Wins: 371 Total: 162722, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 686 Total: 254591, GDX- Wins: 314 Total: 192749, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 710 Total: 270943, GDX- Wins: 290 Total: 202523, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 667 Total: 245682, GDX- Wins: 333 Total: 175751, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
