AA- Wins: 478 Total: 200127, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 522, Total: 240598
AA- Wins: 427 Total: 239578, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 573, Total: 269640
AA- Wins: 402 Total: 232926, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 598, Total: 272928
AA- Wins: 389 Total: 204323, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 611, Total: 227688
AA- Wins: 440 Total: 216913, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 560, Total: 231898
AA- Wins: 451 Total: 246997, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 549, Total: 257062
AA- Wins: 481 Total: 205976, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 519, Total: 205016
AA- Wins: 492 Total: 220767, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 508, Total: 212196
AA- Wins: 443 Total: 234263, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 557, Total: 198124
AA- Wins: 0 Total: 0, GDX- Wins: 577 Total: 171085, ZIC- Wins: 423 Total: 179372, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 557 Total: 124982, ZIC- Wins: 443 Total: 127713, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 491 Total: 158197, ZIC- Wins: 509 Total: 162145, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 387 Total: 59894, ZIC- Wins: 613 Total: 72735, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 488 Total: 73209, ZIC- Wins: 512 Total: 73781, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 679 Total: 107261, ZIC- Wins: 321 Total: 80926, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 707 Total: 100665, ZIC- Wins: 293 Total: 69371, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 652 Total: 120694, ZIC- Wins: 348 Total: 84395, ZIP- Wins: 0, Total: 0
