trial0004501, ZIC, 2351, 16, 146.937500, ZIP, 3262, 16, 203.875000, 
trial0004502, ZIC, 1817, 16, 113.562500, ZIP, 3996, 16, 249.750000, 
trial0004503, ZIC, 2385, 16, 149.062500, ZIP, 3362, 16, 210.125000, 
trial0004504, ZIC, 1441, 16, 90.062500, ZIP, 4076, 16, 254.750000, 
trial0004505, ZIC, 1688, 16, 105.500000, ZIP, 4124, 16, 257.750000, 
trial0004506, ZIC, 869, 16, 54.312500, ZIP, 5097, 16, 318.562500, 
trial0004507, ZIC, 2686, 16, 167.875000, ZIP, 3504, 16, 219.000000, 
trial0004508, ZIC, 1815, 16, 113.437500, ZIP, 3722, 16, 232.625000, 
trial0004509, ZIC, 1233, 16, 77.062500, ZIP, 3609, 16, 225.562500, 
trial0004510, ZIC, 2352, 16, 147.000000, ZIP, 3053, 16, 190.812500, 
trial0004511, ZIC, 3012, 16, 188.250000, ZIP, 1626, 16, 101.625000, 
trial0004512, ZIC, 1854, 16, 115.875000, ZIP, 3480, 16, 217.500000, 
trial0004513, ZIC, 1174, 16, 73.375000, ZIP, 4493, 16, 280.812500, 
trial0004514, ZIC, 1939, 16, 121.187500, ZIP, 3550, 16, 221.875000, 
trial0004515, ZIC, 2341, 16, 146.312500, ZIP, 3427, 16, 214.187500, 
trial0004516, ZIC, 1468, 16, 91.750000, ZIP, 4455, 16, 278.437500, 
trial0004517, ZIC, 2009, 16, 125.562500, ZIP, 3766, 16, 235.375000, 
trial0004518, ZIC, 1355, 16, 84.687500, ZIP, 4182, 16, 261.375000, 
trial0004519, ZIC, 2346, 16, 146.625000, ZIP, 3166, 16, 197.875000, 
trial0004520, ZIC, 2431, 16, 151.937500, ZIP, 3113, 16, 194.562500, 
trial0004521, ZIC, 2914, 16, 182.125000, ZIP, 2899, 16, 181.187500, 
trial0004522, ZIC, 1566, 16, 97.875000, ZIP, 4142, 16, 258.875000, 
trial0004523, ZIC, 2296, 16, 143.500000, ZIP, 3209, 16, 200.562500, 
trial0004524, ZIC, 2330, 16, 145.625000, ZIP, 3582, 16, 223.875000, 
trial0004525, ZIC, 3050, 16, 190.625000, ZIP, 2644, 16, 165.250000, 
trial0004526, ZIC, 2399, 16, 149.937500, ZIP, 3587, 16, 224.187500, 
trial0004527, ZIC, 1788, 16, 111.750000, ZIP, 3643, 16, 227.687500, 
trial0004528, ZIC, 1505, 16, 94.062500, ZIP, 4332, 16, 270.750000, 
trial0004529, ZIC, 2675, 16, 167.187500, ZIP, 2757, 16, 172.312500, 
trial0004530, ZIC, 3391, 16, 211.937500, ZIP, 1519, 16, 94.937500, 
trial0004531, ZIC, 1848, 16, 115.500000, ZIP, 6720, 16, 420.000000, 
trial0004532, ZIC, 3824, 16, 239.000000, ZIP, 4117, 16, 257.312500, 
trial0004533, ZIC, 4512, 16, 282.000000, ZIP, 2614, 16, 163.375000, 
trial0004534, ZIC, 3389, 16, 211.812500, ZIP, 4634, 16, 289.625000, 
trial0004535, ZIC, 5204, 16, 325.250000, ZIP, 2523, 16, 157.687500, 
trial0004536, ZIC, 2840, 16, 177.500000, ZIP, 4915, 16, 307.187500, 
trial0004537, ZIC, 4234, 16, 264.625000, ZIP, 3980, 16, 248.750000, 
trial0004538, ZIC, 2739, 16, 171.187500, ZIP, 5468, 16, 341.750000, 
trial0004539, ZIC, 2316, 16, 144.750000, ZIP, 6088, 16, 380.500000, 
trial0004540, ZIC, 2680, 16, 167.500000, ZIP, 5168, 16, 323.000000, 
trial0004541, ZIC, 3897, 16, 243.562500, ZIP, 3980, 16, 248.750000, 
trial0004542, ZIC, 2785, 16, 174.062500, ZIP, 5934, 16, 370.875000, 
trial0004543, ZIC, 3174, 16, 198.375000, ZIP, 4783, 16, 298.937500, 
trial0004544, ZIC, 3668, 16, 229.250000, ZIP, 4791, 16, 299.437500, 
trial0004545, ZIC, 2507, 16, 156.687500, ZIP, 5591, 16, 349.437500, 
trial0004546, ZIC, 3860, 16, 241.250000, ZIP, 4739, 16, 296.187500, 
trial0004547, ZIC, 4301, 16, 268.812500, ZIP, 4137, 16, 258.562500, 
trial0004548, ZIC, 3622, 16, 226.375000, ZIP, 4172, 16, 260.750000, 
trial0004549, ZIC, 3024, 16, 189.000000, ZIP, 4904, 16, 306.500000, 
trial0004550, ZIC, 2762, 16, 172.625000, ZIP, 4954, 16, 309.625000, 
trial0004551, ZIC, 2523, 16, 157.687500, ZIP, 5364, 16, 335.250000, 
trial0004552, ZIC, 2915, 16, 182.187500, ZIP, 5598, 16, 349.875000, 
trial0004553, ZIC, 3032, 16, 189.500000, ZIP, 4629, 16, 289.312500, 
trial0004554, ZIC, 3932, 16, 245.750000, ZIP, 4322, 16, 270.125000, 
trial0004555, ZIC, 3965, 16, 247.812500, ZIP, 3745, 16, 234.062500, 
trial0004556, ZIC, 3982, 16, 248.875000, ZIP, 4088, 16, 255.500000, 
trial0004557, ZIC, 4115, 16, 257.187500, ZIP, 3880, 16, 242.500000, 
trial0004558, ZIC, 3574, 16, 223.375000, ZIP, 4361, 16, 272.562500, 
trial0004559, ZIC, 4039, 16, 252.437500, ZIP, 4647, 16, 290.437500, 
trial0004560, ZIC, 3284, 16, 205.250000, ZIP, 4951, 16, 309.437500, 
trial0004561, ZIC, 685, 16, 42.812500, ZIP, 3600, 16, 225.000000, 
trial0004562, ZIC, 1638, 16, 102.375000, ZIP, 2900, 16, 181.250000, 
trial0004563, ZIC, 1639, 16, 102.437500, ZIP, 2879, 16, 179.937500, 
trial0004564, ZIC, 1392, 16, 87.000000, ZIP, 2892, 16, 180.750000, 
trial0004565, ZIC, 1291, 16, 80.687500, ZIP, 3139, 16, 196.187500, 
trial0004566, ZIC, 1729, 16, 108.062500, ZIP, 2739, 16, 171.187500, 
trial0004567, ZIC, 2544, 16, 159.000000, ZIP, 1634, 16, 102.125000, 
trial0004568, ZIC, 1628, 16, 101.750000, ZIP, 2587, 16, 161.687500, 
trial0004569, ZIC, 716, 16, 44.750000, ZIP, 3592, 16, 224.500000, 
trial0004570, ZIC, 1554, 16, 97.125000, ZIP, 2774, 16, 173.375000, 
trial0004571, ZIC, 2213, 16, 138.312500, ZIP, 2012, 16, 125.750000, 
trial0004572, ZIC, 1900, 16, 118.750000, ZIP, 2192, 16, 137.000000, 
trial0004573, ZIC, 1641, 16, 102.562500, ZIP, 2267, 16, 141.687500, 
trial0004574, ZIC, 1429, 16, 89.312500, ZIP, 2699, 16, 168.687500, 
trial0004575, ZIC, 1498, 16, 93.625000, ZIP, 2530, 16, 158.125000, 
trial0004576, ZIC, 1805, 16, 112.812500, ZIP, 2094, 16, 130.875000, 
trial0004577, ZIC, 1591, 16, 99.437500, ZIP, 1905, 16, 119.062500, 
trial0004578, ZIC, 1401, 16, 87.562500, ZIP, 2825, 16, 176.562500, 
trial0004579, ZIC, 2001, 16, 125.062500, ZIP, 1981, 16, 123.812500, 
trial0004580, ZIC, 1539, 16, 96.187500, ZIP, 2350, 16, 146.875000, 
trial0004581, ZIC, 2217, 16, 138.562500, ZIP, 2219, 16, 138.687500, 
trial0004582, ZIC, 1394, 16, 87.125000, ZIP, 3194, 16, 199.625000, 
trial0004583, ZIC, 1037, 16, 64.812500, ZIP, 2748, 16, 171.750000, 
trial0004584, ZIC, 2087, 16, 130.437500, ZIP, 2233, 16, 139.562500, 
trial0004585, ZIC, 1166, 16, 72.875000, ZIP, 3368, 16, 210.500000, 
trial0004586, ZIC, 1458, 16, 91.125000, ZIP, 2471, 16, 154.437500, 
trial0004587, ZIC, 1242, 16, 77.625000, ZIP, 3018, 16, 188.625000, 
trial0004588, ZIC, 1449, 16, 90.562500, ZIP, 2706, 16, 169.125000, 
trial0004589, ZIC, 1358, 16, 84.875000, ZIP, 2869, 16, 179.312500, 
trial0004590, ZIC, 1798, 16, 112.375000, ZIP, 2745, 16, 171.562500, 
trial0004591, ZIC, 2508, 16, 156.750000, ZIP, 4690, 16, 293.125000, 
trial0004592, ZIC, 1993, 16, 124.562500, ZIP, 4210, 16, 263.125000, 
trial0004593, ZIC, 1411, 16, 88.187500, ZIP, 4926, 16, 307.875000, 
trial0004594, ZIC, 3793, 16, 237.062500, ZIP, 3176, 16, 198.500000, 
trial0004595, ZIC, 3535, 16, 220.937500, ZIP, 3063, 16, 191.437500, 
trial0004596, ZIC, 2587, 16, 161.687500, ZIP, 3809, 16, 238.062500, 
trial0004597, ZIC, 3122, 16, 195.125000, ZIP, 3710, 16, 231.875000, 
trial0004598, ZIC, 1384, 16, 86.500000, ZIP, 5641, 16, 352.562500, 
trial0004599, ZIC, 2907, 16, 181.687500, ZIP, 3940, 16, 246.250000, 
trial0004600, ZIC, 3608, 16, 225.500000, ZIP, 2974, 16, 185.875000, 
trial0004601, ZIC, 2585, 16, 161.562500, ZIP, 3948, 16, 246.750000, 
trial0004602, ZIC, 3104, 16, 194.000000, ZIP, 3585, 16, 224.062500, 
trial0004603, ZIC, 2560, 16, 160.000000, ZIP, 3792, 16, 237.000000, 
trial0004604, ZIC, 2239, 16, 139.937500, ZIP, 4549, 16, 284.312500, 
trial0004605, ZIC, 1456, 16, 91.000000, ZIP, 5439, 16, 339.937500, 
trial0004606, ZIC, 3338, 16, 208.625000, ZIP, 3224, 16, 201.500000, 
trial0004607, ZIC, 2813, 16, 175.812500, ZIP, 3821, 16, 238.812500, 
trial0004608, ZIC, 2278, 16, 142.375000, ZIP, 4203, 16, 262.687500, 
trial0004609, ZIC, 3255, 16, 203.437500, ZIP, 3474, 16, 217.125000, 
trial0004610, ZIC, 3338, 16, 208.625000, ZIP, 3183, 16, 198.937500, 
trial0004611, ZIC, 2353, 16, 147.062500, ZIP, 3533, 16, 220.812500, 
trial0004612, ZIC, 4136, 16, 258.500000, ZIP, 2234, 16, 139.625000, 
trial0004613, ZIC, 1415, 16, 88.437500, ZIP, 4736, 16, 296.000000, 
trial0004614, ZIC, 1300, 16, 81.250000, ZIP, 5937, 16, 371.062500, 
trial0004615, ZIC, 1924, 16, 120.250000, ZIP, 4950, 16, 309.375000, 
trial0004616, ZIC, 2380, 16, 148.750000, ZIP, 4573, 16, 285.812500, 
trial0004617, ZIC, 3715, 16, 232.187500, ZIP, 3258, 16, 203.625000, 
trial0004618, ZIC, 1759, 16, 109.937500, ZIP, 4968, 16, 310.500000, 
trial0004619, ZIC, 2997, 16, 187.312500, ZIP, 3790, 16, 236.875000, 
trial0004620, ZIC, 2039, 16, 127.437500, ZIP, 4837, 16, 302.312500, 
