trial0043201, GDX, 190, 4, 47.500000, ZIC, 399, 28, 14.250000, 
trial0043202, GDX, 77, 4, 19.250000, ZIC, 522, 28, 18.642857, 
trial0043203, GDX, 74, 4, 18.500000, ZIC, 515, 28, 18.392857, 
trial0043204, GDX, 56, 4, 14.000000, ZIC, 583, 28, 20.821429, 
trial0043205, GDX, 171, 4, 42.750000, ZIC, 418, 28, 14.928571, 
trial0043206, GDX, 13, 4, 3.250000, ZIC, 596, 28, 21.285714, 
trial0043207, GDX, 25, 4, 6.250000, ZIC, 544, 28, 19.428571, 
trial0043208, GDX, 104, 4, 26.000000, ZIC, 495, 28, 17.678571, 
trial0043209, GDX, 68, 4, 17.000000, ZIC, 571, 28, 20.392857, 
trial0043210, GDX, 50, 4, 12.500000, ZIC, 569, 28, 20.321429, 
trial0043211, GDX, 145, 4, 36.250000, ZIC, 434, 28, 15.500000, 
trial0043212, GDX, 55, 4, 13.750000, ZIC, 494, 28, 17.642857, 
trial0043213, GDX, 137, 4, 34.250000, ZIC, 502, 28, 17.928571, 
trial0043214, GDX, 90, 4, 22.500000, ZIC, 529, 28, 18.892857, 
trial0043215, GDX, 109, 4, 27.250000, ZIC, 430, 28, 15.357143, 
trial0043216, GDX, 43, 4, 10.750000, ZIC, 566, 28, 20.214286, 
trial0043217, GDX, 128, 4, 32.000000, ZIC, 451, 28, 16.107143, 
trial0043218, GDX, 80, 4, 20.000000, ZIC, 519, 28, 18.535714, 
trial0043219, GDX, 37, 4, 9.250000, ZIC, 532, 28, 19.000000, 
trial0043220, GDX, 82, 4, 20.500000, ZIC, 537, 28, 19.178571, 
trial0043221, GDX, 76, 4, 19.000000, ZIC, 543, 28, 19.392857, 
trial0043222, GDX, 47, 4, 11.750000, ZIC, 562, 28, 20.071429, 
trial0043223, GDX, 119, 4, 29.750000, ZIC, 480, 28, 17.142857, 
trial0043224, GDX, 171, 4, 42.750000, ZIC, 458, 28, 16.357143, 
trial0043225, GDX, 37, 4, 9.250000, ZIC, 502, 28, 17.928571, 
trial0043226, GDX, 57, 4, 14.250000, ZIC, 522, 28, 18.642857, 
trial0043227, GDX, 42, 4, 10.500000, ZIC, 577, 28, 20.607143, 
trial0043228, GDX, 111, 4, 27.750000, ZIC, 468, 28, 16.714286, 
trial0043229, GDX, 112, 4, 28.000000, ZIC, 477, 28, 17.035714, 
trial0043230, GDX, 32, 4, 8.000000, ZIC, 457, 28, 16.321429, 
trial0043231, GDX, 30, 4, 7.500000, ZIC, 242, 28, 8.642857, 
trial0043232, GDX, 51, 4, 12.750000, ZIC, 231, 28, 8.250000, 
trial0043233, GDX, 112, 4, 28.000000, ZIC, 200, 28, 7.142857, 
trial0043234, GDX, 2, 4, 0.500000, ZIC, 300, 28, 10.714286, 
trial0043235, GDX, 57, 4, 14.250000, ZIC, 245, 28, 8.750000, 
trial0043236, GDX, 27, 4, 6.750000, ZIC, 214, 28, 7.642857, 
trial0043237, GDX, 58, 4, 14.500000, ZIC, 265, 28, 9.464286, 
trial0043238, GDX, 37, 4, 9.250000, ZIC, 250, 28, 8.928571, 
trial0043239, GDX, 27, 4, 6.750000, ZIC, 281, 28, 10.035714, 
trial0043240, GDX, 20, 4, 5.000000, ZIC, 272, 28, 9.714286, 
trial0043241, GDX, 107, 4, 26.750000, ZIC, 216, 28, 7.714286, 
trial0043242, GDX, 5, 4, 1.250000, ZIC, 267, 28, 9.535714, 
trial0043243, GDX, 39, 4, 9.750000, ZIC, 264, 28, 9.428571, 
trial0043244, GDX, 30, 4, 7.500000, ZIC, 282, 28, 10.071429, 
trial0043245, GDX, 24, 4, 6.000000, ZIC, 238, 28, 8.500000, 
trial0043246, GDX, 56, 4, 14.000000, ZIC, 232, 28, 8.285714, 
trial0043247, GDX, 53, 4, 13.250000, ZIC, 244, 28, 8.714286, 
trial0043248, GDX, 0, 4, 0.000000, ZIC, 307, 28, 10.964286, 
trial0043249, GDX, 40, 4, 10.000000, ZIC, 278, 28, 9.928571, 
trial0043250, GDX, 11, 4, 2.750000, ZIC, 302, 28, 10.785714, 
trial0043251, GDX, 32, 4, 8.000000, ZIC, 275, 28, 9.821429, 
trial0043252, GDX, 2, 4, 0.500000, ZIC, 295, 28, 10.535714, 
trial0043253, GDX, 98, 4, 24.500000, ZIC, 199, 28, 7.107143, 
trial0043254, GDX, 52, 4, 13.000000, ZIC, 271, 28, 9.678571, 
trial0043255, GDX, 5, 4, 1.250000, ZIC, 271, 28, 9.678571, 
trial0043256, GDX, 3, 4, 0.750000, ZIC, 278, 28, 9.928571, 
trial0043257, GDX, 26, 4, 6.500000, ZIC, 281, 28, 10.035714, 
trial0043258, GDX, 13, 4, 3.250000, ZIC, 284, 28, 10.142857, 
trial0043259, GDX, 19, 4, 4.750000, ZIC, 268, 28, 9.571429, 
trial0043260, GDX, 6, 4, 1.500000, ZIC, 276, 28, 9.857143, 
trial0043261, GDX, 51, 4, 12.750000, ZIC, 214, 28, 7.642857, 
trial0043262, GDX, 27, 4, 6.750000, ZIC, 286, 28, 10.214286, 
trial0043263, GDX, 16, 4, 4.000000, ZIC, 308, 28, 11.000000, 
trial0043264, GDX, 14, 4, 3.500000, ZIC, 288, 28, 10.285714, 
trial0043265, GDX, 24, 4, 6.000000, ZIC, 268, 28, 9.571429, 
trial0043266, GDX, 41, 4, 10.250000, ZIC, 202, 28, 7.214286, 
trial0043267, GDX, 73, 4, 18.250000, ZIC, 229, 28, 8.178571, 
trial0043268, GDX, 96, 4, 24.000000, ZIC, 233, 28, 8.321429, 
trial0043269, GDX, 80, 4, 20.000000, ZIC, 244, 28, 8.714286, 
