trial0044401, AA, 40, 2, 20.000000, ZIC, 473, 30, 15.766667, 
trial0044402, AA, 44, 2, 22.000000, ZIC, 514, 30, 17.133333, 
trial0044403, AA, 35, 2, 17.500000, ZIC, 514, 30, 17.133333, 
trial0044404, AA, 0, 2, 0.000000, ZIC, 558, 30, 18.600000, 
trial0044405, AA, 41, 2, 20.500000, ZIC, 481, 30, 16.033333, 
trial0044406, AA, 18, 2, 9.000000, ZIC, 477, 30, 15.900000, 
trial0044407, AA, 74, 2, 37.000000, ZIC, 421, 30, 14.033333, 
trial0044408, AA, 34, 2, 17.000000, ZIC, 497, 30, 16.566667, 
trial0044409, AA, 45, 2, 22.500000, ZIC, 522, 30, 17.400000, 
trial0044410, AA, 63, 2, 31.500000, ZIC, 486, 30, 16.200000, 
trial0044411, AA, 37, 2, 18.500000, ZIC, 485, 30, 16.166667, 
trial0044412, AA, 4, 2, 2.000000, ZIC, 518, 30, 17.266667, 
trial0044413, AA, 139, 2, 69.500000, ZIC, 419, 30, 13.966667, 
trial0044414, AA, 0, 2, 0.000000, ZIC, 540, 30, 18.000000, 
trial0044415, AA, 19, 2, 9.500000, ZIC, 512, 30, 17.066667, 
trial0044416, AA, 43, 2, 21.500000, ZIC, 443, 30, 14.766667, 
trial0044417, AA, 0, 2, 0.000000, ZIC, 549, 30, 18.300000, 
trial0044418, AA, 2, 2, 1.000000, ZIC, 556, 30, 18.533333, 
trial0044419, AA, 81, 2, 40.500000, ZIC, 468, 30, 15.600000, 
trial0044420, AA, 2, 2, 1.000000, ZIC, 556, 30, 18.533333, 
trial0044421, AA, 50, 2, 25.000000, ZIC, 508, 30, 16.933333, 
trial0044422, AA, 97, 2, 48.500000, ZIC, 425, 30, 14.166667, 
trial0044423, AA, 121, 2, 60.500000, ZIC, 401, 30, 13.366667, 
trial0044424, AA, 86, 2, 43.000000, ZIC, 481, 30, 16.033333, 
trial0044425, AA, 78, 2, 39.000000, ZIC, 471, 30, 15.700000, 
trial0044426, AA, 33, 2, 16.500000, ZIC, 453, 30, 15.100000, 
trial0044427, AA, 12, 2, 6.000000, ZIC, 474, 30, 15.800000, 
trial0044428, AA, 7, 2, 3.500000, ZIC, 533, 30, 17.766667, 
trial0044429, AA, 81, 2, 40.500000, ZIC, 477, 30, 15.900000, 
trial0044430, AA, 46, 2, 23.000000, ZIC, 521, 30, 17.366667, 
trial0044431, AA, 22, 2, 11.000000, ZIC, 441, 30, 14.700000, 
trial0044432, AA, 12, 2, 6.000000, ZIC, 475, 30, 15.833333, 
trial0044433, AA, 40, 2, 20.000000, ZIC, 455, 30, 15.166667, 
trial0044434, AA, 95, 2, 47.500000, ZIC, 368, 30, 12.266667, 
trial0044435, AA, 25, 2, 12.500000, ZIC, 478, 30, 15.933333, 
trial0044436, AA, 22, 2, 11.000000, ZIC, 401, 30, 13.366667, 
trial0044437, AA, 0, 2, 0.000000, ZIC, 471, 30, 15.700000, 
trial0044438, AA, 7, 2, 3.500000, ZIC, 496, 30, 16.533333, 
trial0044439, AA, 26, 2, 13.000000, ZIC, 429, 30, 14.300000, 
trial0044440, AA, 0, 2, 0.000000, ZIC, 479, 30, 15.966667, 
trial0044441, AA, 32, 2, 16.000000, ZIC, 431, 30, 14.366667, 
trial0044442, AA, 24, 2, 12.000000, ZIC, 439, 30, 14.633333, 
trial0044443, AA, 28, 2, 14.000000, ZIC, 451, 30, 15.033333, 
trial0044444, AA, 32, 2, 16.000000, ZIC, 455, 30, 15.166667, 
trial0044445, AA, 6, 2, 3.000000, ZIC, 433, 30, 14.433333, 
trial0044446, AA, 2, 2, 1.000000, ZIC, 493, 30, 16.433333, 
trial0044447, AA, 1, 2, 0.500000, ZIC, 470, 30, 15.666667, 
trial0044448, AA, 2, 2, 1.000000, ZIC, 477, 30, 15.900000, 
trial0044449, AA, 0, 2, 0.000000, ZIC, 487, 30, 16.233333, 
trial0044450, AA, 106, 2, 53.000000, ZIC, 365, 30, 12.166667, 
trial0044451, AA, 2, 2, 1.000000, ZIC, 437, 30, 14.566667, 
trial0044452, AA, 70, 2, 35.000000, ZIC, 409, 30, 13.633333, 
trial0044453, AA, 0, 2, 0.000000, ZIC, 447, 30, 14.900000, 
trial0044454, AA, 12, 2, 6.000000, ZIC, 475, 30, 15.833333, 
trial0044455, AA, 36, 2, 18.000000, ZIC, 467, 30, 15.566667, 
trial0044456, AA, 27, 2, 13.500000, ZIC, 444, 30, 14.800000, 
trial0044457, AA, 25, 2, 12.500000, ZIC, 390, 30, 13.000000, 
trial0044458, AA, 49, 2, 24.500000, ZIC, 430, 30, 14.333333, 
trial0044459, AA, 30, 2, 15.000000, ZIC, 417, 30, 13.900000, 
trial0044460, AA, 82, 2, 41.000000, ZIC, 413, 30, 13.766667, 
trial0044461, AA, 128, 2, 64.000000, ZIC, 396, 30, 13.200000, 
trial0044462, AA, 8, 2, 4.000000, ZIC, 562, 30, 18.733333, 
trial0044463, AA, 42, 2, 21.000000, ZIC, 528, 30, 17.600000, 
trial0044464, AA, 55, 2, 27.500000, ZIC, 496, 30, 16.533333, 
trial0044465, AA, 20, 2, 10.000000, ZIC, 559, 30, 18.633333, 
trial0044466, AA, 74, 2, 37.000000, ZIC, 468, 30, 15.600000, 
trial0044467, AA, 23, 2, 11.500000, ZIC, 556, 30, 18.533333, 
trial0044468, AA, 28, 2, 14.000000, ZIC, 495, 30, 16.500000, 
trial0044469, AA, 59, 2, 29.500000, ZIC, 511, 30, 17.033333, 
trial0044470, AA, 73, 2, 36.500000, ZIC, 506, 30, 16.866667, 
trial0044471, AA, 20, 2, 10.000000, ZIC, 512, 30, 17.066667, 
trial0044472, AA, 75, 2, 37.500000, ZIC, 495, 30, 16.500000, 
trial0044473, AA, 59, 2, 29.500000, ZIC, 511, 30, 17.033333, 
trial0044474, AA, 2, 2, 1.000000, ZIC, 550, 30, 18.333333, 
trial0044475, AA, 10, 2, 5.000000, ZIC, 532, 30, 17.733333, 
trial0044476, AA, 4, 2, 2.000000, ZIC, 539, 30, 17.966667, 
trial0044477, AA, 66, 2, 33.000000, ZIC, 522, 30, 17.400000, 
trial0044478, AA, 56, 2, 28.000000, ZIC, 477, 30, 15.900000, 
trial0044479, AA, 17, 2, 8.500000, ZIC, 553, 30, 18.433333, 
trial0044480, AA, 66, 2, 33.000000, ZIC, 485, 30, 16.166667, 
trial0044481, AA, 0, 2, 0.000000, ZIC, 570, 30, 19.000000, 
trial0044482, AA, 55, 2, 27.500000, ZIC, 515, 30, 17.166667, 
trial0044483, AA, 8, 2, 4.000000, ZIC, 562, 30, 18.733333, 
trial0044484, AA, 52, 2, 26.000000, ZIC, 500, 30, 16.666667, 
trial0044485, AA, 73, 2, 36.500000, ZIC, 488, 30, 16.266667, 
trial0044486, AA, 3, 2, 1.500000, ZIC, 585, 30, 19.500000, 
trial0044487, AA, 72, 2, 36.000000, ZIC, 480, 30, 16.000000, 
trial0044488, AA, 39, 2, 19.500000, ZIC, 531, 30, 17.700000, 
trial0044489, AA, 48, 2, 24.000000, ZIC, 513, 30, 17.100000, 
trial0044490, AA, 0, 2, 0.000000, ZIC, 570, 30, 19.000000, 
trial0044491, AA, 40, 2, 20.000000, ZIC, 261, 30, 8.700000, 
trial0044492, AA, 35, 2, 17.500000, ZIC, 201, 30, 6.700000, 
trial0044493, AA, 29, 2, 14.500000, ZIC, 242, 30, 8.066667, 
trial0044494, AA, 11, 2, 5.500000, ZIC, 300, 30, 10.000000, 
trial0044495, AA, 60, 2, 30.000000, ZIC, 236, 30, 7.866667, 
trial0044496, AA, 19, 2, 9.500000, ZIC, 267, 30, 8.900000, 
trial0044497, AA, 27, 2, 13.500000, ZIC, 279, 30, 9.300000, 
