trial0045001, AA, 0, 2, 0.000000, ZIP, 567, 30, 18.900000, 
trial0045002, AA, 78, 2, 39.000000, ZIP, 555, 30, 18.500000, 
trial0045003, AA, 33, 2, 16.500000, ZIP, 534, 30, 17.800000, 
trial0045004, AA, 62, 2, 31.000000, ZIP, 483, 30, 16.100000, 
trial0045005, AA, 143, 2, 71.500000, ZIP, 558, 30, 18.600000, 
trial0045006, AA, 134, 2, 67.000000, ZIP, 567, 30, 18.900000, 
trial0045007, AA, 34, 2, 17.000000, ZIP, 645, 30, 21.500000, 
trial0045008, AA, 30, 2, 15.000000, ZIP, 683, 30, 22.766667, 
trial0045009, AA, 93, 2, 46.500000, ZIP, 596, 30, 19.866667, 
trial0045010, AA, 0, 2, 0.000000, ZIP, 678, 30, 22.600000, 
trial0045011, AA, 75, 2, 37.500000, ZIP, 626, 30, 20.866667, 
trial0045012, AA, 226, 2, 113.000000, ZIP, 464, 30, 15.466667, 
trial0045013, AA, 0, 2, 0.000000, ZIP, 679, 30, 22.633333, 
trial0045014, AA, 30, 2, 15.000000, ZIP, 626, 30, 20.866667, 
trial0045015, AA, 120, 2, 60.000000, ZIP, 480, 30, 16.000000, 
trial0045016, AA, 23, 2, 11.500000, ZIP, 633, 30, 21.100000, 
trial0045017, AA, 170, 2, 85.000000, ZIP, 497, 30, 16.566667, 
trial0045018, AA, 36, 2, 18.000000, ZIP, 654, 30, 21.800000, 
trial0045019, AA, 45, 2, 22.500000, ZIP, 590, 30, 19.666667, 
trial0045020, AA, 21, 2, 10.500000, ZIP, 657, 30, 21.900000, 
trial0045021, AA, 3, 2, 1.500000, ZIP, 698, 30, 23.266667, 
trial0045022, AA, 133, 2, 66.500000, ZIP, 500, 30, 16.666667, 
trial0045023, AA, 64, 2, 32.000000, ZIP, 649, 30, 21.633333, 
trial0045024, AA, 47, 2, 23.500000, ZIP, 632, 30, 21.066667, 
trial0045025, AA, 0, 2, 0.000000, ZIP, 713, 30, 23.766667, 
trial0045026, AA, 66, 2, 33.000000, ZIP, 568, 30, 18.933333, 
trial0045027, AA, 44, 2, 22.000000, ZIP, 568, 30, 18.933333, 
trial0045028, AA, 111, 2, 55.500000, ZIP, 557, 30, 18.566667, 
trial0045029, AA, 40, 2, 20.000000, ZIP, 560, 30, 18.666667, 
trial0045030, AA, 10, 2, 5.000000, ZIP, 646, 30, 21.533333, 
trial0045031, AA, 0, 2, 0.000000, ZIP, 413, 30, 13.766667, 
trial0045032, AA, 65, 2, 32.500000, ZIP, 374, 30, 12.466667, 
trial0045033, AA, 65, 2, 32.500000, ZIP, 431, 30, 14.366667, 
trial0045034, AA, 2, 2, 1.000000, ZIP, 477, 30, 15.900000, 
trial0045035, AA, 25, 2, 12.500000, ZIP, 471, 30, 15.700000, 
trial0045036, AA, 55, 2, 27.500000, ZIP, 433, 30, 14.433333, 
trial0045037, AA, 65, 2, 32.500000, ZIP, 406, 30, 13.533333, 
trial0045038, AA, 64, 2, 32.000000, ZIP, 415, 30, 13.833333, 
trial0045039, AA, 15, 2, 7.500000, ZIP, 489, 30, 16.300000, 
trial0045040, AA, 16, 2, 8.000000, ZIP, 471, 30, 15.700000, 
trial0045041, AA, 2, 2, 1.000000, ZIP, 485, 30, 16.166667, 
trial0045042, AA, 104, 2, 52.000000, ZIP, 408, 30, 13.600000, 
trial0045043, AA, 4, 2, 2.000000, ZIP, 491, 30, 16.366667, 
trial0045044, AA, 0, 2, 0.000000, ZIP, 463, 30, 15.433333, 
trial0045045, AA, 0, 2, 0.000000, ZIP, 504, 30, 16.800000, 
trial0045046, AA, 0, 2, 0.000000, ZIP, 406, 30, 13.533333, 
trial0045047, AA, 73, 2, 36.500000, ZIP, 390, 30, 13.000000, 
trial0045048, AA, 10, 2, 5.000000, ZIP, 470, 30, 15.666667, 
trial0045049, AA, 0, 2, 0.000000, ZIP, 512, 30, 17.066667, 
trial0045050, AA, 0, 2, 0.000000, ZIP, 487, 30, 16.233333, 
trial0045051, AA, 57, 2, 28.500000, ZIP, 373, 30, 12.433333, 
trial0045052, AA, 49, 2, 24.500000, ZIP, 431, 30, 14.366667, 
trial0045053, AA, 105, 2, 52.500000, ZIP, 407, 30, 13.566667, 
trial0045054, AA, 1, 2, 0.500000, ZIP, 503, 30, 16.766667, 
trial0045055, AA, 43, 2, 21.500000, ZIP, 444, 30, 14.800000, 
