trial0015001, AA, 684, 30, 22.800000, GDX, 90, 2, 45.000000, 
trial0015002, AA, 745, 30, 24.833333, GDX, 29, 2, 14.500000, 
trial0015003, AA, 408, 30, 13.600000, GDX, 105, 2, 52.500000, 
trial0015004, AA, 785, 30, 26.166667, GDX, 48, 2, 24.000000, 
trial0015005, AA, 416, 30, 13.866667, GDX, 76, 2, 38.000000, 
trial0015006, AA, 748, 30, 24.933333, GDX, 182, 2, 91.000000, 
trial0015007, AA, 772, 30, 25.733333, GDX, 62, 2, 31.000000, 
trial0015008, AA, 832, 30, 27.733333, GDX, 137, 2, 68.500000, 
trial0015009, AA, 18, 30, 0.600000, GDX, 3, 2, 1.500000, 
trial0015010, AA, 762, 30, 25.400000, GDX, 124, 2, 62.000000, 
trial0015011, AA, 63, 30, 2.100000, GDX, 23, 2, 11.500000, 
trial0015012, AA, 637, 30, 21.233333, GDX, 125, 2, 62.500000, 
trial0015013, AA, 768, 30, 25.600000, GDX, 129, 2, 64.500000, 
trial0015014, AA, 594, 30, 19.800000, GDX, 83, 2, 41.500000, 
trial0015015, AA, 325, 30, 10.833333, GDX, 148, 2, 74.000000, 
trial0015016, AA, 643, 30, 21.433333, GDX, 22, 2, 11.000000, 
trial0015017, AA, 1278, 30, 42.600000, GDX, 111, 2, 55.500000, 
trial0015018, AA, 674, 30, 22.466667, GDX, 59, 2, 29.500000, 
trial0015019, AA, 910, 30, 30.333333, GDX, 103, 2, 51.500000, 
trial0015020, AA, 607, 30, 20.233333, GDX, 86, 2, 43.000000, 
trial0015021, AA, 699, 30, 23.300000, GDX, 56, 2, 28.000000, 
trial0015022, AA, 661, 30, 22.033333, GDX, 119, 2, 59.500000, 
trial0015023, AA, 629, 30, 20.966667, GDX, 126, 2, 63.000000, 
trial0015024, AA, 375, 30, 12.500000, GDX, 96, 2, 48.000000, 
trial0015025, AA, 447, 30, 14.900000, GDX, 181, 2, 90.500000, 
trial0015026, AA, 672, 30, 22.400000, GDX, 123, 2, 61.500000, 
trial0015027, AA, 918, 30, 30.600000, GDX, 123, 2, 61.500000, 
trial0015028, AA, 787, 30, 26.233333, GDX, 168, 2, 84.000000, 
trial0015029, AA, 736, 30, 24.533333, GDX, 17, 2, 8.500000, 
trial0015030, AA, 538, 30, 17.933333, GDX, 140, 2, 70.000000, 
trial0015031, AA, 2018, 30, 67.266667, GDX, 4, 2, 2.000000, 
trial0015032, AA, 1647, 30, 54.900000, GDX, 167, 2, 83.500000, 
trial0015033, AA, 2034, 30, 67.800000, GDX, 8, 2, 4.000000, 
trial0015034, AA, 1452, 30, 48.400000, GDX, 159, 2, 79.500000, 
trial0015035, AA, 1105, 30, 36.833333, GDX, 205, 2, 102.500000, 
trial0015036, AA, 2122, 30, 70.733333, GDX, 162, 2, 81.000000, 
trial0015037, AA, 2128, 30, 70.933333, GDX, 29, 2, 14.500000, 
trial0015038, AA, 1861, 30, 62.033333, GDX, 78, 2, 39.000000, 
trial0015039, AA, 2102, 30, 70.066667, GDX, 62, 2, 31.000000, 
trial0015040, AA, 1226, 30, 40.866667, GDX, 171, 2, 85.500000, 
trial0015041, AA, 1755, 30, 58.500000, GDX, 366, 2, 183.000000, 
trial0015042, AA, 2028, 30, 67.600000, GDX, 76, 2, 38.000000, 
trial0015043, AA, 2136, 30, 71.200000, GDX, 8, 2, 4.000000, 
trial0015044, AA, 1092, 30, 36.400000, GDX, 317, 2, 158.500000, 
trial0015045, AA, 1484, 30, 49.466667, GDX, 43, 2, 21.500000, 
trial0015046, AA, 1993, 30, 66.433333, GDX, 20, 2, 10.000000, 
trial0015047, AA, 1652, 30, 55.066667, GDX, 226, 2, 113.000000, 
trial0015048, AA, 1307, 30, 43.566667, GDX, 273, 2, 136.500000, 
trial0015049, AA, 1243, 30, 41.433333, GDX, 246, 2, 123.000000, 
trial0015050, AA, 1975, 30, 65.833333, GDX, 35, 2, 17.500000, 
trial0015051, AA, 1719, 30, 57.300000, GDX, 153, 2, 76.500000, 
trial0015052, AA, 1927, 30, 64.233333, GDX, 72, 2, 36.000000, 
trial0015053, AA, 1229, 30, 40.966667, GDX, 391, 2, 195.500000, 
trial0015054, AA, 1713, 30, 57.100000, GDX, 386, 2, 193.000000, 
trial0015055, AA, 1639, 30, 54.633333, GDX, 204, 2, 102.000000, 
trial0015056, AA, 1759, 30, 58.633333, GDX, 233, 2, 116.500000, 
trial0015057, AA, 1095, 30, 36.500000, GDX, 137, 2, 68.500000, 
trial0015058, AA, 1926, 30, 64.200000, GDX, 97, 2, 48.500000, 
trial0015059, AA, 2038, 30, 67.933333, GDX, 142, 2, 71.000000, 
trial0015060, AA, 1782, 30, 59.400000, GDX, 252, 2, 126.000000, 
trial0015061, AA, 2957, 30, 98.566667, GDX, 101, 2, 50.500000, 
trial0015062, AA, 3256, 30, 108.533333, GDX, 59, 2, 29.500000, 
trial0015063, AA, 2376, 30, 79.200000, GDX, 191, 2, 95.500000, 
trial0015064, AA, 1602, 30, 53.400000, GDX, 208, 2, 104.000000, 
trial0015065, AA, 3049, 30, 101.633333, GDX, 0, 2, 0.000000, 
trial0015066, AA, 2531, 30, 84.366667, GDX, 296, 2, 148.000000, 
trial0015067, AA, 2886, 30, 96.200000, GDX, 263, 2, 131.500000, 
trial0015068, AA, 2735, 30, 91.166667, GDX, 323, 2, 161.500000, 
trial0015069, AA, 3020, 30, 100.666667, GDX, 0, 2, 0.000000, 
