trial0020701, AA, 294, 12, 24.500000, GDX, 459, 10, 45.900000, ZIC, 15, 2, 7.500000, ZIP, 71, 8, 8.875000, 
trial0020702, AA, 698, 12, 58.166667, GDX, 114, 10, 11.400000, ZIC, 171, 2, 85.500000, ZIP, 446, 8, 55.750000, 
trial0020703, AA, 982, 12, 81.833333, GDX, 302, 10, 30.200000, ZIC, 23, 2, 11.500000, ZIP, 374, 8, 46.750000, 
trial0020704, AA, 371, 12, 30.916667, GDX, 543, 10, 54.300000, ZIC, 0, 2, 0.000000, ZIP, 637, 8, 79.625000, 
trial0020705, AA, 901, 12, 75.083333, GDX, 350, 10, 35.000000, ZIC, 0, 2, 0.000000, ZIP, 326, 8, 40.750000, 
trial0020706, AA, 611, 12, 50.916667, GDX, 102, 10, 10.200000, ZIC, 50, 2, 25.000000, ZIP, 761, 8, 95.125000, 
trial0020707, AA, 832, 12, 69.333333, GDX, 175, 10, 17.500000, ZIC, 159, 2, 79.500000, ZIP, 198, 8, 24.750000, 
trial0020708, AA, 255, 12, 21.250000, GDX, 66, 10, 6.600000, ZIC, 151, 2, 75.500000, ZIP, 475, 8, 59.375000, 
trial0020709, AA, 402, 12, 33.500000, GDX, 783, 10, 78.300000, ZIC, 10, 2, 5.000000, ZIP, 67, 8, 8.375000, 
trial0020710, AA, 393, 12, 32.750000, GDX, 448, 10, 44.800000, ZIC, 0, 2, 0.000000, ZIP, 265, 8, 33.125000, 
trial0020711, AA, 864, 12, 72.000000, GDX, 437, 10, 43.700000, ZIC, 28, 2, 14.000000, ZIP, 471, 8, 58.875000, 
trial0020712, AA, 418, 12, 34.833333, GDX, 339, 10, 33.900000, ZIC, 0, 2, 0.000000, ZIP, 768, 8, 96.000000, 
trial0020713, AA, 479, 12, 39.916667, GDX, 154, 10, 15.400000, ZIC, 143, 2, 71.500000, ZIP, 490, 8, 61.250000, 
trial0020714, AA, 933, 12, 77.750000, GDX, 220, 10, 22.000000, ZIC, 198, 2, 99.000000, ZIP, 356, 8, 44.500000, 
trial0020715, AA, 683, 12, 56.916667, GDX, 218, 10, 21.800000, ZIC, 66, 2, 33.000000, ZIP, 399, 8, 49.875000, 
trial0020716, AA, 818, 12, 68.166667, GDX, 209, 10, 20.900000, ZIC, 0, 2, 0.000000, ZIP, 341, 8, 42.625000, 
trial0020717, AA, 461, 12, 38.416667, GDX, 587, 10, 58.700000, ZIC, 8, 2, 4.000000, ZIP, 297, 8, 37.125000, 
trial0020718, AA, 399, 12, 33.250000, GDX, 170, 10, 17.000000, ZIC, 239, 2, 119.500000, ZIP, 829, 8, 103.625000, 
trial0020719, AA, 772, 12, 64.333333, GDX, 588, 10, 58.800000, ZIC, 0, 2, 0.000000, ZIP, 529, 8, 66.125000, 
trial0020720, AA, 745, 12, 62.083333, GDX, 126, 10, 12.600000, ZIC, 247, 2, 123.500000, ZIP, 289, 8, 36.125000, 
trial0020721, AA, 551, 12, 45.916667, GDX, 129, 10, 12.900000, ZIC, 50, 2, 25.000000, ZIP, 366, 8, 45.750000, 
trial0020722, AA, 485, 12, 40.416667, GDX, 282, 10, 28.200000, ZIC, 20, 2, 10.000000, ZIP, 550, 8, 68.750000, 
