AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 165 Total: 43110, ZIP- Wins: 335, Total: 101187
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 120 Total: 46238, ZIP- Wins: 380, Total: 88624
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 95 Total: 70811, ZIP- Wins: 405, Total: 124421
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 85 Total: 42560, ZIP- Wins: 415, Total: 66980
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 121 Total: 69559, ZIP- Wins: 379, Total: 99108
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 151 Total: 52245, ZIP- Wins: 349, Total: 65939
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 169 Total: 70009, ZIP- Wins: 331, Total: 83505
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 214 Total: 85781, ZIP- Wins: 286, Total: 94369
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 293 Total: 77748, ZIP- Wins: 207, Total: 74695
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 309 Total: 109104, ZIP- Wins: 191, Total: 101810
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 367 Total: 117571, ZIP- Wins: 133, Total: 97021
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 397 Total: 88706, ZIP- Wins: 103, Total: 68635
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 446 Total: 49443, ZIP- Wins: 54, Total: 32570
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 412 Total: 100464, ZIP- Wins: 88, Total: 70875
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 385 Total: 168037, ZIP- Wins: 115, Total: 122229
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 395 Total: 115364, ZIP- Wins: 105, Total: 75207
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 395 Total: 116544, ZIP- Wins: 105, Total: 76730
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 363 Total: 130104, ZIP- Wins: 137, Total: 87724
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 282 Total: 165028, ZIP- Wins: 218, Total: 115043
