 AA, 518,  ZIP, 482
 AA, 554,  ZIP, 446
 AA, 565,  ZIP, 435
 AA, 587,  ZIP, 413
 AA, 642,  ZIP, 358
 AA, 655,  ZIP, 345
 AA, 693,  ZIP, 307
 AA, 706,  ZIP, 294
 AA, 766,  ZIP, 234
 AA, 735,  ZIP, 265
 AA, 825,  ZIP, 175
 AA, 833,  ZIP, 167
 AA, 854,  ZIP, 146
 AA, 877,  ZIP, 123
 AA, 850,  ZIP, 150
 AA, 872,  ZIP, 128
 AA, 803,  ZIP, 197
 AA, 828,  ZIP, 172
 AA, 613,  ZIP, 387
 ZIC, 664,  ZIP, 336
 ZIC, 835,  ZIP, 165
 ZIC, 832,  ZIP, 168
 ZIC, 809,  ZIP, 191
 ZIC, 851,  ZIP, 149
 ZIC, 820,  ZIP, 180
 ZIC, 805,  ZIP, 195
 ZIC, 755,  ZIP, 245
 ZIC, 637,  ZIP, 363
 ZIC, 453,  ZIP, 547
 ZIC, 361,  ZIP, 639
 ZIC, 218,  ZIP, 782
 ZIC, 132,  ZIP, 868
 ZIC, 112,  ZIP, 888
 ZIC, 101,  ZIP, 899
 ZIC, 120,  ZIP, 880
 ZIC, 125,  ZIP, 875
 ZIC, 198,  ZIP, 802
 ZIC, 264,  ZIP, 736
 GDX, 526,  ZIP, 474
 GDX, 632,  ZIP, 368
 GDX, 371,  ZIP, 129
 GDX, 361,  ZIP, 139
 GDX, 411,  ZIP, 89
 GDX, 823,  ZIP, 177
 GDX, 864,  ZIP, 136
 GDX, 890,  ZIP, 110
 GDX, 905,  ZIP, 95
 GDX, 913,  ZIP, 87
 GDX, 911,  ZIP, 89
 GDX, 918,  ZIP, 82
 GDX, 898,  ZIP, 102
 GDX, 918,  ZIP, 82
 GDX, 910,  ZIP, 90
 GDX, 899,  ZIP, 101
 GDX, 843,  ZIP, 157
 GDX, 808,  ZIP, 192
 GDX, 656,  ZIP, 344
