AA- Wins: 259 Total: 168780, GDX- Wins: 241 Total: 154293, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 321 Total: 83297, GDX- Wins: 179 Total: 54372, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 365 Total: 23853, GDX- Wins: 135 Total: 12021, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 395 Total: 118167, GDX- Wins: 105 Total: 82501, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 402 Total: 168354, GDX- Wins: 98 Total: 121917, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 423 Total: 114185, GDX- Wins: 77 Total: 74749, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 418 Total: 116636, GDX- Wins: 82 Total: 74817, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 434 Total: 106964, GDX- Wins: 66 Total: 65979, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 443 Total: 63523, GDX- Wins: 57 Total: 35998, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 426 Total: 135398, GDX- Wins: 74 Total: 91512, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 411 Total: 161886, GDX- Wins: 89 Total: 112212, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 437 Total: 143511, GDX- Wins: 63 Total: 92272, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 400 Total: 79366, GDX- Wins: 100 Total: 47675, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 431 Total: 162061, GDX- Wins: 69 Total: 100544, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 385 Total: 161848, GDX- Wins: 115 Total: 112869, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 377 Total: 201583, GDX- Wins: 123 Total: 141674, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 402 Total: 121300, GDX- Wins: 98 Total: 74490, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 385 Total: 91958, GDX- Wins: 115 Total: 50904, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 271 Total: 190052, GDX- Wins: 229 Total: 146003, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 160 Total: 29885, ZIP- Wins: 340, Total: 115351
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 77 Total: 39953, ZIP- Wins: 423, Total: 126974
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 42 Total: 50928, ZIP- Wins: 458, Total: 146679
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 41 Total: 50910, ZIP- Wins: 459, Total: 115431
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 46 Total: 53967, ZIP- Wins: 454, Total: 106889
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 68 Total: 58957, ZIP- Wins: 432, Total: 105431
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 74 Total: 58992, ZIP- Wins: 426, Total: 89474
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 89 Total: 91933, ZIP- Wins: 411, Total: 123326
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 131 Total: 104016, ZIP- Wins: 369, Total: 131344
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 220 Total: 68422, ZIP- Wins: 280, Total: 73271
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 288 Total: 98241, ZIP- Wins: 212, Total: 95706
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 312 Total: 99197, ZIP- Wins: 188, Total: 90327
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 381 Total: 125813, ZIP- Wins: 119, Total: 100967
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 383 Total: 156869, ZIP- Wins: 117, Total: 130311
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 426 Total: 124664, ZIP- Wins: 74, Total: 78271
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 440 Total: 120081, ZIP- Wins: 60, Total: 65060
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 437 Total: 152562, ZIP- Wins: 63, Total: 79877
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 423 Total: 129368, ZIP- Wins: 77, Total: 61641
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 350 Total: 156340, ZIP- Wins: 150, Total: 96361
AA- Wins: 0 Total: 0, GDX- Wins: 233 Total: 126012, ZIC- Wins: 0 Total: 0, ZIP- Wins: 267, Total: 137729
AA- Wins: 0 Total: 0, GDX- Wins: 208 Total: 68498, ZIC- Wins: 0 Total: 0, ZIP- Wins: 292, Total: 80214
AA- Wins: 0 Total: 0, GDX- Wins: 279 Total: 87999, ZIC- Wins: 0 Total: 0, ZIP- Wins: 221, Total: 78233
