trial0002001, GDX, 2889, 20, 144.450000, ZIP, 4536, 20, 226.800000, 
trial0002002, GDX, 2847, 20, 142.350000, ZIP, 3475, 20, 173.750000, 
trial0002003, GDX, 3800, 20, 190.000000, ZIP, 4057, 20, 202.850000, 
trial0002004, GDX, 2628, 20, 131.400000, ZIP, 4857, 20, 242.850000, 
trial0002005, GDX, 3727, 20, 186.350000, ZIP, 3430, 20, 171.500000, 
trial0002006, GDX, 5450, 20, 272.500000, ZIP, 2348, 20, 117.400000, 
trial0002007, GDX, 3667, 20, 183.350000, ZIP, 3498, 20, 174.900000, 
trial0002008, GDX, 3824, 20, 191.200000, ZIP, 3650, 20, 182.500000, 
trial0002009, GDX, 3585, 20, 179.250000, ZIP, 3317, 20, 165.850000, 
trial0002010, GDX, 3400, 20, 170.000000, ZIP, 3787, 20, 189.350000, 
trial0002011, GDX, 2633, 20, 131.650000, ZIP, 4107, 20, 205.350000, 
trial0002012, GDX, 2943, 20, 147.150000, ZIP, 4849, 20, 242.450000, 
trial0002013, GDX, 2441, 20, 122.050000, ZIP, 4205, 20, 210.250000, 
trial0002014, GDX, 4755, 20, 237.750000, ZIP, 2904, 20, 145.200000, 
trial0002015, GDX, 3697, 20, 184.850000, ZIP, 3304, 20, 165.200000, 
trial0002016, GDX, 4055, 20, 202.750000, ZIP, 3781, 20, 189.050000, 
trial0002017, GDX, 3360, 20, 168.000000, ZIP, 4411, 20, 220.550000, 
trial0002018, GDX, 3563, 20, 178.150000, ZIP, 1806, 20, 90.300000, 
trial0002019, GDX, 3727, 20, 186.350000, ZIP, 4201, 20, 210.050000, 
trial0002020, GDX, 4405, 20, 220.250000, ZIP, 2262, 20, 113.100000, 
trial0002021, GDX, 3650, 20, 182.500000, ZIP, 2646, 20, 132.300000, 
trial0002022, GDX, 3299, 20, 164.950000, ZIP, 3244, 20, 162.200000, 
trial0002023, GDX, 3682, 20, 184.100000, ZIP, 2935, 20, 146.750000, 
trial0002024, GDX, 4204, 20, 210.200000, ZIP, 2496, 20, 124.800000, 
trial0002025, GDX, 2265, 20, 113.250000, ZIP, 3261, 20, 163.050000, 
trial0002026, GDX, 3744, 20, 187.200000, ZIP, 3309, 20, 165.450000, 
trial0002027, GDX, 3093, 20, 154.650000, ZIP, 3664, 20, 183.200000, 
trial0002028, GDX, 2954, 20, 147.700000, ZIP, 4387, 20, 219.350000, 
