trial0000001, AA, 952, 10, 95.200000, GDX, 1003, 10, 100.300000, ZIC, 2449, 10, 244.900000, ZIP, 3601, 10, 360.100000, 
trial0000002, AA, 2416, 10, 241.600000, GDX, 1917, 10, 191.700000, ZIC, 2345, 10, 234.500000, ZIP, 2499, 10, 249.900000, 
trial0000003, AA, 2317, 10, 231.700000, GDX, 3501, 10, 350.100000, ZIC, 1545, 10, 154.500000, ZIP, 1644, 10, 164.400000, 
trial0000004, AA, 3060, 10, 306.000000, GDX, 2607, 10, 260.700000, ZIC, 1980, 10, 198.000000, ZIP, 1581, 10, 158.100000, 
trial0000005, AA, 2298, 10, 229.800000, GDX, 3935, 10, 393.500000, ZIC, 562, 10, 56.200000, ZIP, 2181, 10, 218.100000, 
trial0000006, AA, 1486, 10, 148.600000, GDX, 1957, 10, 195.700000, ZIC, 2592, 10, 259.200000, ZIP, 2686, 10, 268.600000, 
trial0000007, AA, 3641, 10, 364.100000, GDX, 2077, 10, 207.700000, ZIC, 1704, 10, 170.400000, ZIP, 1723, 10, 172.300000, 
trial0000008, AA, 1381, 10, 138.100000, GDX, 4944, 10, 494.400000, ZIC, 997, 10, 99.700000, ZIP, 1571, 10, 157.100000, 
trial0000009, AA, 1981, 10, 198.100000, GDX, 1836, 10, 183.600000, ZIC, 2563, 10, 256.300000, ZIP, 2211, 10, 221.100000, 
trial0000010, AA, 2720, 10, 272.000000, GDX, 1302, 10, 130.200000, ZIC, 1525, 10, 152.500000, ZIP, 3960, 10, 396.000000, 
trial0000011, AA, 2039, 10, 203.900000, GDX, 2549, 10, 254.900000, ZIC, 1369, 10, 136.900000, ZIP, 3844, 10, 384.400000, 
trial0000012, AA, 3336, 10, 333.600000, GDX, 3060, 10, 306.000000, ZIC, 2015, 10, 201.500000, ZIP, 1056, 10, 105.600000, 
trial0000013, AA, 2975, 10, 297.500000, GDX, 1614, 10, 161.400000, ZIC, 1988, 10, 198.800000, ZIP, 2420, 10, 242.000000, 
trial0000014, AA, 1763, 10, 176.300000, GDX, 2708, 10, 270.800000, ZIC, 1706, 10, 170.600000, ZIP, 2445, 10, 244.500000, 
trial0000015, AA, 1582, 10, 158.200000, GDX, 2574, 10, 257.400000, ZIC, 1431, 10, 143.100000, ZIP, 3297, 10, 329.700000, 
trial0000016, AA, 2641, 10, 264.100000, GDX, 1614, 10, 161.400000, ZIC, 1820, 10, 182.000000, ZIP, 2357, 10, 235.700000, 
trial0000017, AA, 1542, 10, 154.200000, GDX, 2488, 10, 248.800000, ZIC, 1857, 10, 185.700000, ZIP, 3031, 10, 303.100000, 
