trial0000001, AA, 6308, 20, 315.400000, ZIC, 3493, 20, 174.650000, 
trial0000002, AA, 5861, 20, 293.050000, ZIC, 4836, 20, 241.800000, 
trial0000003, AA, 5332, 20, 266.600000, ZIC, 5525, 20, 276.250000, 
trial0000004, AA, 4662, 20, 233.100000, ZIC, 5401, 20, 270.050000, 
trial0000005, AA, 4353, 20, 217.650000, ZIC, 5577, 20, 278.850000, 
trial0000006, AA, 5090, 20, 254.500000, ZIC, 5168, 20, 258.400000, 
trial0000007, AA, 5441, 20, 272.050000, ZIC, 5145, 20, 257.250000, 
trial0000008, AA, 6867, 20, 343.350000, ZIC, 3609, 20, 180.450000, 
trial0000009, AA, 5903, 20, 295.150000, ZIC, 3956, 20, 197.800000, 
trial0000010, AA, 5439, 20, 271.950000, ZIC, 4868, 20, 243.400000, 
trial0000011, AA, 4922, 20, 246.100000, ZIC, 5514, 20, 275.700000, 
trial0000012, AA, 5295, 20, 264.750000, ZIC, 5471, 20, 273.550000, 
trial0000013, AA, 4916, 20, 245.800000, ZIC, 6264, 20, 313.200000, 
trial0000014, AA, 6107, 20, 305.350000, ZIC, 4340, 20, 217.000000, 
trial0000015, AA, 4808, 20, 240.400000, ZIC, 5598, 20, 279.900000, 
trial0000016, AA, 4452, 20, 222.600000, ZIC, 6016, 20, 300.800000, 
trial0000017, AA, 5405, 20, 270.250000, ZIC, 3997, 20, 199.850000, 
trial0000018, AA, 6799, 20, 339.950000, ZIC, 4012, 20, 200.600000, 
trial0000019, AA, 4684, 20, 234.200000, ZIC, 6130, 20, 306.500000, 
trial0000020, AA, 5792, 20, 289.600000, ZIC, 5334, 20, 266.700000, 
trial0000021, AA, 5186, 20, 259.300000, ZIC, 6077, 20, 303.850000, 
trial0000022, AA, 5907, 20, 295.350000, ZIC, 4782, 20, 239.100000, 
trial0000023, AA, 7636, 20, 381.800000, ZIC, 3300, 20, 165.000000, 
trial0000024, AA, 6349, 20, 317.450000, ZIC, 4303, 20, 215.150000, 
trial0000025, AA, 6701, 20, 335.050000, ZIC, 3701, 20, 185.050000, 
trial0000026, AA, 5617, 20, 280.850000, ZIC, 4592, 20, 229.600000, 
trial0000027, AA, 6437, 20, 321.850000, ZIC, 4464, 20, 223.200000, 
trial0000028, AA, 5392, 20, 269.600000, ZIC, 5808, 20, 290.400000, 
trial0000029, AA, 5773, 20, 288.650000, ZIC, 4282, 20, 214.100000, 
trial0000030, AA, 6443, 20, 322.150000, ZIC, 3910, 20, 195.500000, 
trial0000031, AA, 7847, 20, 392.350000, ZIC, 3103, 20, 155.150000, 
trial0000032, AA, 5331, 20, 266.550000, ZIC, 5375, 20, 268.750000, 
trial0000033, AA, 7098, 20, 354.900000, ZIC, 3288, 20, 164.400000, 
trial0000034, AA, 6698, 20, 334.900000, ZIC, 4236, 20, 211.800000, 
trial0000035, AA, 8986, 20, 449.300000, ZIC, 2465, 20, 123.250000, 
trial0000036, AA, 5733, 20, 286.650000, ZIC, 4553, 20, 227.650000, 
trial0000037, AA, 7372, 20, 368.600000, ZIC, 3561, 20, 178.050000, 
trial0000038, AA, 5162, 20, 258.100000, ZIC, 4793, 20, 239.650000, 
trial0000039, AA, 7952, 20, 397.600000, ZIC, 2695, 20, 134.750000, 
trial0000040, AA, 8043, 20, 402.150000, ZIC, 2966, 20, 148.300000, 
trial0000041, AA, 7248, 20, 362.400000, ZIC, 3760, 20, 188.000000, 
trial0000042, AA, 6593, 20, 329.650000, ZIC, 4354, 20, 217.700000, 
trial0000043, AA, 5931, 20, 296.550000, ZIC, 4649, 20, 232.450000, 
trial0000044, AA, 5113, 20, 255.650000, ZIC, 6059, 20, 302.950000, 
trial0000045, AA, 6150, 20, 307.500000, ZIC, 3943, 20, 197.150000, 
trial0000046, AA, 5456, 20, 272.800000, ZIC, 5119, 20, 255.950000, 
trial0000047, AA, 4201, 20, 210.050000, ZIC, 6430, 20, 321.500000, 
trial0000048, AA, 6211, 20, 310.550000, ZIC, 4342, 20, 217.100000, 
trial0000049, AA, 6283, 20, 314.150000, ZIC, 3848, 20, 192.400000, 
trial0000050, AA, 5112, 20, 255.600000, ZIC, 5872, 20, 293.600000, 
trial0000051, AA, 4299, 20, 214.950000, ZIC, 6034, 20, 301.700000, 
trial0000052, AA, 8533, 20, 426.650000, ZIC, 2571, 20, 128.550000, 
trial0000053, AA, 5017, 20, 250.850000, ZIC, 5345, 20, 267.250000, 
trial0000054, AA, 4785, 20, 239.250000, ZIC, 5575, 20, 278.750000, 
trial0000055, AA, 7444, 20, 372.200000, ZIC, 3562, 20, 178.100000, 
trial0000056, AA, 5194, 20, 259.700000, ZIC, 5442, 20, 272.100000, 
trial0000057, AA, 6642, 20, 332.100000, ZIC, 4241, 20, 212.050000, 
trial0000058, AA, 5254, 20, 262.700000, ZIC, 5190, 20, 259.500000, 
trial0000059, AA, 6646, 20, 332.300000, ZIC, 4050, 20, 202.500000, 
trial0000060, AA, 5823, 20, 291.150000, ZIC, 5156, 20, 257.800000, 
trial0000061, AA, 7076, 20, 353.800000, ZIC, 4185, 20, 209.250000, 
trial0000062, AA, 9738, 20, 486.900000, ZIC, 1097, 20, 54.850000, 
trial0000063, AA, 5364, 20, 268.200000, ZIC, 5176, 20, 258.800000, 
trial0000064, AA, 5778, 20, 288.900000, ZIC, 4694, 20, 234.700000, 
trial0000065, AA, 6940, 20, 347.000000, ZIC, 3520, 20, 176.000000, 
trial0000066, AA, 3562, 20, 178.100000, ZIC, 7068, 20, 353.400000, 
trial0000067, AA, 5332, 20, 266.600000, ZIC, 5379, 20, 268.950000, 
trial0000068, AA, 6633, 20, 331.650000, ZIC, 4278, 20, 213.900000, 
trial0000069, AA, 4473, 20, 223.650000, ZIC, 6666, 20, 333.300000, 
trial0000070, AA, 5118, 20, 255.900000, ZIC, 5618, 20, 280.900000, 
trial0000071, AA, 5157, 20, 257.850000, ZIC, 5608, 20, 280.400000, 
trial0000072, AA, 4374, 20, 218.700000, ZIC, 5446, 20, 272.300000, 
trial0000073, AA, 6863, 20, 343.150000, ZIC, 2849, 20, 142.450000, 
trial0000074, AA, 5375, 20, 268.750000, ZIC, 5164, 20, 258.200000, 
trial0000075, AA, 6840, 20, 342.000000, ZIC, 3861, 20, 193.050000, 
trial0000076, AA, 8831, 20, 441.550000, ZIC, 1922, 20, 96.100000, 
trial0000077, AA, 6115, 20, 305.750000, ZIC, 4591, 20, 229.550000, 
trial0000078, AA, 7005, 20, 350.250000, ZIC, 4036, 20, 201.800000, 
trial0000079, AA, 6208, 20, 310.400000, ZIC, 4243, 20, 212.150000, 
trial0000080, AA, 5509, 20, 275.450000, ZIC, 4308, 20, 215.400000, 
