AA- Wins: 372 Total: 118533, GDX- Wins: 128 Total: 77950, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 380 Total: 119835, GDX- Wins: 120 Total: 82014, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 372 Total: 149660, GDX- Wins: 128 Total: 106290, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 398 Total: 132472, GDX- Wins: 102 Total: 90962, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 454 Total: 86878, GDX- Wins: 46 Total: 50538, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 439 Total: 114580, GDX- Wins: 61 Total: 77912, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 418 Total: 127042, GDX- Wins: 82 Total: 85533, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 409 Total: 172880, GDX- Wins: 91 Total: 120089, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 450 Total: 104197, GDX- Wins: 50 Total: 64498, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 431 Total: 124146, GDX- Wins: 69 Total: 80243, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 442 Total: 137046, GDX- Wins: 58 Total: 90887, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 428 Total: 127424, GDX- Wins: 72 Total: 80707, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 442 Total: 112739, GDX- Wins: 58 Total: 68532, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 397 Total: 144541, GDX- Wins: 103 Total: 97076, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 404 Total: 153593, GDX- Wins: 96 Total: 99948, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 398 Total: 119259, GDX- Wins: 102 Total: 78108, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 373 Total: 162317, GDX- Wins: 127 Total: 114543, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 350 Total: 148887, GDX- Wins: 150 Total: 102012, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 271 Total: 130766, GDX- Wins: 229 Total: 92492, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 161 Total: 18577, ZIP- Wins: 339, Total: 92524
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 70 Total: 29183, ZIP- Wins: 430, Total: 101127
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 35 Total: 36100, ZIP- Wins: 465, Total: 103531
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 31 Total: 55163, ZIP- Wins: 469, Total: 127693
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 24 Total: 45827, ZIP- Wins: 476, Total: 97459
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 31 Total: 51377, ZIP- Wins: 469, Total: 90803
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 63 Total: 45931, ZIP- Wins: 437, Total: 70702
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 83 Total: 67410, ZIP- Wins: 417, Total: 91659
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 117 Total: 56891, ZIP- Wins: 383, Total: 68261
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 212 Total: 81206, ZIP- Wins: 288, Total: 89415
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 316 Total: 66849, ZIP- Wins: 184, Total: 62281
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 331 Total: 106331, ZIP- Wins: 169, Total: 96645
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 381 Total: 120448, ZIP- Wins: 119, Total: 101121
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 393 Total: 145869, ZIP- Wins: 107, Total: 114143
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 396 Total: 141570, ZIP- Wins: 104, Total: 101706
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 455 Total: 119948, ZIP- Wins: 45, Total: 69490
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 402 Total: 171567, ZIP- Wins: 98, Total: 107235
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 414 Total: 139966, ZIP- Wins: 86, Total: 75459
AA- Wins: 0 Total: 0, GDX- Wins: 0 Total: 0, ZIC- Wins: 347 Total: 148864, ZIP- Wins: 153, Total: 86191
AA- Wins: 0 Total: 0, GDX- Wins: 269 Total: 92222, ZIC- Wins: 0 Total: 0, ZIP- Wins: 231, Total: 95935
AA- Wins: 0 Total: 0, GDX- Wins: 234 Total: 85879, ZIC- Wins: 0 Total: 0, ZIP- Wins: 266, Total: 88638
AA- Wins: 0 Total: 0, GDX- Wins: 304 Total: 127162, ZIC- Wins: 0 Total: 0, ZIP- Wins: 196, Total: 111720
AA- Wins: 0 Total: 0, GDX- Wins: 254 Total: 80426, ZIC- Wins: 0 Total: 0, ZIP- Wins: 246, Total: 74533
AA- Wins: 0 Total: 0, GDX- Wins: 287 Total: 90158, ZIC- Wins: 0 Total: 0, ZIP- Wins: 213, Total: 78353
AA- Wins: 0 Total: 0, GDX- Wins: 277 Total: 86668, ZIC- Wins: 0 Total: 0, ZIP- Wins: 223, Total: 73087
AA- Wins: 0 Total: 0, GDX- Wins: 284 Total: 51913, ZIC- Wins: 0 Total: 0, ZIP- Wins: 216, Total: 46860
AA- Wins: 0 Total: 0, GDX- Wins: 259 Total: 66086, ZIC- Wins: 0 Total: 0, ZIP- Wins: 241, Total: 62818
AA- Wins: 0 Total: 0, GDX- Wins: 295 Total: 77308, ZIC- Wins: 0 Total: 0, ZIP- Wins: 205, Total: 60778
AA- Wins: 0 Total: 0, GDX- Wins: 356 Total: 96235, ZIC- Wins: 0 Total: 0, ZIP- Wins: 144, Total: 68854
AA- Wins: 0 Total: 0, GDX- Wins: 381 Total: 33977, ZIC- Wins: 0 Total: 0, ZIP- Wins: 119, Total: 23034
AA- Wins: 0 Total: 0, GDX- Wins: 394 Total: 69051, ZIC- Wins: 0 Total: 0, ZIP- Wins: 106, Total: 47530
AA- Wins: 0 Total: 0, GDX- Wins: 422 Total: 82503, ZIC- Wins: 0 Total: 0, ZIP- Wins: 78, Total: 49485
AA- Wins: 0 Total: 0, GDX- Wins: 420 Total: 75140, ZIC- Wins: 0 Total: 0, ZIP- Wins: 80, Total: 48492
AA- Wins: 0 Total: 0, GDX- Wins: 456 Total: 116646, ZIC- Wins: 0 Total: 0, ZIP- Wins: 44, Total: 51527
AA- Wins: 0 Total: 0, GDX- Wins: 430 Total: 78853, ZIC- Wins: 0 Total: 0, ZIP- Wins: 70, Total: 39900
AA- Wins: 0 Total: 0, GDX- Wins: 423 Total: 68602, ZIC- Wins: 0 Total: 0, ZIP- Wins: 77, Total: 31431
AA- Wins: 0 Total: 0, GDX- Wins: 402 Total: 42763, ZIC- Wins: 0 Total: 0, ZIP- Wins: 98, Total: 15948
AA- Wins: 0 Total: 0, GDX- Wins: 301 Total: 74581, ZIC- Wins: 0 Total: 0, ZIP- Wins: 199, Total: 22949
AA- Wins: 310 Total: 97792, GDX- Wins: 0 Total: 0, ZIC- Wins: 190 Total: 78498, ZIP- Wins: 0, Total: 0
AA- Wins: 344 Total: 109893, GDX- Wins: 0 Total: 0, ZIC- Wins: 156 Total: 85250, ZIP- Wins: 0, Total: 0
AA- Wins: 326 Total: 127542, GDX- Wins: 0 Total: 0, ZIC- Wins: 174 Total: 99971, ZIP- Wins: 0, Total: 0
