AA- Wins: 228 Total: 106712, GDX- Wins: 272 Total: 119706, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 195 Total: 85487, GDX- Wins: 305 Total: 101232, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 189 Total: 78452, GDX- Wins: 311 Total: 90081, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 234 Total: 87390, GDX- Wins: 266 Total: 91954, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 232 Total: 108571, GDX- Wins: 268 Total: 113433, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 257 Total: 105239, GDX- Wins: 243 Total: 104967, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 266 Total: 81475, GDX- Wins: 234 Total: 81553, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 300 Total: 109858, GDX- Wins: 200 Total: 99444, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 180 Total: 28615, GDX- Wins: 320 Total: 28467, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 217 Total: 19910, GDX- Wins: 283 Total: 18492, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 194 Total: 10359, GDX- Wins: 306 Total: 10276, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 162 Total: 6774, GDX- Wins: 338 Total: 7931, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 196 Total: 9369, GDX- Wins: 304 Total: 8295, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 223 Total: 8766, GDX- Wins: 277 Total: 6778, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 290 Total: 11380, GDX- Wins: 210 Total: 7471, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 269 Total: 9384, GDX- Wins: 231 Total: 6995, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 289 Total: 9511, GDX- Wins: 211 Total: 5431, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 282 Total: 13925, GDX- Wins: 218 Total: 6855, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
