 SHVR, 589,  ZIC, 411
 SHVR, 620,  ZIC, 380
 SHVR, 657,  ZIC, 343
 SHVR, 678,  ZIC, 322
 SHVR, 650,  ZIC, 350
 SHVR, 759,  ZIC, 241
 SHVR, 661,  ZIC, 339
 SHVR, 691,  ZIC, 309
 SHVR, 739,  ZIC, 261
 SHVR, 740,  ZIC, 260
 SHVR, 753,  ZIC, 247
 SHVR, 805,  ZIC, 195
 SHVR, 754,  ZIC, 246
 SHVR, 749,  ZIC, 251
 SHVR, 768,  ZIC, 232
 SHVR, 804,  ZIC, 196
 SHVR, 726,  ZIC, 274
 SHVR, 692,  ZIC, 308
 SHVR, 584,  ZIC, 416
 SHVR, 562,  ZIP, 438
 SHVR, 667,  ZIP, 333
 SHVR, 751,  ZIP, 249
 SHVR, 738,  ZIP, 262
 SHVR, 792,  ZIP, 208
 SHVR, 843,  ZIP, 157
 SHVR, 859,  ZIP, 141
 SHVR, 867,  ZIP, 133
 SHVR, 860,  ZIP, 140
 SHVR, 923,  ZIP, 77
 SHVR, 934,  ZIP, 66
 SHVR, 927,  ZIP, 73
 SHVR, 930,  ZIP, 70
 SHVR, 939,  ZIP, 61
 SHVR, 935,  ZIP, 65
 SHVR, 934,  ZIP, 66
 SHVR, 876,  ZIP, 124
 SHVR, 849,  ZIP, 151
 SHVR, 689,  ZIP, 311
 GDX, 256,  SHVR, 744
 GDX, 188,  SHVR, 812
 GDX, 161,  SHVR, 839
 GDX, 167,  SHVR, 833
 GDX, 152,  SHVR, 848
 GDX, 125,  SHVR, 875
 GDX, 198,  SHVR, 802
 GDX, 213,  SHVR, 787
 GDX, 173,  SHVR, 827
 GDX, 143,  SHVR, 857
 GDX, 162,  SHVR, 838
 GDX, 198,  SHVR, 802
 GDX, 177,  SHVR, 823
 GDX, 224,  SHVR, 776
 GDX, 241,  SHVR, 759
 GDX, 233,  SHVR, 767
 GDX, 388,  SHVR, 612
 GDX, 410,  SHVR, 590
 GDX, 438,  SHVR, 562
 AA, 446,  SHVR, 554
 AA, 490,  SHVR, 510
 AA, 501,  SHVR, 499
 AA, 547,  SHVR, 453
 AA, 520,  SHVR, 480
 AA, 556,  SHVR, 444
 AA, 547,  SHVR, 453
 AA, 542,  SHVR, 458
 AA, 555,  SHVR, 445
 AA, 544,  SHVR, 456
 AA, 559,  SHVR, 441
 AA, 538,  SHVR, 462
 AA, 535,  SHVR, 465
 AA, 564,  SHVR, 436
 AA, 562,  SHVR, 438
 AA, 557,  SHVR, 443
 AA, 554,  SHVR, 446
 AA, 589,  SHVR, 411
 AA, 555,  SHVR, 445
 GVWY, 556,  ZIC, 444
 GVWY, 480,  ZIC, 520
 GVWY, 566,  ZIC, 434
 GVWY, 598,  ZIC, 402
 GVWY, 662,  ZIC, 338
 GVWY, 502,  ZIC, 498
 GVWY, 656,  ZIC, 344
 GVWY, 605,  ZIC, 395
 GVWY, 590,  ZIC, 410
 GVWY, 592,  ZIC, 408
 GVWY, 617,  ZIC, 383
 GVWY, 476,  ZIC, 524
 GVWY, 558,  ZIC, 442
 GVWY, 534,  ZIC, 466
 GVWY, 465,  ZIC, 535
 GVWY, 586,  ZIC, 414
 GVWY, 465,  ZIC, 535
 GVWY, 516,  ZIC, 484
 GVWY, 414,  ZIC, 586
 GVWY, 343,  ZIP, 657
 GVWY, 262,  ZIP, 738
 GVWY, 219,  ZIP, 781
 GVWY, 257,  ZIP, 743
 GVWY, 291,  ZIP, 709
 GVWY, 319,  ZIP, 681
 GVWY, 506,  ZIP, 494
 GVWY, 548,  ZIP, 452
 GVWY, 611,  ZIP, 389
 GVWY, 714,  ZIP, 286
 GVWY, 809,  ZIP, 191
 GVWY, 877,  ZIP, 123
 GVWY, 902,  ZIP, 98
 GVWY, 919,  ZIP, 81
 GVWY, 930,  ZIP, 70
 GVWY, 930,  ZIP, 70
 GVWY, 913,  ZIP, 87
 GVWY, 838,  ZIP, 162
 GVWY, 670,  ZIP, 330
 GDX, 630,  GVWY, 370
 GDX, 662,  GVWY, 338
 GDX, 703,  GVWY, 297
 GDX, 700,  GVWY, 300
 GDX, 591,  GVWY, 409
 GDX, 590,  GVWY, 410
 GDX, 529,  GVWY, 471
 GDX, 533,  GVWY, 467
 GDX, 369,  GVWY, 631
 GDX, 241,  GVWY, 759
 GDX, 229,  GVWY, 771
 GDX, 268,  GVWY, 732
 GDX, 276,  GVWY, 724
 GDX, 248,  GVWY, 752
 GDX, 260,  GVWY, 740
 GDX, 361,  GVWY, 639
 GDX, 290,  GVWY, 710
 GDX, 356,  GVWY, 644
 GDX, 497,  GVWY, 503
 AA, 633,  GVWY, 367
 AA, 692,  GVWY, 308
 AA, 730,  GVWY, 270
 AA, 736,  GVWY, 264
 AA, 693,  GVWY, 307
 AA, 701,  GVWY, 299
 AA, 687,  GVWY, 313
 AA, 672,  GVWY, 328
 AA, 616,  GVWY, 384
 AA, 613,  GVWY, 387
 AA, 573,  GVWY, 427
 AA, 557,  GVWY, 443
 AA, 552,  GVWY, 448
 AA, 542,  GVWY, 458
 AA, 550,  GVWY, 450
 AA, 518,  GVWY, 482
 AA, 535,  GVWY, 465
 AA, 569,  GVWY, 431
 AA, 565,  GVWY, 435
 GVWY, 447,  SHVR, 553
 GVWY, 564,  SHVR, 436
 GVWY, 546,  SHVR, 454
 GVWY, 561,  SHVR, 439
 GVWY, 553,  SHVR, 447
 GVWY, 517,  SHVR, 483
 GVWY, 489,  SHVR, 511
 GVWY, 474,  SHVR, 526
 GVWY, 431,  SHVR, 569
 GVWY, 428,  SHVR, 572
 GVWY, 392,  SHVR, 608
 GVWY, 354,  SHVR, 646
 GVWY, 292,  SHVR, 708
 GVWY, 275,  SHVR, 725
 GVWY, 251,  SHVR, 749
 GVWY, 248,  SHVR, 752
 GVWY, 220,  SHVR, 780
 GVWY, 268,  SHVR, 732
 GVWY, 351,  SHVR, 649
