 GDX, 279,  SHVR, 721
 GDX, 152,  SHVR, 848
 GDX, 153,  SHVR, 847
 GDX, 165,  SHVR, 835
 GDX, 135,  SHVR, 865
 GDX, 165,  SHVR, 835
 GDX, 98,  SHVR, 902
 GDX, 121,  SHVR, 879
 GDX, 158,  SHVR, 842
 GDX, 131,  SHVR, 869
 GDX, 145,  SHVR, 855
 GDX, 181,  SHVR, 819
 GDX, 193,  SHVR, 807
 GDX, 158,  SHVR, 842
 GDX, 215,  SHVR, 785
 GDX, 224,  SHVR, 776
 GDX, 336,  SHVR, 664
 GDX, 386,  SHVR, 614
 GDX, 463,  SHVR, 537
 AA, 452,  SHVR, 548
 AA, 493,  SHVR, 507
 AA, 486,  SHVR, 514
 AA, 490,  SHVR, 510
 AA, 541,  SHVR, 459
 AA, 525,  SHVR, 475
 AA, 559,  SHVR, 441
 AA, 551,  SHVR, 449
 AA, 538,  SHVR, 462
 AA, 551,  SHVR, 449
 AA, 563,  SHVR, 437
 AA, 569,  SHVR, 431
 AA, 563,  SHVR, 437
 AA, 570,  SHVR, 430
 AA, 562,  SHVR, 438
 AA, 582,  SHVR, 418
 AA, 559,  SHVR, 441
 AA, 567,  SHVR, 433
 AA, 561,  SHVR, 439
 GDX, 616,  GVWY, 384
 GDX, 655,  GVWY, 345
 GDX, 715,  GVWY, 285
 GDX, 605,  GVWY, 395
 GDX, 587,  GVWY, 413
 GDX, 590,  GVWY, 410
 GDX, 490,  GVWY, 510
 GDX, 415,  GVWY, 585
 GDX, 431,  GVWY, 569
 GDX, 277,  GVWY, 723
 GDX, 267,  GVWY, 733
 GDX, 228,  GVWY, 772
 GDX, 246,  GVWY, 754
 GDX, 216,  GVWY, 784
 GDX, 203,  GVWY, 797
 GDX, 279,  GVWY, 721
 GDX, 303,  GVWY, 697
 GDX, 379,  GVWY, 621
 GDX, 527,  GVWY, 473
 AA, 615,  GVWY, 385
 AA, 709,  GVWY, 291
 AA, 719,  GVWY, 281
 AA, 757,  GVWY, 243
 AA, 723,  GVWY, 277
 AA, 696,  GVWY, 304
 AA, 656,  GVWY, 344
 AA, 651,  GVWY, 349
 AA, 625,  GVWY, 375
 AA, 606,  GVWY, 394
 AA, 573,  GVWY, 427
 AA, 565,  GVWY, 435
 AA, 551,  GVWY, 449
 AA, 501,  GVWY, 499
 AA, 542,  GVWY, 458
 AA, 529,  GVWY, 471
 AA, 549,  GVWY, 451
 AA, 569,  GVWY, 431
 AA, 572,  GVWY, 428
 AA, 471,  ZIP, 529
 AA, 583,  ZIP, 417
 AA, 667,  ZIP, 333
 AA, 648,  ZIP, 352
 AA, 742,  ZIP, 258
 AA, 759,  ZIP, 241
 AA, 839,  ZIP, 161
 AA, 845,  ZIP, 155
 AA, 871,  ZIP, 129
 AA, 891,  ZIP, 109
 AA, 900,  ZIP, 100
 AA, 905,  ZIP, 95
 AA, 918,  ZIP, 82
 AA, 929,  ZIP, 71
 AA, 904,  ZIP, 96
 AA, 897,  ZIP, 103
 AA, 893,  ZIP, 107
 AA, 810,  ZIP, 190
 AA, 643,  ZIP, 357
 GDX, 454,  ZIC, 546
 GDX, 352,  ZIC, 648
 GDX, 325,  ZIC, 675
 GDX, 281,  ZIC, 719
 GDX, 271,  ZIC, 729
 GDX, 331,  ZIC, 669
 GDX, 392,  ZIC, 608
 GDX, 450,  ZIC, 550
 GDX, 485,  ZIC, 515
 GDX, 665,  ZIC, 335
 GDX, 727,  ZIC, 273
 GDX, 795,  ZIC, 205
 GDX, 861,  ZIC, 139
 GDX, 852,  ZIC, 148
 GDX, 863,  ZIC, 137
 GDX, 834,  ZIC, 166
 GDX, 808,  ZIC, 192
 GDX, 706,  ZIC, 294
 GDX, 587,  ZIC, 413
 AA, 703,  GDX, 297
 AA, 790,  GDX, 210
 AA, 777,  GDX, 223
 AA, 861,  GDX, 139
 AA, 847,  GDX, 153
 AA, 846,  GDX, 154
 AA, 905,  GDX, 95
 AA, 867,  GDX, 133
 AA, 867,  GDX, 133
 AA, 889,  GDX, 111
 AA, 844,  GDX, 156
 AA, 851,  GDX, 149
 AA, 885,  GDX, 115
 AA, 807,  GDX, 193
 AA, 827,  GDX, 173
 AA, 806,  GDX, 194
 AA, 764,  GDX, 236
 AA, 719,  GDX, 281
 AA, 565,  GDX, 435
 AA, 657,  ZIC, 343
 AA, 660,  ZIC, 340
 AA, 741,  ZIC, 259
 AA, 734,  ZIC, 266
 AA, 757,  ZIC, 243
 AA, 773,  ZIC, 227
 AA, 758,  ZIC, 242
 AA, 834,  ZIC, 166
 AA, 774,  ZIC, 226
 AA, 857,  ZIC, 143
 AA, 784,  ZIC, 216
 AA, 780,  ZIC, 220
 AA, 810,  ZIC, 190
 AA, 810,  ZIC, 190
 AA, 739,  ZIC, 261
 AA, 759,  ZIC, 241
 AA, 690,  ZIC, 310
 AA, 665,  ZIC, 335
 AA, 564,  ZIC, 436
 GDX, 542,  ZIP, 458
 GDX, 551,  ZIP, 449
 GDX, 567,  ZIP, 433
 GDX, 529,  ZIP, 471
 GDX, 538,  ZIP, 462
 GDX, 568,  ZIP, 432
 GDX, 577,  ZIP, 423
 GDX, 582,  ZIP, 418
 GDX, 617,  ZIP, 383
 GDX, 702,  ZIP, 298
 GDX, 771,  ZIP, 229
 GDX, 833,  ZIP, 167
 GDX, 808,  ZIP, 192
 GDX, 887,  ZIP, 113
 GDX, 844,  ZIP, 156
 GDX, 857,  ZIP, 143
 GDX, 844,  ZIP, 156
 GDX, 775,  ZIP, 225
 GDX, 594,  ZIP, 406
