 GDX, 560,  SHVR, 440
 GDX, 619,  SHVR, 381
 GDX, 652,  SHVR, 348
 GDX, 628,  SHVR, 372
 GDX, 618,  SHVR, 382
 GDX, 951,  SHVR, 49
 GDX, 982,  SHVR, 18
 GDX, 989,  SHVR, 11
 GDX, 987,  SHVR, 13
 GDX, 965,  SHVR, 35
 GDX, 980,  SHVR, 20
 GDX, 981,  SHVR, 19
 GDX, 958,  SHVR, 42
 GDX, 931,  SHVR, 69
 GDX, 957,  SHVR, 43
 GDX, 898,  SHVR, 102
 GDX, 923,  SHVR, 77
 GDX, 909,  SHVR, 91
 GDX, 887,  SHVR, 113
 AA, 355,  SHVR, 645
 AA, 489,  SHVR, 511
 AA, 647,  SHVR, 353
 AA, 677,  SHVR, 323
 AA, 667,  SHVR, 333
 AA, 631,  SHVR, 369
 AA, 665,  SHVR, 335
 AA, 597,  SHVR, 403
 AA, 648,  SHVR, 352
 AA, 618,  SHVR, 382
 AA, 640,  SHVR, 360
 AA, 621,  SHVR, 379
 AA, 649,  SHVR, 351
 AA, 649,  SHVR, 351
 AA, 673,  SHVR, 327
 AA, 670,  SHVR, 330
 AA, 619,  SHVR, 381
 AA, 619,  SHVR, 381
 AA, 645,  SHVR, 355
 GDX, 548,  GVWY, 452
 GDX, 683,  GVWY, 317
 GDX, 721,  GVWY, 279
 GDX, 607,  GVWY, 393
 GDX, 554,  GVWY, 446
 GDX, 448,  GVWY, 552
 GDX, 349,  GVWY, 651
 GDX, 228,  GVWY, 772
 GDX, 138,  GVWY, 862
 GDX, 126,  GVWY, 874
 GDX, 102,  GVWY, 898
 GDX, 99,  GVWY, 901
 GDX, 76,  GVWY, 924
 GDX, 114,  GVWY, 886
 GDX, 122,  GVWY, 878
 GDX, 120,  GVWY, 880
 GDX, 128,  GVWY, 872
 GDX, 118,  GVWY, 882
 GDX, 181,  GVWY, 819
 AA, 550,  GVWY, 450
 AA, 552,  GVWY, 448
 AA, 633,  GVWY, 367
 AA, 677,  GVWY, 323
 AA, 637,  GVWY, 363
 AA, 645,  GVWY, 355
 AA, 667,  GVWY, 333
 AA, 620,  GVWY, 380
 AA, 630,  GVWY, 370
 AA, 617,  GVWY, 383
 AA, 544,  GVWY, 456
 AA, 537,  GVWY, 463
 AA, 463,  GVWY, 537
 AA, 478,  GVWY, 522
 AA, 466,  GVWY, 534
 AA, 465,  GVWY, 535
 AA, 401,  GVWY, 599
 AA, 319,  GVWY, 681
 AA, 326,  GVWY, 674
 AA, 377,  ZIP, 623
 AA, 501,  ZIP, 499
 AA, 441,  ZIP, 559
 AA, 474,  ZIP, 526
 AA, 538,  ZIP, 462
 AA, 471,  ZIP, 529
 AA, 543,  ZIP, 457
 AA, 558,  ZIP, 442
 AA, 441,  ZIP, 559
 AA, 410,  ZIP, 590
 AA, 438,  ZIP, 562
 AA, 483,  ZIP, 517
 AA, 474,  ZIP, 526
 AA, 444,  ZIP, 556
 AA, 523,  ZIP, 477
 AA, 535,  ZIP, 465
 AA, 528,  ZIP, 472
 AA, 540,  ZIP, 460
 AA, 512,  ZIP, 488
 GDX, 417,  ZIC, 583
 GDX, 166,  ZIC, 834
 GDX, 207,  ZIC, 793
 GDX, 208,  ZIC, 792
 GDX, 184,  ZIC, 816
 GDX, 210,  ZIC, 790
 GDX, 191,  ZIC, 809
 GDX, 243,  ZIC, 757
 GDX, 240,  ZIC, 760
 GDX, 344,  ZIC, 656
 GDX, 439,  ZIC, 561
 GDX, 532,  ZIC, 468
 GDX, 661,  ZIC, 339
 GDX, 753,  ZIC, 247
 GDX, 760,  ZIC, 240
 GDX, 841,  ZIC, 159
 GDX, 831,  ZIC, 169
 GDX, 757,  ZIC, 243
 GDX, 666,  ZIC, 334
 AA, 489,  GDX, 511
 AA, 481,  GDX, 519
 AA, 375,  GDX, 625
 AA, 478,  GDX, 522
 AA, 438,  GDX, 562
 AA, 496,  GDX, 504
 AA, 417,  GDX, 583
 AA, 391,  GDX, 609
 AA, 444,  GDX, 556
 AA, 414,  GDX, 586
 AA, 326,  GDX, 674
 AA, 406,  GDX, 594
 AA, 378,  GDX, 622
 AA, 514,  GDX, 486
 AA, 526,  GDX, 474
 AA, 491,  GDX, 509
 AA, 642,  GDX, 358
 AA, 595,  GDX, 405
 AA, 396,  GDX, 604
 AA, 609,  ZIC, 391
 AA, 700,  ZIC, 300
 AA, 795,  ZIC, 205
 AA, 775,  ZIC, 225
 AA, 886,  ZIC, 114
 AA, 900,  ZIC, 100
 AA, 872,  ZIC, 128
 AA, 908,  ZIC, 92
 AA, 927,  ZIC, 73
 AA, 927,  ZIC, 73
 AA, 936,  ZIC, 64
 AA, 929,  ZIC, 71
 AA, 912,  ZIC, 88
 AA, 950,  ZIC, 50
 AA, 929,  ZIC, 71
 AA, 936,  ZIC, 64
 AA, 863,  ZIC, 137
 AA, 819,  ZIC, 181
 AA, 703,  ZIC, 297
 GDX, 288,  ZIP, 712
 GDX, 145,  ZIP, 855
 GDX, 130,  ZIP, 870
 GDX, 135,  ZIP, 865
 GDX, 109,  ZIP, 891
 GDX, 168,  ZIP, 832
 GDX, 132,  ZIP, 868
 GDX, 162,  ZIP, 838
 GDX, 174,  ZIP, 826
 GDX, 220,  ZIP, 780
 GDX, 288,  ZIP, 712
 GDX, 275,  ZIP, 725
 GDX, 339,  ZIP, 661
 GDX, 340,  ZIP, 660
 GDX, 383,  ZIP, 617
 GDX, 408,  ZIP, 592
 GDX, 436,  ZIP, 564
 GDX, 444,  ZIP, 556
 GDX, 431,  ZIP, 569
