trial0001001, AA, 4621, 20, 231.050000, ZIP, 5773, 20, 288.650000, 
trial0001002, AA, 5327, 20, 266.350000, ZIP, 5210, 20, 260.500000, 
trial0001003, AA, 4389, 20, 219.450000, ZIP, 6498, 20, 324.900000, 
trial0001004, AA, 7588, 20, 379.400000, ZIP, 3150, 20, 157.500000, 
trial0001005, AA, 6033, 20, 301.650000, ZIP, 4408, 20, 220.400000, 
trial0001006, AA, 6492, 20, 324.600000, ZIP, 4037, 20, 201.850000, 
trial0001007, AA, 4932, 20, 246.600000, ZIP, 5975, 20, 298.750000, 
trial0001008, AA, 4880, 20, 244.000000, ZIP, 5327, 20, 266.350000, 
trial0001009, AA, 4727, 20, 236.350000, ZIP, 6157, 20, 307.850000, 
trial0001010, AA, 5858, 20, 292.900000, ZIP, 4657, 20, 232.850000, 
trial0001011, AA, 6707, 20, 335.350000, ZIP, 3999, 20, 199.950000, 
trial0001012, AA, 6667, 20, 333.350000, ZIP, 4343, 20, 217.150000, 
trial0001013, AA, 4346, 20, 217.300000, ZIP, 6469, 20, 323.450000, 
trial0001014, AA, 5734, 20, 286.700000, ZIP, 4949, 20, 247.450000, 
trial0001015, AA, 5628, 20, 281.400000, ZIP, 4722, 20, 236.100000, 
trial0001016, AA, 5841, 20, 292.050000, ZIP, 5204, 20, 260.200000, 
trial0001017, AA, 5116, 20, 255.800000, ZIP, 5580, 20, 279.000000, 
trial0001018, AA, 4308, 20, 215.400000, ZIP, 6344, 20, 317.200000, 
trial0001019, AA, 5496, 20, 274.800000, ZIP, 5078, 20, 253.900000, 
trial0001020, AA, 5769, 20, 288.450000, ZIP, 4370, 20, 218.500000, 
trial0001021, AA, 5598, 20, 279.900000, ZIP, 5176, 20, 258.800000, 
trial0001022, AA, 5192, 20, 259.600000, ZIP, 5672, 20, 283.600000, 
trial0001023, AA, 4545, 20, 227.250000, ZIP, 5686, 20, 284.300000, 
trial0001024, AA, 3919, 20, 195.950000, ZIP, 6106, 20, 305.300000, 
trial0001025, AA, 5807, 20, 290.350000, ZIP, 5039, 20, 251.950000, 
trial0001026, AA, 3462, 20, 173.100000, ZIP, 7121, 20, 356.050000, 
trial0001027, AA, 6041, 20, 302.050000, ZIP, 4940, 20, 247.000000, 
trial0001028, AA, 6288, 20, 314.400000, ZIP, 4839, 20, 241.950000, 
trial0001029, AA, 5685, 20, 284.250000, ZIP, 5015, 20, 250.750000, 
trial0001030, AA, 5411, 20, 270.550000, ZIP, 5261, 20, 263.050000, 
trial0001031, AA, 5279, 20, 263.950000, ZIP, 4927, 20, 246.350000, 
trial0001032, AA, 4885, 20, 244.250000, ZIP, 5895, 20, 294.750000, 
trial0001033, AA, 6362, 20, 318.100000, ZIP, 4333, 20, 216.650000, 
trial0001034, AA, 5557, 20, 277.850000, ZIP, 5578, 20, 278.900000, 
trial0001035, AA, 4344, 20, 217.200000, ZIP, 6392, 20, 319.600000, 
trial0001036, AA, 4707, 20, 235.350000, ZIP, 5828, 20, 291.400000, 
trial0001037, AA, 3769, 20, 188.450000, ZIP, 6797, 20, 339.850000, 
trial0001038, AA, 4136, 20, 206.800000, ZIP, 6054, 20, 302.700000, 
trial0001039, AA, 4762, 20, 238.100000, ZIP, 6307, 20, 315.350000, 
trial0001040, AA, 5596, 20, 279.800000, ZIP, 5271, 20, 263.550000, 
trial0001041, AA, 3444, 20, 172.200000, ZIP, 7302, 20, 365.100000, 
trial0001042, AA, 3556, 20, 177.800000, ZIP, 7380, 20, 369.000000, 
trial0001043, AA, 7117, 20, 355.850000, ZIP, 3453, 20, 172.650000, 
trial0001044, AA, 6463, 20, 323.150000, ZIP, 4576, 20, 228.800000, 
trial0001045, AA, 5637, 20, 281.850000, ZIP, 5014, 20, 250.700000, 
trial0001046, AA, 3461, 20, 173.050000, ZIP, 7369, 20, 368.450000, 
