trial0000001, AA, 12943, 38, 340.605263, ZIC, 1087, 2, 543.500000, 
trial0000002, AA, 14025, 38, 369.078947, ZIC, 0, 2, 0.000000, 
trial0000003, AA, 12298, 38, 323.631579, ZIC, 1414, 2, 707.000000, 
trial0000004, AA, 13421, 38, 353.184211, ZIC, 307, 2, 153.500000, 
trial0000005, AA, 13836, 38, 364.105263, ZIC, 96, 2, 48.000000, 
trial0000006, AA, 13788, 38, 362.842105, ZIC, 134, 2, 67.000000, 
trial0000007, AA, 12334, 38, 324.578947, ZIC, 1493, 2, 746.500000, 
trial0000008, AA, 14366, 38, 378.052632, ZIC, 0, 2, 0.000000, 
trial0000009, AA, 13079, 38, 344.184211, ZIC, 655, 2, 327.500000, 
trial0000010, AA, 13261, 38, 348.973684, ZIC, 720, 2, 360.000000, 
trial0000011, AA, 13296, 38, 349.894737, ZIC, 327, 2, 163.500000, 
trial0000012, AA, 12535, 38, 329.868421, ZIC, 1452, 2, 726.000000, 
trial0000013, AA, 13300, 38, 350.000000, ZIC, 622, 2, 311.000000, 
trial0000014, AA, 12943, 38, 340.605263, ZIC, 763, 2, 381.500000, 
trial0000015, AA, 13751, 38, 361.868421, ZIC, 150, 2, 75.000000, 
trial0000016, AA, 14045, 38, 369.605263, ZIC, 0, 2, 0.000000, 
trial0000017, AA, 12992, 38, 341.894737, ZIC, 1091, 2, 545.500000, 
trial0000018, AA, 11495, 38, 302.500000, ZIC, 2108, 2, 1054.000000, 
trial0000019, AA, 13727, 38, 361.236842, ZIC, 12, 2, 6.000000, 
trial0000020, AA, 13188, 38, 347.052632, ZIC, 643, 2, 321.500000, 
trial0000021, AA, 13316, 38, 350.421053, ZIC, 637, 2, 318.500000, 
trial0000022, AA, 12509, 38, 329.184211, ZIC, 1416, 2, 708.000000, 
trial0000023, AA, 12891, 38, 339.236842, ZIC, 1086, 2, 543.000000, 
trial0000024, AA, 13452, 38, 354.000000, ZIC, 287, 2, 143.500000, 
trial0000025, AA, 13732, 38, 361.368421, ZIC, 18, 2, 9.000000, 
trial0000026, AA, 13789, 38, 362.868421, ZIC, 217, 2, 108.500000, 
trial0000027, AA, 12579, 38, 331.026316, ZIC, 969, 2, 484.500000, 
trial0000028, AA, 13311, 38, 350.289474, ZIC, 226, 2, 113.000000, 
trial0000029, AA, 12950, 38, 340.789474, ZIC, 863, 2, 431.500000, 
trial0000030, AA, 12759, 38, 335.763158, ZIC, 1066, 2, 533.000000, 
trial0000031, AA, 13948, 38, 367.052632, ZIC, 99, 2, 49.500000, 
trial0000032, AA, 12779, 38, 336.289474, ZIC, 1411, 2, 705.500000, 
trial0000033, AA, 12451, 38, 327.657895, ZIC, 1512, 2, 756.000000, 
trial0000034, AA, 13673, 38, 359.815789, ZIC, 705, 2, 352.500000, 
trial0000035, AA, 14147, 38, 372.289474, ZIC, 0, 2, 0.000000, 
trial0000036, AA, 14286, 38, 375.947368, ZIC, 0, 2, 0.000000, 
trial0000037, AA, 12794, 38, 336.684211, ZIC, 528, 2, 264.000000, 
trial0000038, AA, 14178, 38, 373.105263, ZIC, 31, 2, 15.500000, 
trial0000039, AA, 13289, 38, 349.710526, ZIC, 437, 2, 218.500000, 
trial0000040, AA, 13224, 38, 348.000000, ZIC, 341, 2, 170.500000, 
trial0000041, AA, 12371, 38, 325.552632, ZIC, 1191, 2, 595.500000, 
trial0000042, AA, 12665, 38, 333.289474, ZIC, 980, 2, 490.000000, 
trial0000043, AA, 13309, 38, 350.236842, ZIC, 595, 2, 297.500000, 
trial0000044, AA, 13308, 38, 350.210526, ZIC, 582, 2, 291.000000, 
trial0000045, AA, 13219, 38, 347.868421, ZIC, 650, 2, 325.000000, 
trial0000046, AA, 13721, 38, 361.078947, ZIC, 20, 2, 10.000000, 
trial0000047, AA, 13017, 38, 342.552632, ZIC, 831, 2, 415.500000, 
trial0000048, AA, 13335, 38, 350.921053, ZIC, 434, 2, 217.000000, 
trial0000049, AA, 13064, 38, 343.789474, ZIC, 1188, 2, 594.000000, 
trial0000050, AA, 13541, 38, 356.342105, ZIC, 0, 2, 0.000000, 
trial0000051, AA, 13962, 38, 367.421053, ZIC, 155, 2, 77.500000, 
trial0000052, AA, 13885, 38, 365.394737, ZIC, 47, 2, 23.500000, 
trial0000053, AA, 12313, 38, 324.026316, ZIC, 1567, 2, 783.500000, 
trial0000054, AA, 13099, 38, 344.710526, ZIC, 749, 2, 374.500000, 
trial0000055, AA, 13313, 38, 350.342105, ZIC, 953, 2, 476.500000, 
trial0000056, AA, 13258, 38, 348.894737, ZIC, 650, 2, 325.000000, 
trial0000057, AA, 13330, 38, 350.789474, ZIC, 583, 2, 291.500000, 
trial0000058, AA, 13370, 38, 351.842105, ZIC, 782, 2, 391.000000, 
trial0000059, AA, 13601, 38, 357.921053, ZIC, 264, 2, 132.000000, 
trial0000060, AA, 12443, 38, 327.447368, ZIC, 957, 2, 478.500000, 
trial0000061, AA, 13861, 38, 364.763158, ZIC, 203, 2, 101.500000, 
trial0000062, AA, 12765, 38, 335.921053, ZIC, 728, 2, 364.000000, 
trial0000063, AA, 13998, 38, 368.368421, ZIC, 11, 2, 5.500000, 
trial0000064, AA, 13387, 38, 352.289474, ZIC, 333, 2, 166.500000, 
trial0000065, AA, 12829, 38, 337.605263, ZIC, 628, 2, 314.000000, 
trial0000066, AA, 11894, 38, 313.000000, ZIC, 2081, 2, 1040.500000, 
trial0000067, AA, 13248, 38, 348.631579, ZIC, 692, 2, 346.000000, 
trial0000068, AA, 14110, 38, 371.315789, ZIC, 0, 2, 0.000000, 
trial0000069, AA, 13062, 38, 343.736842, ZIC, 1012, 2, 506.000000, 
trial0000070, AA, 12494, 38, 328.789474, ZIC, 1235, 2, 617.500000, 
trial0000071, AA, 13117, 38, 345.184211, ZIC, 706, 2, 353.000000, 
trial0000072, AA, 13271, 38, 349.236842, ZIC, 938, 2, 469.000000, 
trial0000073, AA, 13580, 38, 357.368421, ZIC, 177, 2, 88.500000, 
trial0000074, AA, 11681, 38, 307.394737, ZIC, 2523, 2, 1261.500000, 
trial0000075, AA, 13985, 38, 368.026316, ZIC, 4, 2, 2.000000, 
trial0000076, AA, 13048, 38, 343.368421, ZIC, 1144, 2, 572.000000, 
trial0000077, AA, 13256, 38, 348.842105, ZIC, 627, 2, 313.500000, 
trial0000078, AA, 13078, 38, 344.157895, ZIC, 988, 2, 494.000000, 
trial0000079, AA, 12359, 38, 325.236842, ZIC, 1520, 2, 760.000000, 
trial0000080, AA, 14146, 38, 372.263158, ZIC, 0, 2, 0.000000, 
trial0000081, AA, 13890, 38, 365.526316, ZIC, 0, 2, 0.000000, 
trial0000082, AA, 13027, 38, 342.815789, ZIC, 1263, 2, 631.500000, 
trial0000083, AA, 12851, 38, 338.184211, ZIC, 580, 2, 290.000000, 
trial0000084, AA, 12887, 38, 339.131579, ZIC, 599, 2, 299.500000, 
trial0000085, AA, 12805, 38, 336.973684, ZIC, 937, 2, 468.500000, 
trial0000086, AA, 11182, 38, 294.263158, ZIC, 2805, 2, 1402.500000, 
trial0000087, AA, 12043, 38, 316.921053, ZIC, 1782, 2, 891.000000, 
trial0000088, AA, 12662, 38, 333.210526, ZIC, 1427, 2, 713.500000, 
trial0000089, AA, 12515, 38, 329.342105, ZIC, 1326, 2, 663.000000, 
trial0000090, AA, 13295, 38, 349.868421, ZIC, 230, 2, 115.000000, 
trial0000091, AA, 13785, 38, 362.763158, ZIC, 53, 2, 26.500000, 
trial0000092, AA, 14025, 38, 369.078947, ZIC, 164, 2, 82.000000, 
trial0000093, AA, 13678, 38, 359.947368, ZIC, 69, 2, 34.500000, 
trial0000094, AA, 12712, 38, 334.526316, ZIC, 771, 2, 385.500000, 
trial0000095, AA, 13572, 38, 357.157895, ZIC, 403, 2, 201.500000, 
trial0000096, AA, 13219, 38, 347.868421, ZIC, 294, 2, 147.000000, 
trial0000097, AA, 13936, 38, 366.736842, ZIC, 0, 2, 0.000000, 
trial0000098, AA, 13150, 38, 346.052632, ZIC, 624, 2, 312.000000, 
trial0000099, AA, 13360, 38, 351.578947, ZIC, 726, 2, 363.000000, 
trial0000100, AA, 13845, 38, 364.342105, ZIC, 88, 2, 44.000000, 
trial0000101, AA, 15175, 38, 399.342105, ZIC, 5, 2, 2.500000, 
trial0000102, AA, 12372, 38, 325.578947, ZIC, 2053, 2, 1026.500000, 
trial0000103, AA, 15015, 38, 395.131579, ZIC, 203, 2, 101.500000, 
trial0000104, AA, 14515, 38, 381.973684, ZIC, 517, 2, 258.500000, 
trial0000105, AA, 13823, 38, 363.763158, ZIC, 1084, 2, 542.000000, 
trial0000106, AA, 12974, 38, 341.421053, ZIC, 1547, 2, 773.500000, 
trial0000107, AA, 14686, 38, 386.473684, ZIC, 0, 2, 0.000000, 
trial0000108, AA, 14972, 38, 394.000000, ZIC, 0, 2, 0.000000, 
trial0000109, AA, 14646, 38, 385.421053, ZIC, 14, 2, 7.000000, 
trial0000110, AA, 13901, 38, 365.815789, ZIC, 378, 2, 189.000000, 
trial0000111, AA, 14874, 38, 391.421053, ZIC, 33, 2, 16.500000, 
trial0000112, AA, 15059, 38, 396.289474, ZIC, 19, 2, 9.500000, 
trial0000113, AA, 14900, 38, 392.105263, ZIC, 11, 2, 5.500000, 
trial0000114, AA, 13533, 38, 356.131579, ZIC, 829, 2, 414.500000, 
trial0000115, AA, 14791, 38, 389.236842, ZIC, 36, 2, 18.000000, 
trial0000116, AA, 14136, 38, 372.000000, ZIC, 341, 2, 170.500000, 
trial0000117, AA, 13383, 38, 352.184211, ZIC, 1321, 2, 660.500000, 
trial0000118, AA, 14349, 38, 377.605263, ZIC, 8, 2, 4.000000, 
trial0000119, AA, 13713, 38, 360.868421, ZIC, 913, 2, 456.500000, 
trial0000120, AA, 14416, 38, 379.368421, ZIC, 60, 2, 30.000000, 
trial0000121, AA, 14072, 38, 370.315789, ZIC, 887, 2, 443.500000, 
trial0000122, AA, 14691, 38, 386.605263, ZIC, 211, 2, 105.500000, 
trial0000123, AA, 13033, 38, 342.973684, ZIC, 1805, 2, 902.500000, 
trial0000124, AA, 12393, 38, 326.131579, ZIC, 2162, 2, 1081.000000, 
trial0000125, AA, 14863, 38, 391.131579, ZIC, 0, 2, 0.000000, 
trial0000126, AA, 13846, 38, 364.368421, ZIC, 282, 2, 141.000000, 
trial0000127, AA, 14172, 38, 372.947368, ZIC, 490, 2, 245.000000, 
trial0000128, AA, 13144, 38, 345.894737, ZIC, 1526, 2, 763.000000, 
trial0000129, AA, 14912, 38, 392.421053, ZIC, 150, 2, 75.000000, 
trial0000130, AA, 15050, 38, 396.052632, ZIC, 0, 2, 0.000000, 
trial0000131, AA, 14326, 38, 377.000000, ZIC, 168, 2, 84.000000, 
trial0000132, AA, 13483, 38, 354.815789, ZIC, 1336, 2, 668.000000, 
trial0000133, AA, 14394, 38, 378.789474, ZIC, 64, 2, 32.000000, 
trial0000134, AA, 13831, 38, 363.973684, ZIC, 668, 2, 334.000000, 
trial0000135, AA, 13302, 38, 350.052632, ZIC, 978, 2, 489.000000, 
trial0000136, AA, 15167, 38, 399.131579, ZIC, 15, 2, 7.500000, 
trial0000137, AA, 14090, 38, 370.789474, ZIC, 912, 2, 456.000000, 
trial0000138, AA, 14919, 38, 392.605263, ZIC, 0, 2, 0.000000, 
trial0000139, AA, 13237, 38, 348.342105, ZIC, 1450, 2, 725.000000, 
trial0000140, AA, 13930, 38, 366.578947, ZIC, 663, 2, 331.500000, 
trial0000141, AA, 12802, 38, 336.894737, ZIC, 1493, 2, 746.500000, 
trial0000142, AA, 13488, 38, 354.947368, ZIC, 1124, 2, 562.000000, 
trial0000143, AA, 14284, 38, 375.894737, ZIC, 303, 2, 151.500000, 
