trial0001001, GDX, 4339, 20, 216.950000, ZIC, 1466, 20, 73.300000, 
trial0001002, GDX, 2483, 20, 124.150000, ZIC, 2893, 20, 144.650000, 
trial0001003, GDX, 3268, 20, 163.400000, ZIC, 2200, 20, 110.000000, 
trial0001004, GDX, 3515, 20, 175.750000, ZIC, 2255, 20, 112.750000, 
trial0001005, GDX, 3673, 20, 183.650000, ZIC, 2466, 20, 123.300000, 
trial0001006, GDX, 4576, 20, 228.800000, ZIC, 1366, 20, 68.300000, 
trial0001007, GDX, 3141, 20, 157.050000, ZIC, 2644, 20, 132.200000, 
trial0001008, GDX, 2466, 20, 123.300000, ZIC, 2472, 20, 123.600000, 
trial0001009, GDX, 2499, 20, 124.950000, ZIC, 2567, 20, 128.350000, 
trial0001010, GDX, 2525, 20, 126.250000, ZIC, 3236, 20, 161.800000, 
trial0001011, GDX, 2745, 20, 137.250000, ZIC, 2749, 20, 137.450000, 
trial0001012, GDX, 2389, 20, 119.450000, ZIC, 2508, 20, 125.400000, 
trial0001013, GDX, 3709, 20, 185.450000, ZIC, 2447, 20, 122.350000, 
trial0001014, GDX, 3691, 20, 184.550000, ZIC, 1759, 20, 87.950000, 
trial0001015, GDX, 2538, 20, 126.900000, ZIC, 1699, 20, 84.950000, 
trial0001016, GDX, 2817, 20, 140.850000, ZIC, 2285, 20, 114.250000, 
trial0001017, GDX, 2792, 20, 139.600000, ZIC, 2572, 20, 128.600000, 
trial0001018, GDX, 2684, 20, 134.200000, ZIC, 3175, 20, 158.750000, 
trial0001019, GDX, 2438, 20, 121.900000, ZIC, 2653, 20, 132.650000, 
trial0001020, GDX, 3820, 20, 191.000000, ZIC, 2652, 20, 132.600000, 
trial0001021, GDX, 2578, 20, 128.900000, ZIC, 2646, 20, 132.300000, 
trial0001022, GDX, 1883, 20, 94.150000, ZIC, 3697, 20, 184.850000, 
trial0001023, GDX, 2748, 20, 137.400000, ZIC, 2523, 20, 126.150000, 
trial0001024, GDX, 3249, 20, 162.450000, ZIC, 2256, 20, 112.800000, 
trial0001025, GDX, 2752, 20, 137.600000, ZIC, 2233, 20, 111.650000, 
trial0001026, GDX, 4248, 20, 212.400000, ZIC, 2125, 20, 106.250000, 
trial0001027, GDX, 3712, 20, 185.600000, ZIC, 2837, 20, 141.850000, 
trial0001028, GDX, 2890, 20, 144.500000, ZIC, 2472, 20, 123.600000, 
trial0001029, GDX, 2958, 20, 147.900000, ZIC, 2310, 20, 115.500000, 
trial0001030, GDX, 2602, 20, 130.100000, ZIC, 2280, 20, 114.000000, 
trial0001031, GDX, 3260, 20, 163.000000, ZIC, 2562, 20, 128.100000, 
trial0001032, GDX, 3529, 20, 176.450000, ZIC, 2487, 20, 124.350000, 
trial0001033, GDX, 2203, 20, 110.150000, ZIC, 3134, 20, 156.700000, 
trial0001034, GDX, 2902, 20, 145.100000, ZIC, 2402, 20, 120.100000, 
trial0001035, GDX, 2167, 20, 108.350000, ZIC, 2696, 20, 134.800000, 
trial0001036, GDX, 2733, 20, 136.650000, ZIC, 2423, 20, 121.150000, 
trial0001037, GDX, 2258, 20, 112.900000, ZIC, 3052, 20, 152.600000, 
trial0001038, GDX, 3243, 20, 162.150000, ZIC, 2355, 20, 117.750000, 
trial0001039, GDX, 2182, 20, 109.100000, ZIC, 3432, 20, 171.600000, 
trial0001040, GDX, 3664, 20, 183.200000, ZIC, 2021, 20, 101.050000, 
trial0001041, GDX, 3123, 20, 156.150000, ZIC, 2853, 20, 142.650000, 
trial0001042, GDX, 2159, 20, 107.950000, ZIC, 2477, 20, 123.850000, 
trial0001043, GDX, 2750, 20, 137.500000, ZIC, 2728, 20, 136.400000, 
trial0001044, GDX, 3330, 20, 166.500000, ZIC, 2927, 20, 146.350000, 
trial0001045, GDX, 3050, 20, 152.500000, ZIC, 3021, 20, 151.050000, 
trial0001046, GDX, 3512, 20, 175.600000, ZIC, 2254, 20, 112.700000, 
trial0001047, GDX, 3796, 20, 189.800000, ZIC, 1922, 20, 96.100000, 
trial0001048, GDX, 3502, 20, 175.100000, ZIC, 1570, 20, 78.500000, 
trial0001049, GDX, 1906, 20, 95.300000, ZIC, 3126, 20, 156.300000, 
trial0001050, GDX, 2411, 20, 120.550000, ZIC, 3003, 20, 150.150000, 
trial0001051, GDX, 2783, 20, 139.150000, ZIC, 2749, 20, 137.450000, 
trial0001052, GDX, 2300, 20, 115.000000, ZIC, 2695, 20, 134.750000, 
trial0001053, GDX, 2286, 20, 114.300000, ZIC, 3137, 20, 156.850000, 
trial0001054, GDX, 2413, 20, 120.650000, ZIC, 3608, 20, 180.400000, 
trial0001055, GDX, 2487, 20, 124.350000, ZIC, 2989, 20, 149.450000, 
trial0001056, GDX, 2050, 20, 102.500000, ZIC, 2759, 20, 137.950000, 
trial0001057, GDX, 2637, 20, 131.850000, ZIC, 2660, 20, 133.000000, 
trial0001058, GDX, 2728, 20, 136.400000, ZIC, 2195, 20, 109.750000, 
trial0001059, GDX, 3076, 20, 153.800000, ZIC, 2315, 20, 115.750000, 
trial0001060, GDX, 2781, 20, 139.050000, ZIC, 3064, 20, 153.200000, 
trial0001061, GDX, 1901, 20, 95.050000, ZIC, 3288, 20, 164.400000, 
trial0001062, GDX, 2085, 20, 104.250000, ZIC, 4079, 20, 203.950000, 
trial0001063, GDX, 3200, 20, 160.000000, ZIC, 2133, 20, 106.650000, 
trial0001064, GDX, 2088, 20, 104.400000, ZIC, 3266, 20, 163.300000, 
trial0001065, GDX, 3606, 20, 180.300000, ZIC, 2255, 20, 112.750000, 
trial0001066, GDX, 3161, 20, 158.050000, ZIC, 2045, 20, 102.250000, 
trial0001067, GDX, 2193, 20, 109.650000, ZIC, 2656, 20, 132.800000, 
trial0001068, GDX, 2683, 20, 134.150000, ZIC, 1546, 20, 77.300000, 
trial0001069, GDX, 2434, 20, 121.700000, ZIC, 3268, 20, 163.400000, 
trial0001070, GDX, 2684, 20, 134.200000, ZIC, 2881, 20, 144.050000, 
trial0001071, GDX, 2725, 20, 136.250000, ZIC, 3360, 20, 168.000000, 
trial0001072, GDX, 4079, 20, 203.950000, ZIC, 1784, 20, 89.200000, 
trial0001073, GDX, 2243, 20, 112.150000, ZIC, 3756, 20, 187.800000, 
trial0001074, GDX, 2556, 20, 127.800000, ZIC, 2799, 20, 139.950000, 
trial0001075, GDX, 3390, 20, 169.500000, ZIC, 2639, 20, 131.950000, 
trial0001076, GDX, 3893, 20, 194.650000, ZIC, 1998, 20, 99.900000, 
trial0001077, GDX, 2424, 20, 121.200000, ZIC, 3355, 20, 167.750000, 
trial0001078, GDX, 3250, 20, 162.500000, ZIC, 2036, 20, 101.800000, 
trial0001079, GDX, 3880, 20, 194.000000, ZIC, 1381, 20, 69.050000, 
trial0001080, GDX, 2470, 20, 123.500000, ZIC, 2690, 20, 134.500000, 
trial0001081, GDX, 2913, 20, 145.650000, ZIC, 3056, 20, 152.800000, 
trial0001082, GDX, 3018, 20, 150.900000, ZIC, 1636, 20, 81.800000, 
trial0001083, GDX, 2128, 20, 106.400000, ZIC, 1473, 20, 73.650000, 
trial0001084, GDX, 2865, 20, 143.250000, ZIC, 2696, 20, 134.800000, 
trial0001085, GDX, 2479, 20, 123.950000, ZIC, 2569, 20, 128.450000, 
trial0001086, GDX, 2246, 20, 112.300000, ZIC, 2969, 20, 148.450000, 
trial0001087, GDX, 3581, 20, 179.050000, ZIC, 2908, 20, 145.400000, 
trial0001088, GDX, 2735, 20, 136.750000, ZIC, 3572, 20, 178.600000, 
trial0001089, GDX, 2683, 20, 134.150000, ZIC, 3043, 20, 152.150000, 
trial0001090, GDX, 3672, 20, 183.600000, ZIC, 2780, 20, 139.000000, 
trial0001091, GDX, 3554, 20, 177.700000, ZIC, 2452, 20, 122.600000, 
trial0001092, GDX, 2582, 20, 129.100000, ZIC, 2840, 20, 142.000000, 
trial0001093, GDX, 2428, 20, 121.400000, ZIC, 2655, 20, 132.750000, 
trial0001094, GDX, 4038, 20, 201.900000, ZIC, 2049, 20, 102.450000, 
trial0001095, GDX, 3084, 20, 154.200000, ZIC, 2531, 20, 126.550000, 
trial0001096, GDX, 3052, 20, 152.600000, ZIC, 2726, 20, 136.300000, 
trial0001097, GDX, 2941, 20, 147.050000, ZIC, 1689, 20, 84.450000, 
trial0001098, GDX, 2900, 20, 145.000000, ZIC, 3749, 20, 187.450000, 
