trial0013501, 000600, AA, 89, 2, 44.500000, GDX, 399, 14, 28.500000, ZIC, 539, 16, 33.687500, N, 171, 
trial0013502, 000600, AA, 47, 2, 23.500000, GDX, 428, 14, 30.571429, ZIC, 745, 16, 46.562500, 149, 165, 
trial0013503, 000600, AA, 84, 2, 42.000000, GDX, 223, 14, 15.928571, ZIC, 545, 16, 34.062500, 163, 201, 
trial0013504, 000600, AA, 288, 2, 144.000000, GDX, 691, 14, 49.357143, ZIC, 501, 16, 31.312500, 130, 134, 
trial0013505, 000600, AA, 50, 2, 25.000000, GDX, 412, 14, 29.428571, ZIC, 442, 16, 27.625000, 135, 162, 
trial0013506, 000600, AA, 203, 2, 101.500000, GDX, 942, 14, 67.285714, ZIC, 602, 16, 37.625000, 140, 151, 
trial0013507, 000600, AA, 176, 2, 88.000000, GDX, 145, 14, 10.357143, ZIC, 552, 16, 34.500000, 142, 158, 
trial0013508, 000600, AA, 39, 2, 19.500000, GDX, 459, 14, 32.785714, ZIC, 136, 16, 8.500000, 148, 171, 
trial0013509, 000600, AA, 139, 2, 69.500000, GDX, 324, 14, 23.142857, ZIC, 601, 16, 37.562500, 136, 140, 
trial0013510, 000600, AA, 4, 2, 2.000000, GDX, 319, 14, 22.785714, ZIC, 659, 16, 41.187500, 124, 145, 
trial0013511, 000600, AA, 122, 2, 61.000000, GDX, 537, 14, 38.357143, ZIC, 293, 16, 18.312500, 146, 165, 
trial0013512, 000600, AA, 90, 2, 45.000000, GDX, 740, 14, 52.857143, ZIC, 365, 16, 22.812500, 148, 181, 
trial0013513, 000600, AA, 107, 2, 53.500000, GDX, 354, 14, 25.285714, ZIC, 735, 16, 45.937500, 144, 149, 
trial0013514, 000600, AA, 82, 2, 41.000000, GDX, 610, 14, 43.571429, ZIC, 389, 16, 24.312500, 147, 157, 
trial0013515, 000600, AA, 92, 2, 46.000000, GDX, 571, 14, 40.785714, ZIC, 691, 16, 43.187500, 148, 157, 
trial0013516, 000600, AA, 80, 2, 40.000000, GDX, 418, 14, 29.857143, ZIC, 257, 16, 16.062500, 132, 158, 
trial0013517, 000600, AA, 0, 2, 0.000000, GDX, 522, 14, 37.285714, ZIC, 796, 16, 49.750000, 136, 149, 
trial0013518, 000600, AA, 398, 2, 199.000000, GDX, 388, 14, 27.714286, ZIC, 240, 16, 15.000000, 158, 170, 
trial0013519, 000600, AA, 278, 2, 139.000000, GDX, 268, 14, 19.142857, ZIC, 530, 16, 33.125000, 133, 138, 
trial0013520, 000600, AA, 39, 2, 19.500000, GDX, 701, 14, 50.071429, ZIC, 341, 16, 21.312500, 146, 164, 
trial0013521, 000600, AA, 249, 2, 124.500000, GDX, 543, 14, 38.785714, ZIC, 663, 16, 41.437500, 64, 78, 
trial0013522, 000600, AA, 119, 2, 59.500000, GDX, 1345, 14, 96.071429, ZIC, 211, 16, 13.187500, 62, 73, 
trial0013523, 000600, AA, 301, 2, 150.500000, GDX, 823, 14, 58.785714, ZIC, 447, 16, 27.937500, 92, 99, 
trial0013524, 000600, AA, 14, 2, 7.000000, GDX, 645, 14, 46.071429, ZIC, 763, 16, 47.687500, 80, 89, 
trial0013525, 000600, AA, 266, 2, 133.000000, GDX, 616, 14, 44.000000, ZIC, 945, 16, 59.062500, 73, 83, 
trial0013526, 000600, AA, 306, 2, 153.000000, GDX, 330, 14, 23.571429, ZIC, 594, 16, 37.125000, 65, 69, 
trial0013527, 000600, AA, 447, 2, 223.500000, GDX, 823, 14, 58.785714, ZIC, 512, 16, 32.000000, 72, 91, 
trial0013528, 000600, AA, 308, 2, 154.000000, GDX, 385, 14, 27.500000, ZIC, 486, 16, 30.375000, 70, 71, 
trial0013529, 000600, AA, 11, 2, 5.500000, GDX, 542, 14, 38.714286, ZIC, 552, 16, 34.500000, 100, 124, 
trial0013530, 000600, AA, 0, 2, 0.000000, GDX, 398, 14, 28.428571, ZIC, 745, 16, 46.562500, 68, 86, 
trial0013531, 000600, AA, 148, 2, 74.000000, GDX, 709, 14, 50.642857, ZIC, 384, 16, 24.000000, 76, 86, 
trial0013532, 000600, AA, 420, 2, 210.000000, GDX, 661, 14, 47.214286, ZIC, 536, 16, 33.500000, 93, 102, 
trial0013533, 000600, AA, 254, 2, 127.000000, GDX, 341, 14, 24.357143, ZIC, 649, 16, 40.562500, 86, 98, 
trial0013534, 000600, AA, 0, 2, 0.000000, GDX, 225, 14, 16.071429, ZIC, 1063, 16, 66.437500, 75, 107, 
trial0013535, 000600, AA, 24, 2, 12.000000, GDX, 597, 14, 42.642857, ZIC, 735, 16, 45.937500, 76, 97, 
trial0013536, 000600, AA, 276, 2, 138.000000, GDX, 368, 14, 26.285714, ZIC, 555, 16, 34.687500, 56, 73, 
trial0013537, 000600, AA, 63, 2, 31.500000, GDX, 484, 14, 34.571429, ZIC, 759, 16, 47.437500, 84, 94, 
trial0013538, 000600, AA, 148, 2, 74.000000, GDX, 353, 14, 25.214286, ZIC, 632, 16, 39.500000, 92, 115, 
trial0013539, 000600, AA, 45, 2, 22.500000, GDX, 486, 14, 34.714286, ZIC, 853, 16, 53.312500, 83, 88, 
trial0013540, 000600, AA, 225, 2, 112.500000, GDX, 608, 14, 43.428571, ZIC, 628, 16, 39.250000, 63, 86, 
trial0013541, 000600, AA, 0, 2, 0.000000, GDX, 122, 14, 8.714286, ZIC, 316, 16, 19.750000, 134, 161, 
trial0013542, 000600, AA, 0, 2, 0.000000, GDX, 149, 14, 10.642857, ZIC, 391, 16, 24.437500, 151, 154, 
trial0013543, 000600, AA, 144, 2, 72.000000, GDX, 308, 14, 22.000000, ZIC, 456, 16, 28.500000, 146, 150, 
trial0013544, 000600, AA, 88, 2, 44.000000, GDX, 422, 14, 30.142857, ZIC, 327, 16, 20.437500, 147, 172, 
trial0013545, 000600, AA, 59, 2, 29.500000, GDX, 213, 14, 15.214286, ZIC, 96, 16, 6.000000, 146, 155, 
trial0013546, 000600, AA, 36, 2, 18.000000, GDX, 307, 14, 21.928571, ZIC, 226, 16, 14.125000, 171, 175, 
trial0013547, 000600, AA, 21, 2, 10.500000, GDX, 166, 14, 11.857143, ZIC, 229, 16, 14.312500, 140, 164, 
trial0013548, 000600, AA, 10, 2, 5.000000, GDX, 367, 14, 26.214286, ZIC, 470, 16, 29.375000, 157, 178, 
trial0013549, 000600, AA, 10, 2, 5.000000, GDX, 281, 14, 20.071429, ZIC, 164, 16, 10.250000, 134, 143, 
trial0013550, 000600, AA, 0, 2, 0.000000, GDX, 507, 14, 36.214286, ZIC, 159, 16, 9.937500, 154, 173, 
trial0013551, 000600, AA, 107, 2, 53.500000, GDX, 516, 14, 36.857143, ZIC, 212, 16, 13.250000, 160, 161, 
trial0013552, 000600, AA, 87, 2, 43.500000, GDX, 227, 14, 16.214286, ZIC, 246, 16, 15.375000, 143, 183, 
trial0013553, 000600, AA, 167, 2, 83.500000, GDX, 293, 14, 20.928571, ZIC, 322, 16, 20.125000, 154, 186, 
trial0013554, 000600, AA, 0, 2, 0.000000, GDX, 137, 14, 9.785714, ZIC, 338, 16, 21.125000, 158, 178, 
trial0013555, 000600, AA, 0, 2, 0.000000, GDX, 311, 14, 22.214286, ZIC, 62, 16, 3.875000, 128, 147, 
trial0013556, 000600, AA, 0, 2, 0.000000, GDX, 265, 14, 18.928571, ZIC, 100, 16, 6.250000, 145, 147, 
trial0013557, 000600, AA, 52, 2, 26.000000, GDX, 257, 14, 18.357143, ZIC, 158, 16, 9.875000, 146, 167, 
trial0013558, 000600, AA, 0, 2, 0.000000, GDX, 407, 14, 29.071429, ZIC, 44, 16, 2.750000, 146, 152, 
trial0013559, 000600, AA, 0, 2, 0.000000, GDX, 426, 14, 30.428571, ZIC, 271, 16, 16.937500, 149, 166, 
trial0013560, 000600, AA, 3, 2, 1.500000, GDX, 388, 14, 27.714286, ZIC, 285, 16, 17.812500, 161, 177, 
trial0013561, 000600, AA, 160, 2, 80.000000, GDX, 986, 14, 70.428571, ZIC, 1347, 16, 84.187500, 113, 121, 
trial0013562, 000600, AA, 375, 2, 187.500000, GDX, 1237, 14, 88.357143, ZIC, 609, 16, 38.062500, 100, 128, 
trial0013563, 000600, AA, 495, 2, 247.500000, GDX, 1074, 14, 76.714286, ZIC, 1746, 16, 109.125000, 108, 125, 
trial0013564, 000600, AA, 367, 2, 183.500000, GDX, 178, 14, 12.714286, ZIC, 1212, 16, 75.750000, 92, 119, 
trial0013565, 000600, AA, 37, 2, 18.500000, GDX, 1791, 14, 127.928571, ZIC, 1680, 16, 105.000000, 56, 127, 
trial0013566, 000600, AA, 286, 2, 143.000000, GDX, 1391, 14, 99.357143, ZIC, 1449, 16, 90.562500, 133, 155, 
trial0013567, 000600, AA, 686, 2, 343.000000, GDX, 452, 14, 32.285714, ZIC, 1376, 16, 86.000000, 94, 161, 
trial0013568, 000600, AA, 68, 2, 34.000000, GDX, 1010, 14, 72.142857, ZIC, 401, 16, 25.062500, 120, 150, 
trial0013569, 000600, AA, 0, 2, 0.000000, GDX, 1326, 14, 94.714286, ZIC, 556, 16, 34.750000, 115, 140, 
trial0013570, 000600, AA, 419, 2, 209.500000, GDX, 714, 14, 51.000000, ZIC, 1760, 16, 110.000000, 111, 144, 
trial0013571, 000600, AA, 326, 2, 163.000000, GDX, 950, 14, 67.857143, ZIC, 563, 16, 35.187500, 121, 126, 
trial0013572, 000600, AA, 342, 2, 171.000000, GDX, 1172, 14, 83.714286, ZIC, 1336, 16, 83.500000, 109, 161, 
trial0013573, 000600, AA, 224, 2, 112.000000, GDX, 938, 14, 67.000000, ZIC, 1677, 16, 104.812500, 121, 128, 
trial0013574, 000600, AA, 0, 2, 0.000000, GDX, 1717, 14, 122.642857, ZIC, 1055, 16, 65.937500, 109, 119, 
trial0013575, 000600, AA, 0, 2, 0.000000, GDX, 1223, 14, 87.357143, ZIC, 1567, 16, 97.937500, 104, 120, 
trial0013576, 000600, AA, 307, 2, 153.500000, GDX, 1321, 14, 94.357143, ZIC, 1342, 16, 83.875000, 118, 135, 
trial0013577, 000600, AA, 122, 2, 61.000000, GDX, 925, 14, 66.071429, ZIC, 932, 16, 58.250000, 105, 108, 
trial0013578, 000600, AA, 572, 2, 286.000000, GDX, 1308, 14, 93.428571, ZIC, 880, 16, 55.000000, 104, 128, 
trial0013579, 000600, AA, 475, 2, 237.500000, GDX, 1377, 14, 98.357143, ZIC, 1019, 16, 63.687500, 117, 129, 
trial0013580, 000600, AA, 292, 2, 146.000000, GDX, 746, 14, 53.285714, ZIC, 1477, 16, 92.312500, 113, 115, 
trial0013581, 000600, AA, 330, 2, 165.000000, GDX, 534, 14, 38.142857, ZIC, 665, 16, 41.562500, 128, 144, 
trial0013582, 000600, AA, 64, 2, 32.000000, GDX, 406, 14, 29.000000, ZIC, 783, 16, 48.937500, 134, 177, 
trial0013583, 000600, AA, 0, 2, 0.000000, GDX, 165, 14, 11.785714, ZIC, 532, 16, 33.250000, 124, 147, 
trial0013584, 000600, AA, 285, 2, 142.500000, GDX, 359, 14, 25.642857, ZIC, 371, 16, 23.187500, 150, 152, 
trial0013585, 000600, AA, 46, 2, 23.000000, GDX, 312, 14, 22.285714, ZIC, 549, 16, 34.312500, 152, 165, 
trial0013586, 000600, AA, 79, 2, 39.500000, GDX, 345, 14, 24.642857, ZIC, 221, 16, 13.812500, 138, 153, 
trial0013587, 000600, AA, 18, 2, 9.000000, GDX, 297, 14, 21.214286, ZIC, 444, 16, 27.750000, 155, 178, 
trial0013588, 000600, AA, 0, 2, 0.000000, GDX, 706, 14, 50.428571, ZIC, 470, 16, 29.375000, 168, 180, 
trial0013589, 000600, AA, 5, 2, 2.500000, GDX, 692, 14, 49.428571, ZIC, 412, 16, 25.750000, 148, 151, 
trial0013590, 000600, AA, 214, 2, 107.000000, GDX, 130, 14, 9.285714, ZIC, 558, 16, 34.875000, 138, 141, 
trial0013591, 000600, AA, 43, 2, 21.500000, GDX, 331, 14, 23.642857, ZIC, 651, 16, 40.687500, 146, 150, 
trial0013592, 000600, AA, 249, 2, 124.500000, GDX, 257, 14, 18.357143, ZIC, 396, 16, 24.750000, 151, 182, 
trial0013593, 000600, AA, 47, 2, 23.500000, GDX, 434, 14, 31.000000, ZIC, 640, 16, 40.000000, 143, 159, 
trial0013594, 000600, AA, 283, 2, 141.500000, GDX, 1140, 14, 81.428571, ZIC, 291, 16, 18.187500, 150, 153, 
trial0013595, 000600, AA, 55, 2, 27.500000, GDX, 750, 14, 53.571429, ZIC, 337, 16, 21.062500, 154, 161, 
trial0013596, 000600, AA, 169, 2, 84.500000, GDX, 575, 14, 41.071429, ZIC, 263, 16, 16.437500, 142, 151, 
trial0013597, 000600, AA, 259, 2, 129.500000, GDX, 897, 14, 64.071429, ZIC, 257, 16, 16.062500, 146, 153, 
trial0013598, 000600, AA, 70, 2, 35.000000, GDX, 194, 14, 13.857143, ZIC, 460, 16, 28.750000, 171, 174, 
trial0013599, 000600, AA, 10, 2, 5.000000, GDX, 526, 14, 37.571429, ZIC, 333, 16, 20.812500, 142, 145, 
trial0013600, 000600, AA, 86, 2, 43.000000, GDX, 320, 14, 22.857143, ZIC, 502, 16, 31.375000, 126, 153, 
trial0013601, 000600, AA, 413, 2, 206.500000, GDX, 1025, 14, 73.214286, ZIC, 723, 16, 45.187500, 126, 141, 
trial0013602, 000600, AA, 43, 2, 21.500000, GDX, 469, 14, 33.500000, ZIC, 890, 16, 55.625000, 108, 118, 
trial0013603, 000600, AA, 213, 2, 106.500000, GDX, 365, 14, 26.071429, ZIC, 335, 16, 20.937500, 112, 139, 
trial0013604, 000600, AA, 334, 2, 167.000000, GDX, 1196, 14, 85.428571, ZIC, 549, 16, 34.312500, 94, 108, 
trial0013605, 000600, AA, 20, 2, 10.000000, GDX, 209, 14, 14.928571, ZIC, 667, 16, 41.687500, 109, 125, 
trial0013606, 000600, AA, 292, 2, 146.000000, GDX, 734, 14, 52.428571, ZIC, 663, 16, 41.437500, 104, 112, 
trial0013607, 000600, AA, 0, 2, 0.000000, GDX, 392, 14, 28.000000, ZIC, 611, 16, 38.187500, 100, 105, 
trial0013608, 000600, AA, 109, 2, 54.500000, GDX, 821, 14, 58.642857, ZIC, 626, 16, 39.125000, 98, 100, 
trial0013609, 000600, AA, 88, 2, 44.000000, GDX, 659, 14, 47.071429, ZIC, 863, 16, 53.937500, 74, 91, 
trial0013610, 000600, AA, 31, 2, 15.500000, GDX, 357, 14, 25.500000, ZIC, 866, 16, 54.125000, 106, 134, 
trial0013611, 000600, AA, 517, 2, 258.500000, GDX, 893, 14, 63.785714, ZIC, 838, 16, 52.375000, 90, 102, 
trial0013612, 000600, AA, 0, 2, 0.000000, GDX, 940, 14, 67.142857, ZIC, 764, 16, 47.750000, 94, 107, 
trial0013613, 000600, AA, 317, 2, 158.500000, GDX, 185, 14, 13.214286, ZIC, 1127, 16, 70.437500, 110, 150, 
trial0013614, 000600, AA, 253, 2, 126.500000, GDX, 522, 14, 37.285714, ZIC, 862, 16, 53.875000, 90, 103, 
trial0013615, 000600, AA, 0, 2, 0.000000, GDX, 883, 14, 63.071429, ZIC, 909, 16, 56.812500, 123, 126, 
trial0013616, 000600, AA, 107, 2, 53.500000, GDX, 412, 14, 29.428571, ZIC, 587, 16, 36.687500, 114, 119, 
trial0013617, 000600, AA, 0, 2, 0.000000, GDX, 1460, 14, 104.285714, ZIC, 601, 16, 37.562500, 86, 89, 
trial0013618, 000600, AA, 12, 2, 6.000000, GDX, 820, 14, 58.571429, ZIC, 1115, 16, 69.687500, 96, 107, 
trial0013619, 000600, AA, 287, 2, 143.500000, GDX, 692, 14, 49.428571, ZIC, 650, 16, 40.625000, 110, 126, 
trial0013620, 000600, AA, 38, 2, 19.000000, GDX, 1024, 14, 73.142857, ZIC, 1165, 16, 72.812500, 93, 96, 
trial0013621, 000600, AA, 146, 2, 73.000000, GDX, 1119, 14, 79.928571, ZIC, 464, 16, 29.000000, 128, 170, 
trial0013622, 000600, AA, 464, 2, 232.000000, GDX, 547, 14, 39.071429, ZIC, 807, 16, 50.437500, 125, 137, 
trial0013623, 000600, AA, 0, 2, 0.000000, GDX, 540, 14, 38.571429, ZIC, 1469, 16, 91.812500, 114, 132, 
trial0013624, 000600, AA, 281, 2, 140.500000, GDX, 634, 14, 45.285714, ZIC, 512, 16, 32.000000, 120, 130, 
trial0013625, 000600, AA, 207, 2, 103.500000, GDX, 450, 14, 32.142857, ZIC, 610, 16, 38.125000, 112, 114, 
trial0013626, 000600, AA, 0, 2, 0.000000, GDX, 680, 14, 48.571429, ZIC, 840, 16, 52.500000, 115, 128, 
trial0013627, 000600, AA, 0, 2, 0.000000, GDX, 1251, 14, 89.357143, ZIC, 637, 16, 39.812500, 117, 134, 
trial0013628, 000600, AA, 6, 2, 3.000000, GDX, 577, 14, 41.214286, ZIC, 631, 16, 39.437500, 124, 131, 
trial0013629, 000600, AA, 158, 2, 79.000000, GDX, 663, 14, 47.357143, ZIC, 823, 16, 51.437500, 100, 117, 
trial0013630, 000600, AA, 0, 2, 0.000000, GDX, 801, 14, 57.214286, ZIC, 919, 16, 57.437500, 133, 147, 
trial0013631, 000600, AA, 17, 2, 8.500000, GDX, 809, 14, 57.785714, ZIC, 816, 16, 51.000000, 118, 119, 
trial0013632, 000600, AA, 279, 2, 139.500000, GDX, 461, 14, 32.928571, ZIC, 1089, 16, 68.062500, 110, 125, 
trial0013633, 000600, AA, 121, 2, 60.500000, GDX, 410, 14, 29.285714, ZIC, 1094, 16, 68.375000, 130, 157, 
trial0013634, 000600, AA, 2, 2, 1.000000, GDX, 679, 14, 48.500000, ZIC, 710, 16, 44.375000, 130, 135, 
trial0013635, 000600, AA, 271, 2, 135.500000, GDX, 328, 14, 23.428571, ZIC, 540, 16, 33.750000, 130, 142, 
trial0013636, 000600, AA, 0, 2, 0.000000, GDX, 548, 14, 39.142857, ZIC, 557, 16, 34.812500, 155, 156, 
