AA- Wins: 256 Total: 70807, GDX- Wins: 244 Total: 82933, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 233 Total: 158754, GDX- Wins: 267 Total: 174559, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 230 Total: 99095, GDX- Wins: 270 Total: 106569, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 229 Total: 91128, GDX- Wins: 271 Total: 93904, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 234 Total: 94210, GDX- Wins: 266 Total: 96066, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 246 Total: 122931, GDX- Wins: 254 Total: 123817, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 266 Total: 84161, GDX- Wins: 234 Total: 79854, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 275 Total: 88954, GDX- Wins: 225 Total: 86517, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 230 Total: 28164, GDX- Wins: 270 Total: 28591, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 264 Total: 24176, GDX- Wins: 236 Total: 19399, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 151 Total: 8078, GDX- Wins: 349 Total: 9370, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 194 Total: 12752, GDX- Wins: 306 Total: 13385, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 213 Total: 16420, GDX- Wins: 287 Total: 12930, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 239 Total: 13413, GDX- Wins: 261 Total: 12973, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 183 Total: 9010, GDX- Wins: 317 Total: 8860, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 237 Total: 16651, GDX- Wins: 263 Total: 15645, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
AA- Wins: 278 Total: 21469, GDX- Wins: 222 Total: 16444, ZIC- Wins: 0 Total: 0, ZIP- Wins: 0, Total: 0
