trial0000001, AA, 2833, 14, 202.357143, GDX, 1871, 14, 133.642857, ZIP, 2063, 14, 147.357143, 
trial0000002, AA, 1802, 14, 128.714286, GDX, 3039, 14, 217.071429, ZIP, 2142, 14, 153.000000, 
trial0000003, AA, 2286, 14, 163.285714, GDX, 2462, 14, 175.857143, ZIP, 1842, 14, 131.571429, 
trial0000004, AA, 2374, 14, 169.571429, GDX, 2045, 14, 146.071429, ZIP, 2196, 14, 156.857143, 
trial0000005, AA, 1256, 14, 89.714286, GDX, 2026, 14, 144.714286, ZIP, 3582, 14, 255.857143, 
trial0000006, AA, 1781, 14, 127.214286, GDX, 3159, 14, 225.642857, ZIP, 1870, 14, 133.571429, 
trial0000007, AA, 1720, 14, 122.857143, GDX, 1782, 14, 127.285714, ZIP, 3581, 14, 255.785714, 
trial0000008, AA, 3299, 14, 235.642857, GDX, 2380, 14, 170.000000, ZIP, 1158, 14, 82.714286, 
trial0000009, AA, 2657, 14, 189.785714, GDX, 1746, 14, 124.714286, ZIP, 2410, 14, 172.142857, 
trial0000010, AA, 1646, 14, 117.571429, GDX, 2292, 14, 163.714286, ZIP, 3010, 14, 215.000000, 
trial0000011, AA, 3093, 14, 220.928571, GDX, 2196, 14, 156.857143, ZIP, 1739, 14, 124.214286, 
trial0000012, AA, 2834, 14, 202.428571, GDX, 2149, 14, 153.500000, ZIP, 1981, 14, 141.500000, 
trial0000013, AA, 1953, 14, 139.500000, GDX, 2156, 14, 154.000000, ZIP, 2590, 14, 185.000000, 
trial0000014, AA, 2911, 14, 207.928571, GDX, 1689, 14, 120.642857, ZIP, 2452, 14, 175.142857, 
trial0000015, AA, 3535, 14, 252.500000, GDX, 944, 14, 67.428571, ZIP, 2467, 14, 176.214286, 
trial0000016, AA, 1821, 14, 130.071429, GDX, 1993, 14, 142.357143, ZIP, 3111, 14, 222.214286, 
trial0000017, AA, 1149, 14, 82.071429, GDX, 4196, 14, 299.714286, ZIP, 1906, 14, 136.142857, 
trial0000018, AA, 4188, 14, 299.142857, GDX, 1143, 14, 81.642857, ZIP, 1516, 14, 108.285714, 
trial0000019, AA, 1666, 14, 119.000000, GDX, 1967, 14, 140.500000, ZIP, 3121, 14, 222.928571, 
trial0000020, AA, 1489, 14, 106.357143, GDX, 1748, 14, 124.857143, ZIP, 3599, 14, 257.071429, 
trial0000021, AA, 3182, 14, 227.285714, GDX, 2200, 14, 157.142857, ZIP, 1463, 14, 104.500000, 
trial0000022, AA, 2105, 14, 150.357143, GDX, 2293, 14, 163.785714, ZIP, 2419, 14, 172.785714, 
trial0000023, AA, 2309, 14, 164.928571, GDX, 1306, 14, 93.285714, ZIP, 3220, 14, 230.000000, 
trial0000024, AA, 2728, 14, 194.857143, GDX, 1784, 14, 127.428571, ZIP, 2514, 14, 179.571429, 
trial0000025, AA, 1966, 14, 140.428571, GDX, 2296, 14, 164.000000, ZIP, 2755, 14, 196.785714, 
trial0000026, AA, 2566, 14, 183.285714, GDX, 2576, 14, 184.000000, ZIP, 1361, 14, 97.214286, 
trial0000027, AA, 2976, 14, 212.571429, GDX, 1609, 14, 114.928571, ZIP, 2325, 14, 166.071429, 
trial0000028, AA, 1568, 14, 112.000000, GDX, 2518, 14, 179.857143, ZIP, 2188, 14, 156.285714, 
trial0000029, AA, 2555, 14, 182.500000, GDX, 2256, 14, 161.142857, ZIP, 2010, 14, 143.571429, 
trial0000030, AA, 2405, 14, 171.785714, GDX, 1557, 14, 111.214286, ZIP, 2784, 14, 198.857143, 
trial0000031, AA, 1577, 14, 112.642857, GDX, 2663, 14, 190.214286, ZIP, 2851, 14, 203.642857, 
trial0000032, AA, 2815, 14, 201.071429, GDX, 1825, 14, 130.357143, ZIP, 2420, 14, 172.857143, 
trial0000033, AA, 2006, 14, 143.285714, GDX, 2625, 14, 187.500000, ZIP, 2578, 14, 184.142857, 
trial0000034, AA, 1554, 14, 111.000000, GDX, 2262, 14, 161.571429, ZIP, 3168, 14, 226.285714, 
trial0000035, AA, 2679, 14, 191.357143, GDX, 1267, 14, 90.500000, ZIP, 3104, 14, 221.714286, 
trial0000036, AA, 1707, 14, 121.928571, GDX, 2531, 14, 180.785714, ZIP, 2683, 14, 191.642857, 
trial0000037, AA, 3363, 14, 240.214286, GDX, 897, 14, 64.071429, ZIP, 2319, 14, 165.642857, 
trial0000038, AA, 2085, 14, 148.928571, GDX, 2857, 14, 204.071429, ZIP, 1367, 14, 97.642857, 
trial0000039, AA, 2943, 14, 210.214286, GDX, 2039, 14, 145.642857, ZIP, 1946, 14, 139.000000, 
trial0000040, AA, 1887, 14, 134.785714, GDX, 2542, 14, 181.571429, ZIP, 2469, 14, 176.357143, 
trial0000041, AA, 2387, 14, 170.500000, GDX, 1456, 14, 104.000000, ZIP, 2934, 14, 209.571429, 
trial0000042, AA, 1544, 14, 110.285714, GDX, 2670, 14, 190.714286, ZIP, 2811, 14, 200.785714, 
trial0000043, AA, 2393, 14, 170.928571, GDX, 1223, 14, 87.357143, ZIP, 3585, 14, 256.071429, 
trial0000044, AA, 1916, 14, 136.857143, GDX, 2893, 14, 206.642857, ZIP, 2288, 14, 163.428571, 
trial0000045, AA, 851, 14, 60.785714, GDX, 2492, 14, 178.000000, ZIP, 3209, 14, 229.214286, 
trial0000046, AA, 2529, 14, 180.642857, GDX, 1178, 14, 84.142857, ZIP, 3206, 14, 229.000000, 
trial0000047, AA, 3616, 14, 258.285714, GDX, 1307, 14, 93.357143, ZIP, 2306, 14, 164.714286, 
trial0000048, AA, 809, 14, 57.785714, GDX, 2861, 14, 204.357143, ZIP, 3141, 14, 224.357143, 
trial0000049, AA, 2308, 14, 164.857143, GDX, 2387, 14, 170.500000, ZIP, 2055, 14, 146.785714, 
trial0000050, AA, 1545, 14, 110.357143, GDX, 2709, 14, 193.500000, ZIP, 2738, 14, 195.571429, 
trial0000051, AA, 2896, 14, 206.857143, GDX, 1542, 14, 110.142857, ZIP, 2446, 14, 174.714286, 
trial0000052, AA, 2520, 14, 180.000000, GDX, 1496, 14, 106.857143, ZIP, 3238, 14, 231.285714, 
trial0000053, AA, 3168, 14, 226.285714, GDX, 1648, 14, 117.714286, ZIP, 2414, 14, 172.428571, 
trial0000054, AA, 3778, 14, 269.857143, GDX, 1125, 14, 80.357143, ZIP, 1879, 14, 134.214286, 
