trial0000001, AA, 5069, 38, 133.394737, GDX, 633, 2, 316.500000, 
trial0000002, AA, 5325, 38, 140.131579, GDX, 193, 2, 96.500000, 
trial0000003, AA, 5112, 38, 134.526316, GDX, 518, 2, 259.000000, 
trial0000004, AA, 5357, 38, 140.973684, GDX, 56, 2, 28.000000, 
trial0000005, AA, 5129, 38, 134.973684, GDX, 542, 2, 271.000000, 
trial0000006, AA, 5636, 38, 148.315789, GDX, 0, 2, 0.000000, 
trial0000007, AA, 5023, 38, 132.184211, GDX, 814, 2, 407.000000, 
trial0000008, AA, 5398, 38, 142.052632, GDX, 301, 2, 150.500000, 
trial0000009, AA, 5694, 38, 149.842105, GDX, 88, 2, 44.000000, 
trial0000010, AA, 5454, 38, 143.526316, GDX, 126, 2, 63.000000, 
trial0000011, AA, 5068, 38, 133.368421, GDX, 404, 2, 202.000000, 
trial0000012, AA, 5417, 38, 142.552632, GDX, 309, 2, 154.500000, 
trial0000013, AA, 5104, 38, 134.315789, GDX, 727, 2, 363.500000, 
trial0000014, AA, 4577, 38, 120.447368, GDX, 691, 2, 345.500000, 
trial0000015, AA, 5369, 38, 141.289474, GDX, 163, 2, 81.500000, 
trial0000016, AA, 5367, 38, 141.236842, GDX, 414, 2, 207.000000, 
trial0000017, AA, 5261, 38, 138.447368, GDX, 352, 2, 176.000000, 
trial0000018, AA, 5709, 38, 150.236842, GDX, 20, 2, 10.000000, 
trial0000019, AA, 5168, 38, 136.000000, GDX, 31, 2, 15.500000, 
trial0000020, AA, 5435, 38, 143.026316, GDX, 226, 2, 113.000000, 
trial0000021, AA, 5249, 38, 138.131579, GDX, 277, 2, 138.500000, 
trial0000022, AA, 5412, 38, 142.421053, GDX, 313, 2, 156.500000, 
trial0000023, AA, 5307, 38, 139.657895, GDX, 194, 2, 97.000000, 
trial0000024, AA, 5620, 38, 147.894737, GDX, 60, 2, 30.000000, 
trial0000025, AA, 5348, 38, 140.736842, GDX, 307, 2, 153.500000, 
trial0000026, AA, 4936, 38, 129.894737, GDX, 614, 2, 307.000000, 
trial0000027, AA, 5256, 38, 138.315789, GDX, 526, 2, 263.000000, 
trial0000028, AA, 5241, 38, 137.921053, GDX, 265, 2, 132.500000, 
trial0000029, AA, 5374, 38, 141.421053, GDX, 0, 2, 0.000000, 
trial0000030, AA, 5334, 38, 140.368421, GDX, 171, 2, 85.500000, 
trial0000031, AA, 5194, 38, 136.684211, GDX, 442, 2, 221.000000, 
trial0000032, AA, 5452, 38, 143.473684, GDX, 364, 2, 182.000000, 
trial0000033, AA, 5257, 38, 138.342105, GDX, 362, 2, 181.000000, 
trial0000034, AA, 5609, 38, 147.605263, GDX, 60, 2, 30.000000, 
trial0000035, AA, 5195, 38, 136.710526, GDX, 382, 2, 191.000000, 
trial0000036, AA, 5353, 38, 140.868421, GDX, 339, 2, 169.500000, 
trial0000037, AA, 5071, 38, 133.447368, GDX, 630, 2, 315.000000, 
trial0000038, AA, 5304, 38, 139.578947, GDX, 288, 2, 144.000000, 
trial0000039, AA, 4846, 38, 127.526316, GDX, 655, 2, 327.500000, 
trial0000040, AA, 4859, 38, 127.868421, GDX, 840, 2, 420.000000, 
trial0000041, AA, 3838, 38, 101.000000, GDX, 182, 2, 91.000000, 
trial0000042, AA, 2412, 38, 63.473684, GDX, 110, 2, 55.000000, 
trial0000043, AA, 1892, 38, 49.789474, GDX, 234, 2, 117.000000, 
trial0000044, AA, 2356, 38, 62.000000, GDX, 195, 2, 97.500000, 
trial0000045, AA, 3361, 38, 88.447368, GDX, 391, 2, 195.500000, 
trial0000046, AA, 3075, 38, 80.921053, GDX, 394, 2, 197.000000, 
trial0000047, AA, 4913, 38, 129.289474, GDX, 247, 2, 123.500000, 
trial0000048, AA, 5218, 38, 137.315789, GDX, 500, 2, 250.000000, 
trial0000049, AA, 5199, 38, 136.815789, GDX, 458, 2, 229.000000, 
trial0000050, AA, 4884, 38, 128.526316, GDX, 403, 2, 201.500000, 
trial0000051, AA, 4835, 38, 127.236842, GDX, 637, 2, 318.500000, 
trial0000052, AA, 5011, 38, 131.868421, GDX, 563, 2, 281.500000, 
trial0000053, AA, 5478, 38, 144.157895, GDX, 274, 2, 137.000000, 
trial0000054, AA, 5204, 38, 136.947368, GDX, 506, 2, 253.000000, 
trial0000055, AA, 5530, 38, 145.526316, GDX, 0, 2, 0.000000, 
trial0000056, AA, 5105, 38, 134.342105, GDX, 633, 2, 316.500000, 
trial0000057, AA, 5350, 38, 140.789474, GDX, 329, 2, 164.500000, 
