trial0002001, GDX, 774, 38, 20.368421, ZIP, 242, 2, 121.000000, 
trial0002002, GDX, 826, 38, 21.736842, ZIP, 110, 2, 55.000000, 
trial0002003, GDX, 1372, 38, 36.105263, ZIP, 284, 2, 142.000000, 
trial0002004, GDX, 545, 38, 14.342105, ZIP, 542, 2, 271.000000, 
trial0002005, GDX, 1304, 38, 34.315789, ZIP, 65, 2, 32.500000, 
trial0002006, GDX, 747, 38, 19.657895, ZIP, 134, 2, 67.000000, 
trial0002007, GDX, 873, 38, 22.973684, ZIP, 0, 2, 0.000000, 
trial0002008, GDX, 519, 38, 13.657895, ZIP, 15, 2, 7.500000, 
trial0002009, GDX, 786, 38, 20.684211, ZIP, 107, 2, 53.500000, 
trial0002010, GDX, 1075, 38, 28.289474, ZIP, 56, 2, 28.000000, 
trial0002011, GDX, 342, 38, 9.000000, ZIP, 256, 2, 128.000000, 
trial0002012, GDX, 702, 38, 18.473684, ZIP, 9, 2, 4.500000, 
trial0002013, GDX, 368, 38, 9.684211, ZIP, 506, 2, 253.000000, 
trial0002014, GDX, 614, 38, 16.157895, ZIP, 257, 2, 128.500000, 
trial0002015, GDX, 835, 38, 21.973684, ZIP, 79, 2, 39.500000, 
trial0002016, GDX, 498, 38, 13.105263, ZIP, 41, 2, 20.500000, 
trial0002017, GDX, 804, 38, 21.157895, ZIP, 64, 2, 32.000000, 
trial0002018, GDX, 1062, 38, 27.947368, ZIP, 88, 2, 44.000000, 
trial0002019, GDX, 868, 38, 22.842105, ZIP, 164, 2, 82.000000, 
trial0002020, GDX, 445, 38, 11.710526, ZIP, 245, 2, 122.500000, 
trial0002021, GDX, 712, 38, 18.736842, ZIP, 310, 2, 155.000000, 
trial0002022, GDX, 626, 38, 16.473684, ZIP, 340, 2, 170.000000, 
trial0002023, GDX, 1199, 38, 31.552632, ZIP, 438, 2, 219.000000, 
trial0002024, GDX, 1586, 38, 41.736842, ZIP, 23, 2, 11.500000, 
trial0002025, GDX, 1603, 38, 42.184211, ZIP, 0, 2, 0.000000, 
trial0002026, GDX, 980, 38, 25.789474, ZIP, 71, 2, 35.500000, 
trial0002027, GDX, 338, 38, 8.894737, ZIP, 249, 2, 124.500000, 
trial0002028, GDX, 506, 38, 13.315789, ZIP, 365, 2, 182.500000, 
trial0002029, GDX, 706, 38, 18.578947, ZIP, 199, 2, 99.500000, 
trial0002030, GDX, 630, 38, 16.578947, ZIP, 325, 2, 162.500000, 
trial0002031, GDX, 432, 38, 11.368421, ZIP, 256, 2, 128.000000, 
trial0002032, GDX, 1704, 38, 44.842105, ZIP, 177, 2, 88.500000, 
trial0002033, GDX, 1579, 38, 41.552632, ZIP, 13, 2, 6.500000, 
trial0002034, GDX, 430, 38, 11.315789, ZIP, 52, 2, 26.000000, 
trial0002035, GDX, 366, 38, 9.631579, ZIP, 328, 2, 164.000000, 
trial0002036, GDX, 998, 38, 26.263158, ZIP, 406, 2, 203.000000, 
trial0002037, GDX, 1369, 38, 36.026316, ZIP, 146, 2, 73.000000, 
trial0002038, GDX, 528, 38, 13.894737, ZIP, 212, 2, 106.000000, 
trial0002039, GDX, 910, 38, 23.947368, ZIP, 49, 2, 24.500000, 
trial0002040, GDX, 454, 38, 11.947368, ZIP, 99, 2, 49.500000, 
trial0002041, GDX, 1278, 38, 33.631579, ZIP, 34, 2, 17.000000, 
trial0002042, GDX, 729, 38, 19.184211, ZIP, 342, 2, 171.000000, 
trial0002043, GDX, 1101, 38, 28.973684, ZIP, 130, 2, 65.000000, 
trial0002044, GDX, 944, 38, 24.842105, ZIP, 0, 2, 0.000000, 
trial0002045, GDX, 972, 38, 25.578947, ZIP, 21, 2, 10.500000, 
trial0002046, GDX, 373, 38, 9.815789, ZIP, 22, 2, 11.000000, 
trial0002047, GDX, 735, 38, 19.342105, ZIP, 253, 2, 126.500000, 
trial0002048, GDX, 407, 38, 10.710526, ZIP, 233, 2, 116.500000, 
trial0002049, GDX, 1599, 38, 42.078947, ZIP, 39, 2, 19.500000, 
trial0002050, GDX, 162, 38, 4.263158, ZIP, 33, 2, 16.500000, 
trial0002051, GDX, 1358, 38, 35.736842, ZIP, 116, 2, 58.000000, 
trial0002052, GDX, 356, 38, 9.368421, ZIP, 57, 2, 28.500000, 
trial0002053, GDX, 592, 38, 15.578947, ZIP, 228, 2, 114.000000, 
trial0002054, GDX, 305, 38, 8.026316, ZIP, 658, 2, 329.000000, 
