trial0002001, AA, 3559, 14, 254.214286, ZIC, 1745, 14, 124.642857, ZIP, 5061, 14, 361.500000, 
trial0002002, AA, 2749, 14, 196.357143, ZIC, 2883, 14, 205.928571, ZIP, 4621, 14, 330.071429, 
trial0002003, AA, 4484, 14, 320.285714, ZIC, 2091, 14, 149.357143, ZIP, 3793, 14, 270.928571, 
trial0002004, AA, 2192, 14, 156.571429, ZIC, 3463, 14, 247.357143, ZIP, 4199, 14, 299.928571, 
trial0002005, AA, 3035, 14, 216.785714, ZIC, 3186, 14, 227.571429, ZIP, 3282, 14, 234.428571, 
trial0002006, AA, 2828, 14, 202.000000, ZIC, 2250, 14, 160.714286, ZIP, 4733, 14, 338.071429, 
trial0002007, AA, 3779, 14, 269.928571, ZIC, 2052, 14, 146.571429, ZIP, 3825, 14, 273.214286, 
trial0002008, AA, 4196, 14, 299.714286, ZIC, 2742, 14, 195.857143, ZIP, 3435, 14, 245.357143, 
trial0002009, AA, 3784, 14, 270.285714, ZIC, 2276, 14, 162.571429, ZIP, 3938, 14, 281.285714, 
trial0002010, AA, 4281, 14, 305.785714, ZIC, 2551, 14, 182.214286, ZIP, 3503, 14, 250.214286, 
trial0002011, AA, 2986, 14, 213.285714, ZIC, 2655, 14, 189.642857, ZIP, 4507, 14, 321.928571, 
trial0002012, AA, 2873, 14, 205.214286, ZIC, 4103, 14, 293.071429, ZIP, 3286, 14, 234.714286, 
trial0002013, AA, 3470, 14, 247.857143, ZIC, 3038, 14, 217.000000, ZIP, 3441, 14, 245.785714, 
trial0002014, AA, 3257, 14, 232.642857, ZIC, 3195, 14, 228.214286, ZIP, 3660, 14, 261.428571, 
trial0002015, AA, 4494, 14, 321.000000, ZIC, 2966, 14, 211.857143, ZIP, 2463, 14, 175.928571, 
trial0002016, AA, 4347, 14, 310.500000, ZIC, 2997, 14, 214.071429, ZIP, 3231, 14, 230.785714, 
trial0002017, AA, 2654, 14, 189.571429, ZIC, 3209, 14, 229.214286, ZIP, 3832, 14, 273.714286, 
trial0002018, AA, 3131, 14, 223.642857, ZIC, 3199, 14, 228.500000, ZIP, 3860, 14, 275.714286, 
trial0002019, AA, 2818, 14, 201.285714, ZIC, 4262, 14, 304.428571, ZIP, 2285, 14, 163.214286, 
trial0002020, AA, 3149, 14, 224.928571, ZIC, 1241, 14, 88.642857, ZIP, 6099, 14, 435.642857, 
trial0002021, AA, 2373, 14, 169.500000, ZIC, 3538, 14, 252.714286, ZIP, 3730, 14, 266.428571, 
trial0002022, AA, 2412, 14, 172.285714, ZIC, 2782, 14, 198.714286, ZIP, 4847, 14, 346.214286, 
trial0002023, AA, 4400, 14, 314.285714, ZIC, 2085, 14, 148.928571, ZIP, 3652, 14, 260.857143, 
trial0002024, AA, 3855, 14, 275.357143, ZIC, 3430, 14, 245.000000, ZIP, 2475, 14, 176.785714, 
trial0002025, AA, 3695, 14, 263.928571, ZIC, 1400, 14, 100.000000, ZIP, 5545, 14, 396.071429, 
trial0002026, AA, 3930, 14, 280.714286, ZIC, 1938, 14, 138.428571, ZIP, 3957, 14, 282.642857, 
trial0002027, AA, 3102, 14, 221.571429, ZIC, 3541, 14, 252.928571, ZIP, 2582, 14, 184.428571, 
trial0002028, AA, 2027, 14, 144.785714, ZIC, 3598, 14, 257.000000, ZIP, 3712, 14, 265.142857, 
trial0002029, AA, 2195, 14, 156.785714, ZIC, 1314, 14, 93.857143, ZIP, 6886, 14, 491.857143, 
trial0002030, AA, 2968, 14, 212.000000, ZIC, 3204, 14, 228.857143, ZIP, 4064, 14, 290.285714, 
trial0002031, AA, 4756, 14, 339.714286, ZIC, 3927, 14, 280.500000, ZIP, 1328, 14, 94.857143, 
trial0002032, AA, 3042, 14, 217.285714, ZIC, 3047, 14, 217.642857, ZIP, 3773, 14, 269.500000, 
trial0002033, AA, 3742, 14, 267.285714, ZIC, 1783, 14, 127.357143, ZIP, 4414, 14, 315.285714, 
trial0002034, AA, 4730, 14, 337.857143, ZIC, 2732, 14, 195.142857, ZIP, 2258, 14, 161.285714, 
trial0002035, AA, 3985, 14, 284.642857, ZIC, 2501, 14, 178.642857, ZIP, 3468, 14, 247.714286, 
trial0002036, AA, 4460, 14, 318.571429, ZIC, 1523, 14, 108.785714, ZIP, 3892, 14, 278.000000, 
trial0002037, AA, 3768, 14, 269.142857, ZIC, 2854, 14, 203.857143, ZIP, 3472, 14, 248.000000, 
trial0002038, AA, 2408, 14, 172.000000, ZIC, 2671, 14, 190.785714, ZIP, 5026, 14, 359.000000, 
trial0002039, AA, 2383, 14, 170.214286, ZIC, 4387, 14, 313.357143, ZIP, 2902, 14, 207.285714, 
trial0002040, AA, 3873, 14, 276.642857, ZIC, 2000, 14, 142.857143, ZIP, 4338, 14, 309.857143, 
trial0002041, AA, 4124, 14, 294.571429, ZIC, 2324, 14, 166.000000, ZIP, 4168, 14, 297.714286, 
trial0002042, AA, 3012, 14, 215.142857, ZIC, 4490, 14, 320.714286, ZIP, 2591, 14, 185.071429, 
trial0002043, AA, 3962, 14, 283.000000, ZIC, 4141, 14, 295.785714, ZIP, 2082, 14, 148.714286, 
trial0002044, AA, 3559, 14, 254.214286, ZIC, 3357, 14, 239.785714, ZIP, 3176, 14, 226.857143, 
trial0002045, AA, 2815, 14, 201.071429, ZIC, 3418, 14, 244.142857, ZIP, 3306, 14, 236.142857, 
trial0002046, AA, 2306, 14, 164.714286, ZIC, 2109, 14, 150.642857, ZIP, 5009, 14, 357.785714, 
trial0002047, AA, 3636, 14, 259.714286, ZIC, 3754, 14, 268.142857, ZIP, 2590, 14, 185.000000, 
trial0002048, AA, 3131, 14, 223.642857, ZIC, 2277, 14, 162.642857, ZIP, 4705, 14, 336.071429, 
trial0002049, AA, 3033, 14, 216.642857, ZIC, 1481, 14, 105.785714, ZIP, 5034, 14, 359.571429, 
trial0002050, AA, 5846, 14, 417.571429, ZIC, 2682, 14, 191.571429, ZIP, 2364, 14, 168.857143, 
trial0002051, AA, 4761, 14, 340.071429, ZIC, 3374, 14, 241.000000, ZIP, 1262, 14, 90.142857, 
trial0002052, AA, 2310, 14, 165.000000, ZIC, 3377, 14, 241.214286, ZIP, 4687, 14, 334.785714, 
trial0002053, AA, 4533, 14, 323.785714, ZIC, 1195, 14, 85.357143, ZIP, 4622, 14, 330.142857, 
trial0002054, AA, 4270, 14, 305.000000, ZIC, 1831, 14, 130.785714, ZIP, 3638, 14, 259.857143, 
trial0002055, AA, 3599, 14, 257.071429, ZIC, 2895, 14, 206.785714, ZIP, 3753, 14, 268.071429, 
trial0002056, AA, 5502, 14, 393.000000, ZIC, 1975, 14, 141.071429, ZIP, 2632, 14, 188.000000, 
trial0002057, AA, 3643, 14, 260.214286, ZIC, 2518, 14, 179.857143, ZIP, 3953, 14, 282.357143, 
trial0002058, AA, 5587, 14, 399.071429, ZIC, 1752, 14, 125.142857, ZIP, 2722, 14, 194.428571, 
trial0002059, AA, 3572, 14, 255.142857, ZIC, 3425, 14, 244.642857, ZIP, 2863, 14, 204.500000, 
trial0002060, AA, 4288, 14, 306.285714, ZIC, 2488, 14, 177.714286, ZIP, 3618, 14, 258.428571, 
trial0002061, AA, 2093, 14, 149.500000, ZIC, 4288, 14, 306.285714, ZIP, 4375, 14, 312.500000, 
trial0002062, AA, 5307, 14, 379.071429, ZIC, 1577, 14, 112.642857, ZIP, 3217, 14, 229.785714, 
trial0002063, AA, 2218, 14, 158.428571, ZIC, 3054, 14, 218.142857, ZIP, 3979, 14, 284.214286, 
trial0002064, AA, 1755, 14, 125.357143, ZIC, 3480, 14, 248.571429, ZIP, 4617, 14, 329.785714, 
trial0002065, AA, 3390, 14, 242.142857, ZIC, 3392, 14, 242.285714, ZIP, 3340, 14, 238.571429, 
trial0002066, AA, 3023, 14, 215.928571, ZIC, 2436, 14, 174.000000, ZIP, 4865, 14, 347.500000, 
trial0002067, AA, 3123, 14, 223.071429, ZIC, 4061, 14, 290.071429, ZIP, 2815, 14, 201.071429, 
trial0002068, AA, 803, 14, 57.357143, ZIC, 4848, 14, 346.285714, ZIP, 3800, 14, 271.428571, 
trial0002069, AA, 5048, 14, 360.571429, ZIC, 2269, 14, 162.071429, ZIP, 2412, 14, 172.285714, 
trial0002070, AA, 3838, 14, 274.142857, ZIC, 1443, 14, 103.071429, ZIP, 4628, 14, 330.571429, 
trial0002071, AA, 3316, 14, 236.857143, ZIC, 931, 14, 66.500000, ZIP, 6096, 14, 435.428571, 
trial0002072, AA, 4288, 14, 306.285714, ZIC, 2899, 14, 207.071429, ZIP, 2844, 14, 203.142857, 
trial0002073, AA, 4901, 14, 350.071429, ZIC, 2123, 14, 151.642857, ZIP, 3358, 14, 239.857143, 
trial0002074, AA, 3244, 14, 231.714286, ZIC, 2684, 14, 191.714286, ZIP, 4087, 14, 291.928571, 
trial0002075, AA, 4269, 14, 304.928571, ZIC, 3172, 14, 226.571429, ZIP, 3172, 14, 226.571429, 
trial0002076, AA, 4128, 14, 294.857143, ZIC, 2225, 14, 158.928571, ZIP, 3080, 14, 220.000000, 
trial0002077, AA, 4954, 14, 353.857143, ZIC, 2502, 14, 178.714286, ZIP, 2992, 14, 213.714286, 
trial0002078, AA, 2695, 14, 192.500000, ZIC, 1993, 14, 142.357143, ZIP, 5420, 14, 387.142857, 
trial0002079, AA, 2326, 14, 166.142857, ZIC, 2833, 14, 202.357143, ZIP, 4873, 14, 348.071429, 
trial0002080, AA, 2607, 14, 186.214286, ZIC, 3469, 14, 247.785714, ZIP, 3433, 14, 245.214286, 
trial0002081, AA, 3523, 14, 251.642857, ZIC, 2659, 14, 189.928571, ZIP, 3991, 14, 285.071429, 
trial0002082, AA, 3043, 14, 217.357143, ZIC, 2637, 14, 188.357143, ZIP, 3758, 14, 268.428571, 
