 SHVR, 580,  ZIC, 420
 SHVR, 639,  ZIC, 361
 SHVR, 711,  ZIC, 289
 SHVR, 637,  ZIC, 363
 SHVR, 744,  ZIC, 256
 SHVR, 757,  ZIC, 243
 SHVR, 705,  ZIC, 295
 SHVR, 704,  ZIC, 296
 SHVR, 653,  ZIC, 347
 SHVR, 661,  ZIC, 339
 SHVR, 774,  ZIC, 226
 SHVR, 838,  ZIC, 162
 SHVR, 841,  ZIC, 159
 SHVR, 888,  ZIC, 112
 SHVR, 881,  ZIC, 119
 SHVR, 896,  ZIC, 104
 SHVR, 885,  ZIC, 115
 SHVR, 836,  ZIC, 164
 SHVR, 657,  ZIC, 343
 SHVR, 517,  ZIP, 483
 SHVR, 452,  ZIP, 548
 SHVR, 488,  ZIP, 512
 SHVR, 414,  ZIP, 586
 SHVR, 423,  ZIP, 577
 SHVR, 426,  ZIP, 574
 SHVR, 388,  ZIP, 612
 SHVR, 405,  ZIP, 595
 SHVR, 426,  ZIP, 574
 SHVR, 416,  ZIP, 584
 SHVR, 437,  ZIP, 563
 SHVR, 481,  ZIP, 519
 SHVR, 475,  ZIP, 525
 SHVR, 519,  ZIP, 481
 SHVR, 477,  ZIP, 523
 SHVR, 496,  ZIP, 504
 SHVR, 518,  ZIP, 482
 SHVR, 517,  ZIP, 483
 SHVR, 442,  ZIP, 558
 GDX, 612,  SHVR, 388
 GDX, 583,  SHVR, 417
 GDX, 625,  SHVR, 375
 GDX, 606,  SHVR, 394
 GDX, 597,  SHVR, 403
 GDX, 834,  SHVR, 166
 GDX, 984,  SHVR, 16
 GDX, 963,  SHVR, 37
 GDX, 972,  SHVR, 28
 GDX, 962,  SHVR, 38
 GDX, 943,  SHVR, 57
 GDX, 971,  SHVR, 29
 GDX, 969,  SHVR, 31
 GDX, 928,  SHVR, 72
 GDX, 935,  SHVR, 65
 GDX, 922,  SHVR, 78
 GDX, 918,  SHVR, 82
 GDX, 885,  SHVR, 115
 GDX, 891,  SHVR, 109
 AA, 287,  SHVR, 713
 AA, 449,  SHVR, 551
 AA, 504,  SHVR, 496
 AA, 564,  SHVR, 436
 AA, 557,  SHVR, 443
 AA, 577,  SHVR, 423
 AA, 618,  SHVR, 382
 AA, 593,  SHVR, 407
 AA, 632,  SHVR, 368
 AA, 654,  SHVR, 346
 AA, 737,  SHVR, 263
 AA, 670,  SHVR, 330
 AA, 656,  SHVR, 344
 AA, 572,  SHVR, 428
 AA, 615,  SHVR, 385
 AA, 588,  SHVR, 412
 AA, 638,  SHVR, 362
 AA, 597,  SHVR, 403
 AA, 700,  SHVR, 300
 GVWY, 677,  ZIC, 323
 GVWY, 692,  ZIC, 308
 GVWY, 704,  ZIC, 296
 GVWY, 649,  ZIC, 351
 GVWY, 663,  ZIC, 337
 GVWY, 566,  ZIC, 434
 GVWY, 623,  ZIC, 377
 GVWY, 702,  ZIC, 298
 GVWY, 663,  ZIC, 337
 GVWY, 649,  ZIC, 351
 GVWY, 532,  ZIC, 468
 GVWY, 611,  ZIC, 389
 GVWY, 637,  ZIC, 363
 GVWY, 775,  ZIC, 225
 GVWY, 856,  ZIC, 144
 GVWY, 770,  ZIC, 230
 GVWY, 789,  ZIC, 211
 GVWY, 733,  ZIC, 267
 GVWY, 710,  ZIC, 290
 GVWY, 569,  ZIP, 431
 GVWY, 505,  ZIP, 495
 GVWY, 476,  ZIP, 524
 GVWY, 469,  ZIP, 531
 GVWY, 422,  ZIP, 578
 GVWY, 422,  ZIP, 578
 GVWY, 441,  ZIP, 559
 GVWY, 409,  ZIP, 591
 GVWY, 495,  ZIP, 505
 GVWY, 444,  ZIP, 556
 GVWY, 457,  ZIP, 543
 GVWY, 536,  ZIP, 464
 GVWY, 640,  ZIP, 360
 GVWY, 620,  ZIP, 380
 GVWY, 578,  ZIP, 422
 GVWY, 620,  ZIP, 380
 GVWY, 608,  ZIP, 392
 GVWY, 591,  ZIP, 409
 GVWY, 533,  ZIP, 467
 GDX, 490,  GVWY, 510
 GDX, 555,  GVWY, 445
 GDX, 481,  GVWY, 519
 GDX, 512,  GVWY, 488
 GDX, 535,  GVWY, 465
 GDX, 411,  GVWY, 589
 GDX, 326,  GVWY, 674
 GDX, 236,  GVWY, 764
 GDX, 143,  GVWY, 857
 GDX, 87,  GVWY, 913
 GDX, 94,  GVWY, 906
 GDX, 93,  GVWY, 907
 GDX, 79,  GVWY, 921
 GDX, 84,  GVWY, 916
 GDX, 82,  GVWY, 918
 GDX, 102,  GVWY, 898
 GDX, 116,  GVWY, 884
 GDX, 141,  GVWY, 859
 GDX, 230,  GVWY, 770
 AA, 519,  GVWY, 481
 AA, 589,  GVWY, 411
 AA, 620,  GVWY, 380
 AA, 633,  GVWY, 367
