 SHVR, 328,  ZIC, 172
 SHVR, 340,  ZIC, 160
 SHVR, 368,  ZIC, 132
 SHVR, 355,  ZIC, 145
 SHVR, 320,  ZIC, 180
 SHVR, 321,  ZIC, 179
 SHVR, 346,  ZIC, 154
 SHVR, 314,  ZIC, 186
 SHVR, 307,  ZIC, 193
 SHVR, 389,  ZIC, 111
 SHVR, 314,  ZIC, 186
 SHVR, 352,  ZIC, 148
 SHVR, 381,  ZIC, 119
 SHVR, 408,  ZIC, 92
 SHVR, 368,  ZIC, 132
 SHVR, 368,  ZIC, 132
 SHVR, 363,  ZIC, 137
 SHVR, 351,  ZIC, 149
 SHVR, 366,  ZIC, 134
 SHVR, 257,  ZIP, 243
 SHVR, 239,  ZIP, 261
 SHVR, 256,  ZIP, 244
 SHVR, 280,  ZIP, 220
 SHVR, 277,  ZIP, 223
 SHVR, 302,  ZIP, 198
 SHVR, 291,  ZIP, 209
 SHVR, 328,  ZIP, 172
 SHVR, 292,  ZIP, 208
 SHVR, 302,  ZIP, 198
 SHVR, 314,  ZIP, 186
 SHVR, 302,  ZIP, 198
 SHVR, 304,  ZIP, 196
 SHVR, 312,  ZIP, 188
 SHVR, 308,  ZIP, 192
 SHVR, 296,  ZIP, 204
 SHVR, 288,  ZIP, 212
 SHVR, 254,  ZIP, 246
 SHVR, 248,  ZIP, 252
 GDX, 449,  SHVR, 51
 GDX, 492,  SHVR, 8
 GDX, 492,  SHVR, 8
 GDX, 499,  SHVR, 1
 GDX, 488,  SHVR, 12
 GDX, 492,  SHVR, 8
 GDX, 487,  SHVR, 13
 GDX, 492,  SHVR, 8
 GDX, 490,  SHVR, 10
 GDX, 473,  SHVR, 27
 GDX, 436,  SHVR, 64
 GDX, 481,  SHVR, 19
 GDX, 452,  SHVR, 48
 GDX, 479,  SHVR, 21
 GDX, 475,  SHVR, 25
 GDX, 463,  SHVR, 37
 GDX, 451,  SHVR, 49
 GDX, 452,  SHVR, 48
 GDX, 395,  SHVR, 105
 AA, 278,  SHVR, 222
 AA, 295,  SHVR, 205
 AA, 274,  SHVR, 226
 AA, 339,  SHVR, 161
 AA, 326,  SHVR, 174
 AA, 360,  SHVR, 140
 AA, 326,  SHVR, 174
 AA, 361,  SHVR, 139
 AA, 381,  SHVR, 119
 AA, 369,  SHVR, 131
 AA, 378,  SHVR, 122
 AA, 387,  SHVR, 113
 AA, 390,  SHVR, 110
 AA, 402,  SHVR, 98
 AA, 378,  SHVR, 122
 AA, 345,  SHVR, 155
 AA, 366,  SHVR, 134
 AA, 350,  SHVR, 150
 AA, 343,  SHVR, 157
 GVWY, 333,  ZIC, 167
 GVWY, 266,  ZIC, 234
 GVWY, 316,  ZIC, 184
 GVWY, 300,  ZIC, 200
 GVWY, 373,  ZIC, 127
 GVWY, 373,  ZIC, 127
 GVWY, 410,  ZIC, 90
 GVWY, 296,  ZIC, 204
 GVWY, 341,  ZIC, 159
 GVWY, 320,  ZIC, 180
 GVWY, 400,  ZIC, 100
 GVWY, 372,  ZIC, 128
 GVWY, 420,  ZIC, 80
 GVWY, 429,  ZIC, 71
 GVWY, 395,  ZIC, 105
 GVWY, 425,  ZIC, 75
 GVWY, 423,  ZIC, 77
 GVWY, 361,  ZIC, 139
 GVWY, 312,  ZIC, 188
 GVWY, 258,  ZIP, 242
 GVWY, 231,  ZIP, 269
 GVWY, 234,  ZIP, 266
 GVWY, 238,  ZIP, 262
 GVWY, 245,  ZIP, 255
 GVWY, 273,  ZIP, 227
 GVWY, 252,  ZIP, 248
 GVWY, 268,  ZIP, 232
 GVWY, 328,  ZIP, 172
 GVWY, 337,  ZIP, 163
 GVWY, 330,  ZIP, 170
 GVWY, 344,  ZIP, 156
 GVWY, 347,  ZIP, 153
 GVWY, 337,  ZIP, 163
 GVWY, 356,  ZIP, 144
 GVWY, 348,  ZIP, 152
 GVWY, 334,  ZIP, 166
 GVWY, 355,  ZIP, 145
 GVWY, 320,  ZIP, 180
 GDX, 370,  GVWY, 130
 GDX, 375,  GVWY, 125
 GDX, 358,  GVWY, 142
 GDX, 357,  GVWY, 143
 GDX, 369,  GVWY, 131
 GDX, 354,  GVWY, 146
 GDX, 346,  GVWY, 154
 GDX, 371,  GVWY, 129
 GDX, 284,  GVWY, 216
 GDX, 101,  GVWY, 399
 GDX, 103,  GVWY, 397
 GDX, 94,  GVWY, 406
 GDX, 59,  GVWY, 441
 GDX, 95,  GVWY, 405
 GDX, 73,  GVWY, 427
 GDX, 70,  GVWY, 430
 GDX, 82,  GVWY, 418
 GDX, 126,  GVWY, 374
 GDX, 158,  GVWY, 342
 AA, 277,  GVWY, 223
 AA, 301,  GVWY, 199
 AA, 309,  GVWY, 191
 AA, 330,  GVWY, 170
 AA, 360,  GVWY, 140
 AA, 355,  GVWY, 145
 AA, 325,  GVWY, 175
 AA, 339,  GVWY, 161
 AA, 337,  GVWY, 163
 AA, 313,  GVWY, 187
 AA, 296,  GVWY, 204
 AA, 304,  GVWY, 196
 AA, 252,  GVWY, 248
 AA, 294,  GVWY, 206
 AA, 258,  GVWY, 242
 AA, 173,  GVWY, 327
 AA, 170,  GVWY, 330
 AA, 192,  GVWY, 308
 AA, 145,  GVWY, 355
 GVWY, 268,  SHVR, 232
 GVWY, 316,  SHVR, 184
 GVWY, 318,  SHVR, 182
 GVWY, 314,  SHVR, 186
 GVWY, 345,  SHVR, 155
 GVWY, 288,  SHVR, 212
 GVWY, 266,  SHVR, 234
 GVWY, 265,  SHVR, 235
 GVWY, 256,  SHVR, 244
 GVWY, 229,  SHVR, 271
 GVWY, 214,  SHVR, 286
 GVWY, 177,  SHVR, 323
 GVWY, 149,  SHVR, 351
 GVWY, 88,  SHVR, 412
 GVWY, 75,  SHVR, 425
 GVWY, 78,  SHVR, 422
 GVWY, 78,  SHVR, 422
 GVWY, 133,  SHVR, 367
 GVWY, 140,  SHVR, 360
 AA, 215,  ZIP, 285
 AA, 196,  ZIP, 304
 AA, 175,  ZIP, 325
 AA, 183,  ZIP, 317
 AA, 181,  ZIP, 319
 AA, 145,  ZIP, 355
 AA, 136,  ZIP, 364
 AA, 216,  ZIP, 284
 AA, 257,  ZIP, 243
 AA, 260,  ZIP, 240
 AA, 267,  ZIP, 233
 AA, 314,  ZIP, 186
 AA, 353,  ZIP, 147
 AA, 335,  ZIP, 165
 AA, 329,  ZIP, 171
 AA, 319,  ZIP, 181
 AA, 310,  ZIP, 190
 AA, 314,  ZIP, 186
 AA, 267,  ZIP, 233
 GDX, 250,  ZIC, 250
 GDX, 111,  ZIC, 389
 GDX, 161,  ZIC, 339
 GDX, 180,  ZIC, 320
 GDX, 109,  ZIC, 391
 GDX, 191,  ZIC, 309
 GDX, 151,  ZIC, 349
 GDX, 155,  ZIC, 345
 GDX, 253,  ZIC, 247
 GDX, 238,  ZIC, 262
 GDX, 291,  ZIC, 209
 GDX, 356,  ZIC, 144
 GDX, 392,  ZIC, 108
 GDX, 446,  ZIC, 54
 GDX, 410,  ZIC, 90
 GDX, 402,  ZIC, 98
 GDX, 387,  ZIC, 113
 GDX, 419,  ZIC, 81
 GDX, 400,  ZIC, 100
 AA, 249,  GDX, 251
 AA, 279,  GDX, 221
 AA, 221,  GDX, 279
 AA, 263,  GDX, 237
 AA, 286,  GDX, 214
 AA, 285,  GDX, 215
 AA, 283,  GDX, 217
 AA, 229,  GDX, 271
 AA, 273,  GDX, 227
 AA, 275,  GDX, 225
 AA, 180,  GDX, 320
 AA, 280,  GDX, 220
 AA, 312,  GDX, 188
 AA, 245,  GDX, 255
 AA, 311,  GDX, 189
 AA, 263,  GDX, 237
 AA, 188,  GDX, 312
 AA, 289,  GDX, 211
 AA, 181,  GDX, 319
 ZIC, 220,  ZIP, 280
 ZIC, 227,  ZIP, 273
 ZIC, 247,  ZIP, 253
 ZIC, 260,  ZIP, 240
 ZIC, 203,  ZIP, 297
 ZIC, 152,  ZIP, 348
 ZIC, 142,  ZIP, 358
 ZIC, 113,  ZIP, 387
 ZIC, 72,  ZIP, 428
 ZIC, 77,  ZIP, 423
 ZIC, 110,  ZIP, 390
 ZIC, 65,  ZIP, 435
 ZIC, 62,  ZIP, 438
 ZIC, 49,  ZIP, 451
 ZIC, 58,  ZIP, 442
 ZIC, 75,  ZIP, 425
 ZIC, 74,  ZIP, 426
 ZIC, 67,  ZIP, 433
 ZIC, 85,  ZIP, 415
 AA, 354,  ZIC, 146
 AA, 386,  ZIC, 114
 AA, 407,  ZIC, 93
 AA, 447,  ZIC, 53
 AA, 468,  ZIC, 32
 AA, 452,  ZIC, 48
 AA, 438,  ZIC, 62
 AA, 469,  ZIC, 31
 AA, 465,  ZIC, 35
 AA, 481,  ZIC, 19
 AA, 468,  ZIC, 32
 AA, 469,  ZIC, 31
 AA, 492,  ZIC, 8
 AA, 452,  ZIC, 48
 AA, 457,  ZIC, 43
 AA, 429,  ZIC, 71
 AA, 431,  ZIC, 69
 AA, 429,  ZIC, 71
 AA, 436,  ZIC, 64
 GDX, 129,  ZIP, 371
 GDX, 91,  ZIP, 409
 GDX, 57,  ZIP, 443
 GDX, 78,  ZIP, 422
 GDX, 117,  ZIP, 383
 GDX, 67,  ZIP, 433
 GDX, 77,  ZIP, 423
 GDX, 91,  ZIP, 409
 GDX, 137,  ZIP, 363
 GDX, 118,  ZIP, 382
 GDX, 175,  ZIP, 325
 GDX, 158,  ZIP, 342
 GDX, 157,  ZIP, 343
 GDX, 175,  ZIP, 325
 GDX, 213,  ZIP, 287
 GDX, 215,  ZIP, 285
 GDX, 211,  ZIP, 289
 GDX, 222,  ZIP, 278
 GDX, 233,  ZIP, 267
