trial0017501, 000600, AA, 32, 4, 8.000000, GDX, 756, 18, 42.000000, ZIP, 482, 10, 48.200000, N, 152, 
trial0017502, 000600, AA, 667, 4, 166.750000, GDX, 502, 18, 27.888889, ZIP, 731, 10, 73.100000, 128, 130, 
trial0017503, 000600, AA, 296, 4, 74.000000, GDX, 1128, 18, 62.666667, ZIP, 299, 10, 29.900000, 112, 118, 
trial0017504, 000600, AA, 77, 4, 19.250000, GDX, 1455, 18, 80.833333, ZIP, 693, 10, 69.300000, 126, 127, 
trial0017505, 000600, AA, 154, 4, 38.500000, GDX, 489, 18, 27.166667, ZIP, 898, 10, 89.800000, 110, 119, 
trial0017506, 000600, AA, 195, 4, 48.750000, GDX, 218, 18, 12.111111, ZIP, 1000, 10, 100.000000, 111, 113, 
trial0017507, 000600, AA, 130, 4, 32.500000, GDX, 506, 18, 28.111111, ZIP, 457, 10, 45.700000, 126, 127, 
trial0017508, 000600, AA, 233, 4, 58.250000, GDX, 696, 18, 38.666667, ZIP, 503, 10, 50.300000, 130, 140, 
trial0017509, 000600, AA, 33, 4, 8.250000, GDX, 289, 18, 16.055556, ZIP, 836, 10, 83.600000, 119, 129, 
trial0017510, 000600, AA, 102, 4, 25.500000, GDX, 805, 18, 44.722222, ZIP, 952, 10, 95.200000, 106, 140, 
trial0017511, 000600, AA, 46, 4, 11.500000, GDX, 750, 18, 41.666667, ZIP, 574, 10, 57.400000, 110, 135, 
trial0017512, 000600, AA, 316, 4, 79.000000, GDX, 1093, 18, 60.722222, ZIP, 466, 10, 46.600000, 139, 142, 
trial0017513, 000600, AA, 185, 4, 46.250000, GDX, 655, 18, 36.388889, ZIP, 733, 10, 73.300000, 123, 136, 
trial0017514, 000600, AA, 68, 4, 17.000000, GDX, 644, 18, 35.777778, ZIP, 875, 10, 87.500000, 144, 158, 
trial0017515, 000600, AA, 197, 4, 49.250000, GDX, 238, 18, 13.222222, ZIP, 808, 10, 80.800000, 126, 130, 
trial0017516, 000600, AA, 204, 4, 51.000000, GDX, 850, 18, 47.222222, ZIP, 743, 10, 74.300000, 146, 165, 
trial0017517, 000600, AA, 248, 4, 62.000000, GDX, 540, 18, 30.000000, ZIP, 829, 10, 82.900000, 119, 123, 
trial0017518, 000600, AA, 98, 4, 24.500000, GDX, 541, 18, 30.055556, ZIP, 195, 10, 19.500000, 123, 143, 
trial0017519, 000600, AA, 278, 4, 69.500000, GDX, 425, 18, 23.611111, ZIP, 548, 10, 54.800000, 0, N, 
trial0017520, 000600, AA, 226, 4, 56.500000, GDX, 384, 18, 21.333333, ZIP, 873, 10, 87.300000, 147, 158, 
trial0017521, 000600, AA, 45, 4, 11.250000, GDX, 619, 18, 34.388889, ZIP, 298, 10, 29.800000, 130, 144, 
trial0017522, 000600, AA, 334, 4, 83.500000, GDX, 847, 18, 47.055556, ZIP, 443, 10, 44.300000, 137, 165, 
trial0017523, 000600, AA, 213, 4, 53.250000, GDX, 1120, 18, 62.222222, ZIP, 272, 10, 27.200000, 145, 171, 
trial0017524, 000600, AA, 229, 4, 57.250000, GDX, 581, 18, 32.277778, ZIP, 275, 10, 27.500000, 116, 138, 
trial0017525, 000600, AA, 430, 4, 107.500000, GDX, 849, 18, 47.166667, ZIP, 256, 10, 25.600000, 121, 153, 
trial0017526, 000600, AA, 90, 4, 22.500000, GDX, 850, 18, 47.222222, ZIP, 1013, 10, 101.300000, 143, 164, 
trial0017527, 000600, AA, 209, 4, 52.250000, GDX, 611, 18, 33.944444, ZIP, 633, 10, 63.300000, 134, 135, 
trial0017528, 000600, AA, 137, 4, 34.250000, GDX, 884, 18, 49.111111, ZIP, 630, 10, 63.000000, 148, 159, 
trial0017529, 000600, AA, 318, 4, 79.500000, GDX, 677, 18, 37.611111, ZIP, 360, 10, 36.000000, 156, 161, 
trial0017530, 000600, AA, 251, 4, 62.750000, GDX, 611, 18, 33.944444, ZIP, 621, 10, 62.100000, 132, 138, 
trial0017531, 000600, AA, 193, 4, 48.250000, GDX, 336, 18, 18.666667, ZIP, 209, 10, 20.900000, 157, 164, 
trial0017532, 000600, AA, 239, 4, 59.750000, GDX, 707, 18, 39.277778, ZIP, 780, 10, 78.000000, 152, 182, 
trial0017533, 000600, AA, 181, 4, 45.250000, GDX, 361, 18, 20.055556, ZIP, 906, 10, 90.600000, 152, 166, 
trial0017534, 000600, AA, 6, 4, 1.500000, GDX, 69, 18, 3.833333, ZIP, 144, 10, 14.400000, 134, 144, 
trial0017535, 000600, AA, 145, 4, 36.250000, GDX, 719, 18, 39.944444, ZIP, 291, 10, 29.100000, 123, 131, 
trial0017536, 000600, AA, 11, 4, 2.750000, GDX, 536, 18, 29.777778, ZIP, 868, 10, 86.800000, 178, 182, 
trial0017537, 000600, AA, 336, 4, 84.000000, GDX, 1012, 18, 56.222222, ZIP, 661, 10, 66.100000, 128, 149, 
trial0017538, 000600, AA, 97, 4, 24.250000, GDX, 456, 18, 25.333333, ZIP, 430, 10, 43.000000, 130, 131, 
trial0017539, 000600, AA, 1, 4, 0.250000, GDX, 517, 18, 28.722222, ZIP, 784, 10, 78.400000, 147, 166, 
trial0017540, 000600, AA, 91, 4, 22.750000, GDX, 677, 18, 37.611111, ZIP, 566, 10, 56.600000, 131, 150, 
trial0017541, 000600, AA, 0, 4, 0.000000, GDX, 43, 18, 2.388889, ZIP, 185, 10, 18.500000, 109, 124, 
trial0017542, 000600, AA, 112, 4, 28.000000, GDX, 507, 18, 28.166667, ZIP, 274, 10, 27.400000, 110, 116, 
trial0017543, 000600, AA, 11, 4, 2.750000, GDX, 515, 18, 28.611111, ZIP, 200, 10, 20.000000, 105, 109, 
trial0017544, 000600, AA, 0, 4, 0.000000, GDX, 221, 18, 12.277778, ZIP, 225, 10, 22.500000, 123, 142, 
trial0017545, 000600, AA, 0, 4, 0.000000, GDX, 145, 18, 8.055556, ZIP, 425, 10, 42.500000, 126, 131, 
trial0017546, 000600, AA, 49, 4, 12.250000, GDX, 507, 18, 28.166667, ZIP, 357, 10, 35.700000, 108, 115, 
trial0017547, 000600, AA, 45, 4, 11.250000, GDX, 444, 18, 24.666667, ZIP, 282, 10, 28.200000, 96, 122, 
trial0017548, 000600, AA, 47, 4, 11.750000, GDX, 391, 18, 21.722222, ZIP, 187, 10, 18.700000, 86, 96, 
trial0017549, 000600, AA, 230, 4, 57.500000, GDX, 282, 18, 15.666667, ZIP, 200, 10, 20.000000, 102, 108, 
trial0017550, 000600, AA, 39, 4, 9.750000, GDX, 308, 18, 17.111111, ZIP, 348, 10, 34.800000, 99, 100, 
trial0017551, 000600, AA, 79, 4, 19.750000, GDX, 289, 18, 16.055556, ZIP, 584, 10, 58.400000, 131, 140, 
trial0017552, 000600, AA, 157, 4, 39.250000, GDX, 326, 18, 18.111111, ZIP, 717, 10, 71.700000, 102, 118, 
trial0017553, 000600, AA, 280, 4, 70.000000, GDX, 215, 18, 11.944444, ZIP, 347, 10, 34.700000, 145, 154, 
trial0017554, 000600, AA, 31, 4, 7.750000, GDX, 494, 18, 27.444444, ZIP, 293, 10, 29.300000, 100, 112, 
trial0017555, 000600, AA, 101, 4, 25.250000, GDX, 607, 18, 33.722222, ZIP, 125, 10, 12.500000, 89, 107, 
trial0017556, 000600, AA, 62, 4, 15.500000, GDX, 322, 18, 17.888889, ZIP, 160, 10, 16.000000, 120, 127, 
trial0017557, 000600, AA, 152, 4, 38.000000, GDX, 630, 18, 35.000000, ZIP, 250, 10, 25.000000, 92, 102, 
trial0017558, 000600, AA, 113, 4, 28.250000, GDX, 140, 18, 7.777778, ZIP, 94, 10, 9.400000, 120, 123, 
trial0017559, 000600, AA, 63, 4, 15.750000, GDX, 219, 18, 12.166667, ZIP, 471, 10, 47.100000, 116, 149, 
trial0017560, 000600, AA, 69, 4, 17.250000, GDX, 320, 18, 17.777778, ZIP, 77, 10, 7.700000, 106, 110, 
trial0017561, 000600, AA, 0, 4, 0.000000, GDX, 238, 18, 13.222222, ZIP, 967, 10, 96.700000, 83, 123, 
trial0017562, 000600, AA, 98, 4, 24.500000, GDX, 1240, 18, 68.888889, ZIP, 384, 10, 38.400000, 82, 129, 
trial0017563, 000600, AA, 263, 4, 65.750000, GDX, 519, 18, 28.833333, ZIP, 890, 10, 89.000000, 96, 99, 
trial0017564, 000600, AA, 359, 4, 89.750000, GDX, 687, 18, 38.166667, ZIP, 779, 10, 77.900000, 88, 117, 
trial0017565, 000600, AA, 377, 4, 94.250000, GDX, 736, 18, 40.888889, ZIP, 781, 10, 78.100000, 102, 103, 
trial0017566, 000600, AA, 350, 4, 87.500000, GDX, 700, 18, 38.888889, ZIP, 753, 10, 75.300000, 102, 107, 
trial0017567, 000600, AA, 29, 4, 7.250000, GDX, 1067, 18, 59.277778, ZIP, 875, 10, 87.500000, 78, 83, 
trial0017568, 000600, AA, 193, 4, 48.250000, GDX, 728, 18, 40.444444, ZIP, 1118, 10, 111.800000, 78, 89, 
trial0017569, 000600, AA, 255, 4, 63.750000, GDX, 753, 18, 41.833333, ZIP, 544, 10, 54.400000, 108, 117, 
trial0017570, 000600, AA, 63, 4, 15.750000, GDX, 1376, 18, 76.444444, ZIP, 712, 10, 71.200000, 79, 102, 
trial0017571, 000600, AA, 6, 4, 1.500000, GDX, 821, 18, 45.611111, ZIP, 1047, 10, 104.700000, 84, 112, 
trial0017572, 000600, AA, 210, 4, 52.500000, GDX, 582, 18, 32.333333, ZIP, 304, 10, 30.400000, 70, 87, 
trial0017573, 000600, AA, 250, 4, 62.500000, GDX, 375, 18, 20.833333, ZIP, 390, 10, 39.000000, 98, 116, 
trial0017574, 000600, AA, 124, 4, 31.000000, GDX, 751, 18, 41.722222, ZIP, 1117, 10, 111.700000, 120, 124, 
trial0017575, 000600, AA, 305, 4, 76.250000, GDX, 754, 18, 41.888889, ZIP, 541, 10, 54.100000, 84, 85, 
trial0017576, 000600, AA, 115, 4, 28.750000, GDX, 764, 18, 42.444444, ZIP, 280, 10, 28.000000, 90, 104, 
trial0017577, 000600, AA, 140, 4, 35.000000, GDX, 552, 18, 30.666667, ZIP, 681, 10, 68.100000, 115, 122, 
trial0017578, 000600, AA, 68, 4, 17.000000, GDX, 403, 18, 22.388889, ZIP, 424, 10, 42.400000, 108, 113, 
trial0017579, 000600, AA, 208, 4, 52.000000, GDX, 288, 18, 16.000000, ZIP, 531, 10, 53.100000, 69, 71, 
trial0017580, 000600, AA, 75, 4, 18.750000, GDX, 427, 18, 23.722222, ZIP, 1128, 10, 112.800000, 109, 116, 
trial0017581, 000600, AA, 336, 4, 84.000000, GDX, 792, 18, 44.000000, ZIP, 1416, 10, 141.600000, 160, 176, 
trial0017582, 000600, AA, 138, 4, 34.500000, GDX, 958, 18, 53.222222, ZIP, 744, 10, 74.400000, 166, 187, 
trial0017583, 000600, AA, 562, 4, 140.500000, GDX, 1251, 18, 69.500000, ZIP, 1273, 10, 127.300000, 124, 133, 
trial0017584, 000600, AA, 281, 4, 70.250000, GDX, 1062, 18, 59.000000, ZIP, 742, 10, 74.200000, 124, 128, 
trial0017585, 000600, AA, 239, 4, 59.750000, GDX, 1126, 18, 62.555556, ZIP, 1475, 10, 147.500000, 145, 160, 
trial0017586, 000600, AA, 695, 4, 173.750000, GDX, 1013, 18, 56.277778, ZIP, 728, 10, 72.800000, 130, 147, 
trial0017587, 000600, AA, 171, 4, 42.750000, GDX, 1279, 18, 71.055556, ZIP, 244, 10, 24.400000, 110, 112, 
