trial0002001, 000600, AA, 163, 10, 16.300000, GDX, 416, 18, 23.111111, ZIC, 205, 4, 51.250000, 0, N, 
trial0002002, 000600, AA, 229, 10, 22.900000, GDX, 1579, 18, 87.722222, ZIC, 884, 4, 221.000000, 100, 132, 
trial0002003, 000600, AA, 301, 10, 30.100000, GDX, 593, 18, 32.944444, ZIC, 535, 4, 133.750000, 107, 135, 
trial0002004, 000600, AA, 238, 10, 23.800000, GDX, 922, 18, 51.222222, ZIC, 550, 4, 137.500000, 100, 122, 
trial0002005, 000600, AA, 970, 10, 97.000000, GDX, 1529, 18, 84.944444, ZIC, 118, 4, 29.500000, 112, 116, 
trial0002006, 000600, AA, 167, 10, 16.700000, GDX, 467, 18, 25.944444, ZIC, 191, 4, 47.750000, 104, 114, 
trial0002007, 000600, AA, 235, 10, 23.500000, GDX, 861, 18, 47.833333, ZIC, 531, 4, 132.750000, 51, 154, 
trial0002008, 000600, AA, 264, 10, 26.400000, GDX, 706, 18, 39.222222, ZIC, 409, 4, 102.250000, 94, 102, 
trial0002009, 000600, AA, 663, 10, 66.300000, GDX, 1332, 18, 74.000000, ZIC, 60, 4, 15.000000, 0, N, 
trial0002010, 000600, AA, 425, 10, 42.500000, GDX, 1119, 18, 62.166667, ZIC, 243, 4, 60.750000, 126, 128, 
trial0002011, 000600, AA, 467, 10, 46.700000, GDX, 1143, 18, 63.500000, ZIC, 181, 4, 45.250000, 94, 113, 
trial0002012, 000600, AA, 79, 10, 7.900000, GDX, 457, 18, 25.388889, ZIC, 240, 4, 60.000000, 90, 128, 
trial0002013, 000600, AA, 124, 10, 12.400000, GDX, 523, 18, 29.055556, ZIC, 373, 4, 93.250000, 114, 122, 
trial0002014, 000600, AA, 160, 10, 16.000000, GDX, 434, 18, 24.111111, ZIC, 689, 4, 172.250000, 73, 114, 
trial0002015, 000600, AA, 612, 10, 61.200000, GDX, 1404, 18, 78.000000, ZIC, 349, 4, 87.250000, 114, 120, 
trial0002016, 000600, AA, 455, 10, 45.500000, GDX, 1174, 18, 65.222222, ZIC, 395, 4, 98.750000, 118, 140, 
trial0002017, 000600, AA, 189, 10, 18.900000, GDX, 621, 18, 34.500000, ZIC, 246, 4, 61.500000, 118, 125, 
trial0002018, 000600, AA, 377, 10, 37.700000, GDX, 947, 18, 52.611111, ZIC, 235, 4, 58.750000, 96, 129, 
trial0002019, 000600, AA, 804, 10, 80.400000, GDX, 637, 18, 35.388889, ZIC, 368, 4, 92.000000, 80, 96, 
trial0002020, 000600, AA, 430, 10, 43.000000, GDX, 770, 18, 42.777778, ZIC, 643, 4, 160.750000, 60, 150, 
trial0002021, 000600, AA, 1125, 10, 112.500000, GDX, 784, 18, 43.555556, ZIC, 373, 4, 93.250000, 70, 115, 
trial0002022, 000600, AA, 436, 10, 43.600000, GDX, 647, 18, 35.944444, ZIC, 261, 4, 65.250000, 64, 83, 
trial0002023, 000600, AA, 760, 10, 76.000000, GDX, 923, 18, 51.277778, ZIC, 14, 4, 3.500000, 64, 102, 
trial0002024, 000600, AA, 450, 10, 45.000000, GDX, 958, 18, 53.222222, ZIC, 562, 4, 140.500000, 46, 57, 
trial0002025, 000600, AA, 793, 10, 79.300000, GDX, 837, 18, 46.500000, ZIC, 464, 4, 116.000000, 58, 69, 
trial0002026, 000600, AA, 767, 10, 76.700000, GDX, 1034, 18, 57.444444, ZIC, 180, 4, 45.000000, 46, 78, 
trial0002027, 000600, AA, 470, 10, 47.000000, GDX, 588, 18, 32.666667, ZIC, 318, 4, 79.500000, 62, 73, 
trial0002028, 000600, AA, 1002, 10, 100.200000, GDX, 286, 18, 15.888889, ZIC, 2, 4, 0.500000, 54, 57, 
trial0002029, 000600, AA, 1005, 10, 100.500000, GDX, 560, 18, 31.111111, ZIC, 81, 4, 20.250000, 64, 74, 
trial0002030, 000600, AA, 785, 10, 78.500000, GDX, 1344, 18, 74.666667, ZIC, 347, 4, 86.750000, 70, 85, 
trial0002031, 000600, AA, 532, 10, 53.200000, GDX, 1198, 18, 66.555556, ZIC, 34, 4, 8.500000, 49, 67, 
