 SHVR, 598,  ZIC, 402
 SHVR, 607,  ZIC, 393
 SHVR, 646,  ZIC, 354
 SHVR, 596,  ZIC, 404
 SHVR, 658,  ZIC, 342
 SHVR, 815,  ZIC, 185
 SHVR, 771,  ZIC, 229
 SHVR, 684,  ZIC, 316
 SHVR, 800,  ZIC, 200
 SHVR, 794,  ZIC, 206
 SHVR, 828,  ZIC, 172
 SHVR, 935,  ZIC, 65
 SHVR, 896,  ZIC, 104
 SHVR, 931,  ZIC, 69
 SHVR, 894,  ZIC, 106
 SHVR, 907,  ZIC, 93
 SHVR, 876,  ZIC, 124
 SHVR, 823,  ZIC, 177
 SHVR, 666,  ZIC, 334
 SHVR, 572,  ZIP, 428
 SHVR, 569,  ZIP, 431
 SHVR, 592,  ZIP, 408
 SHVR, 591,  ZIP, 409
 SHVR, 611,  ZIP, 389
 SHVR, 687,  ZIP, 313
 SHVR, 695,  ZIP, 305
 SHVR, 698,  ZIP, 302
 SHVR, 794,  ZIP, 206
 SHVR, 789,  ZIP, 211
 SHVR, 807,  ZIP, 193
 SHVR, 832,  ZIP, 168
 SHVR, 840,  ZIP, 160
 SHVR, 844,  ZIP, 156
 SHVR, 841,  ZIP, 159
 SHVR, 818,  ZIP, 182
 SHVR, 808,  ZIP, 192
 SHVR, 768,  ZIP, 232
 SHVR, 618,  ZIP, 382
 GDX, 526,  SHVR, 474
 GDX, 597,  SHVR, 403
 GDX, 641,  SHVR, 359
 GDX, 637,  SHVR, 363
 GDX, 639,  SHVR, 361
 GDX, 582,  SHVR, 418
 GDX, 864,  SHVR, 136
 GDX, 928,  SHVR, 72
 GDX, 908,  SHVR, 92
 GDX, 887,  SHVR, 113
 GDX, 943,  SHVR, 57
 GDX, 934,  SHVR, 66
 GDX, 931,  SHVR, 69
 GDX, 948,  SHVR, 52
 GDX, 886,  SHVR, 114
 GDX, 861,  SHVR, 139
 GDX, 802,  SHVR, 198
 GDX, 746,  SHVR, 254
 GDX, 813,  SHVR, 187
 AA, 326,  SHVR, 674
 AA, 524,  SHVR, 476
 AA, 529,  SHVR, 471
 AA, 544,  SHVR, 456
 AA, 579,  SHVR, 421
 AA, 593,  SHVR, 407
 AA, 565,  SHVR, 435
 AA, 630,  SHVR, 370
 AA, 626,  SHVR, 374
 AA, 545,  SHVR, 455
 AA, 531,  SHVR, 469
 AA, 542,  SHVR, 458
 AA, 559,  SHVR, 441
 AA, 569,  SHVR, 431
 AA, 570,  SHVR, 430
 AA, 559,  SHVR, 441
 AA, 591,  SHVR, 409
 AA, 618,  SHVR, 382
 AA, 637,  SHVR, 363
 GVWY, 681,  ZIC, 319
 GVWY, 720,  ZIC, 280
