 GVWY, 490,  SHVR, 510
 GVWY, 509,  SHVR, 491
 GVWY, 528,  SHVR, 472
 GVWY, 536,  SHVR, 464
 GVWY, 498,  SHVR, 502
 GVWY, 480,  SHVR, 520
 GVWY, 547,  SHVR, 453
 GVWY, 521,  SHVR, 479
 GVWY, 506,  SHVR, 494
 GVWY, 520,  SHVR, 480
 GVWY, 536,  SHVR, 464
 GVWY, 511,  SHVR, 489
 GVWY, 403,  SHVR, 597
 GVWY, 344,  SHVR, 656
 GVWY, 340,  SHVR, 660
 GVWY, 230,  SHVR, 770
 GVWY, 295,  SHVR, 705
 GVWY, 280,  SHVR, 720
 GVWY, 402,  SHVR, 598
 ZIC, 243,  ZIP, 757
 ZIC, 244,  ZIP, 756
 ZIC, 165,  ZIP, 835
 ZIC, 123,  ZIP, 877
 ZIC, 74,  ZIP, 926
 ZIC, 78,  ZIP, 922
 ZIC, 42,  ZIP, 958
 ZIC, 59,  ZIP, 941
 ZIC, 67,  ZIP, 933
 ZIC, 39,  ZIP, 961
 ZIC, 46,  ZIP, 954
 ZIC, 49,  ZIP, 951
 ZIC, 52,  ZIP, 948
 ZIC, 64,  ZIP, 936
 ZIC, 93,  ZIP, 907
 ZIC, 61,  ZIP, 939
 ZIC, 81,  ZIP, 919
 ZIC, 128,  ZIP, 872
 ZIC, 267,  ZIP, 733
